"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI"
1.00,0.60,21.37,0.00,14.00,4.20,0.00,3.00,4.90,2.95,0.40,3.40,14.00,0.20,0.54,4.00,0.00,10.00,22.80,6.00,0.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,0.78,13.00,31.30,2.30,27.50,5.70,13.11,2.64,17.86,0.00,0.60,5.00,5.20,5.20,2.40,26.10,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,12.52,15.20,18.90,0.00,0.00,0.03,1.00,16.10,34.40,0.90,0.50,1.70,61.40,17.80,0.00,1.22,0.98,10.71,6.00
2.00,5.27,21.20,0.00,14.00,4.20,0.00,3.00,4.90,2.95,0.40,3.40,14.00,0.98,3.01,4.00,0.00,10.00,22.10,6.50,0.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,4.93,12.20,29.70,2.30,27.50,5.70,13.11,28.13,17.86,0.30,0.60,5.00,5.20,5.20,2.40,24.00,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,12.57,15.21,18.90,0.00,0.00,0.07,1.00,14.70,32.00,0.80,0.60,19.96,59.40,15.90,0.00,1.22,13.11,42.83,6.00
3.00,8.41,21.28,0.50,14.00,4.20,0.00,3.00,4.90,2.95,0.40,3.40,14.00,1.89,7.35,4.00,0.00,10.00,21.00,0.00,0.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,9.62,11.60,28.30,2.30,27.50,5.70,13.11,70.89,17.86,7.40,0.60,5.00,5.20,5.20,2.40,20.40,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,12.67,15.23,18.90,0.00,0.00,0.08,1.00,13.00,30.00,0.70,0.70,53.28,57.00,15.40,0.00,1.26,32.67,94.80,6.00
4.00,10.26,21.17,2.40,14.00,4.20,0.00,3.00,4.90,2.95,0.40,3.40,14.00,4.10,12.34,4.00,0.00,10.00,20.50,0.00,0.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,12.24,11.90,28.30,2.30,27.40,5.70,13.11,107.83,17.86,18.60,0.60,5.00,5.20,5.20,2.40,17.40,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,12.91,15.26,18.90,0.00,0.00,0.12,1.00,11.50,26.60,0.70,0.80,78.59,55.50,15.20,0.00,1.23,51.61,163.45,6.00
5.00,11.42,21.22,5.10,14.00,4.20,0.00,3.00,4.90,2.95,0.40,3.40,14.00,7.59,14.69,4.00,0.00,10.00,20.10,0.00,0.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,12.78,12.70,29.00,2.30,27.40,5.70,13.11,116.78,17.86,23.70,0.60,5.00,5.20,5.20,2.40,15.70,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,13.28,15.39,18.90,0.00,0.00,0.56,1.00,10.10,22.60,0.80,0.90,84.90,54.20,15.40,0.10,1.17,60.44,208.27,6.00
6.00,12.21,21.06,8.10,14.00,4.20,0.00,3.00,4.90,2.95,0.40,3.40,14.00,10.49,15.47,4.00,0.00,10.00,19.60,0.00,0.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,13.04,13.30,30.50,2.30,27.30,5.70,13.11,118.98,17.86,26.60,0.60,5.00,5.20,5.20,2.40,14.60,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,14.08,15.83,18.90,0.00,0.00,0.76,1.00,12.20,23.70,1.10,1.10,86.69,53.70,16.30,0.20,1.17,64.76,226.84,6.00
7.00,13.05,21.14,11.00,14.00,4.20,0.00,3.00,4.90,2.95,0.40,3.40,14.00,13.03,15.69,7.00,0.00,10.00,18.90,0.00,0.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,13.12,14.00,32.40,2.30,27.10,5.70,13.11,119.51,17.86,27.30,0.60,5.00,5.20,5.20,2.40,14.80,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,14.80,16.24,18.90,0.00,0.00,0.94,1.00,15.40,26.40,1.50,1.40,87.37,53.50,19.00,0.20,1.22,66.31,230.78,6.00
8.00,13.89,20.73,13.70,14.00,4.20,0.00,3.00,4.90,2.95,0.40,3.40,14.00,14.80,15.77,7.00,0.00,10.00,18.50,0.00,0.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,13.14,14.80,36.20,2.30,26.90,5.70,13.11,118.86,17.86,27.40,0.60,5.00,5.20,5.20,2.40,14.80,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,15.28,16.61,18.90,0.00,0.00,1.06,1.00,19.20,32.80,2.30,1.90,87.12,55.80,21.50,0.30,1.21,66.22,222.25,6.00
9.00,14.54,20.83,15.00,14.00,4.20,0.00,3.00,4.90,2.95,0.40,3.40,14.00,15.56,15.70,7.00,0.00,10.00,18.20,0.00,0.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,13.10,15.60,40.70,2.30,26.80,5.70,13.11,118.47,17.86,26.80,0.60,5.00,5.20,5.20,2.40,15.80,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,15.69,16.90,18.90,0.00,0.00,1.15,1.00,23.30,40.30,3.20,2.50,87.06,58.80,23.70,0.30,1.26,66.46,217.87,6.00
10.00,14.88,20.84,14.70,14.00,4.20,0.00,3.00,4.90,2.95,0.40,3.40,14.00,15.79,15.54,7.00,0.00,10.00,17.70,0.00,2.60,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,13.03,15.80,43.20,2.30,26.60,5.70,13.11,118.22,17.86,26.10,0.60,5.00,5.20,5.20,2.40,17.00,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,15.90,16.97,18.90,0.00,0.00,1.18,1.00,30.00,46.90,3.90,3.10,87.07,61.50,25.90,0.30,1.13,66.59,218.87,6.00
