"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,68.32,28.27,67.13,594.17,193.29,9.09,9.95,88.41,17.91,0.89,21.13,14.92,142.31,0.00,5.13,2.82,102.54,70.80,98.01,32.63,34.48,84.69,0.00,1.97,6.88,56.03,0.00,6.39,9.00,85.48,0.00,19.77,0.00,0.00,0.00,44.31,44.85,44.85,0.00,0.00,0.00,0.00,0.00,58.29,38.73,48.25,44.84,0.00,0.00,0.00,25.00,25.00,110.26,0.00,42.11
2.00,68.32,28.27,67.13,594.17,193.29,9.09,9.95,88.41,17.91,0.89,21.13,14.92,107.93,0.00,5.13,2.82,102.54,65.45,98.01,32.63,34.48,84.69,0.00,1.97,6.88,56.03,0.00,6.39,9.00,44.53,0.00,10.30,0.00,0.00,0.00,44.32,44.85,44.85,0.00,0.00,0.00,0.00,0.00,58.29,34.20,47.98,44.84,0.00,0.00,0.00,25.00,25.00,110.26,0.00,20.64
3.00,68.32,28.27,67.13,594.17,193.29,9.09,9.95,88.41,17.91,0.89,21.13,14.92,83.64,0.00,5.13,2.82,102.54,61.26,98.01,32.63,34.48,84.49,0.00,1.97,6.88,56.03,0.00,6.39,9.00,0.00,0.00,0.00,0.00,0.00,0.00,44.31,44.85,44.85,0.00,0.00,0.00,0.00,0.00,58.29,35.06,47.11,44.84,0.00,0.00,0.00,25.00,25.00,110.26,0.00,18.33
4.00,68.32,28.27,67.13,594.17,193.29,9.09,9.95,88.41,17.91,0.89,21.13,14.92,15.46,0.00,5.13,2.82,102.54,32.32,98.01,32.63,34.48,84.34,0.00,1.97,6.88,56.03,0.00,6.39,9.00,0.00,0.00,0.00,0.00,0.00,0.00,56.23,20.62,57.18,0.00,0.00,0.00,0.00,0.00,58.29,35.06,47.11,44.84,0.00,0.00,0.00,25.00,25.00,110.26,0.00,18.33
5.00,68.32,28.27,67.13,594.17,193.29,9.09,9.95,88.41,17.91,0.89,21.13,14.92,15.46,0.00,5.13,2.82,102.54,5.15,98.01,32.63,34.48,84.34,0.00,1.97,6.88,56.03,0.00,6.39,9.00,0.00,4.43,0.00,0.00,0.00,0.00,0.00,50.38,63.02,168.04,0.00,0.00,0.00,0.00,30.93,34.47,46.91,44.84,0.00,0.00,0.00,25.00,25.00,20.62,0.00,18.33
6.00,68.32,28.27,67.13,594.17,193.29,9.09,9.95,88.41,17.91,0.89,21.13,14.92,15.46,0.00,5.13,2.82,102.54,5.15,98.01,32.63,34.48,84.34,0.00,1.97,6.88,56.03,0.00,6.39,9.00,0.00,4.43,0.00,0.00,0.00,0.00,0.00,62.56,0.00,184.17,0.00,0.00,0.00,0.00,30.93,35.66,47.31,44.84,0.00,0.00,0.00,25.00,25.00,35.23,0.00,18.33
7.00,68.32,28.27,67.13,594.17,193.29,9.09,9.95,88.41,17.91,0.89,21.13,14.92,15.46,0.00,5.13,2.82,102.54,5.15,98.01,32.63,34.48,84.34,0.00,1.97,6.88,56.03,0.00,6.39,9.00,0.00,4.43,0.00,0.00,0.00,0.00,52.32,53.20,0.00,184.17,0.00,0.00,0.00,0.00,30.93,31.01,46.36,44.84,0.00,0.00,0.00,25.00,25.00,20.62,0.00,18.33
8.00,68.32,28.27,67.13,594.17,193.29,9.09,9.95,88.41,17.91,0.89,21.13,14.92,15.46,0.00,5.13,2.82,102.54,5.15,98.01,32.63,34.48,84.34,0.00,1.97,6.88,56.03,0.00,6.39,9.00,0.00,4.43,0.00,0.00,0.00,0.00,54.58,0.00,0.00,184.17,0.00,0.00,0.00,0.00,30.93,34.20,47.98,44.84,0.00,0.00,0.00,25.00,25.00,51.46,0.00,18.33
9.00,68.32,28.27,67.13,594.17,193.29,9.09,9.95,88.41,17.91,0.89,21.13,14.92,81.71,0.00,5.13,2.82,102.54,58.80,98.01,32.63,34.48,84.69,0.00,1.97,6.88,56.03,0.00,6.39,9.00,38.62,4.43,8.93,0.00,0.00,0.00,48.48,48.79,0.00,184.17,0.00,0.00,0.00,0.00,30.93,34.20,47.98,44.84,0.00,0.00,0.00,25.00,25.00,20.62,0.00,25.67
10.00,68.32,28.27,67.13,594.17,193.29,9.09,9.95,88.41,17.91,0.89,21.13,14.92,81.71,0.00,5.13,2.82,102.54,58.80,98.01,32.63,34.48,84.69,0.00,1.97,6.88,56.03,0.00,6.39,9.00,42.88,4.43,9.92,0.00,0.00,0.00,0.00,42.64,61.86,176.94,0.00,0.00,0.00,0.00,30.93,35.06,47.11,44.84,0.00,0.00,0.00,25.00,25.00,20.62,0.00,38.50
11.00,68.32,28.27,67.13,594.17,193.29,9.09,9.95,88.41,17.91,0.89,21.13,14.92,106.22,0.00,5.13,2.82,102.54,58.80,98.01,32.63,34.48,84.69,0.00,1.97,6.88,56.03,0.00,6.39,9.00,44.58,4.43,10.31,0.00,0.00,0.00,0.00,53.70,53.70,174.05,0.00,0.00,0.00,0.00,30.93,35.06,47.11,0.00,0.00,0.00,0.00,25.00,25.00,20.62,0.00,71.87
12.00,69.59,28.80,67.13,594.17,193.29,9.09,9.95,88.41,17.91,0.89,21.13,14.92,140.92,0.00,5.13,2.82,102.54,60.10,98.01,32.63,34.48,84.69,0.00,1.97,6.88,56.03,0.00,6.39,9.00,44.58,4.43,10.31,0.00,0.00,0.00,0.00,53.87,53.52,174.05,0.00,0.00,0.00,0.00,30.93,36.38,49.01,0.00,0.00,0.00,0.00,25.00,25.00,20.62,0.00,82.97
13.00,65.62,28.27,67.13,594.17,193.29,9.09,9.95,88.41,17.91,0.89,0.00,14.92,142.31,0.00,5.13,2.82,102.54,62.70,98.01,32.63,34.48,85.04,0.00,1.97,6.88,56.03,0.00,6.39,9.00,69.08,4.43,15.98,0.00,0.00,0.00,0.00,45.09,63.53,184.17,0.00,0.00,1.46,0.00,30.93,38.73,48.25,0.00,12.09,0.00,0.00,25.00,25.00,20.62,0.00,91.79
