"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,65.78,29.83,67.13,643.66,209.39,6.19,3.05,83.44,18.62,0.63,16.00,14.92,61.96,5.13,2.82,119.05,94.82,65.00,26.80,34.48,87.85,17.17,1.97,6.88,65.05,50.00,6.39,9.00,86.32,4.43,19.77,0.00,0.00,0.00,67.10,67.88,20.62,184.17,197.14,0.00,2.67,74.91,48.54,46.34,45.36,27.02,30.67,0.00,0.00,0.00,58.97,57.79,110.22,101.60
2.00,65.78,29.95,67.13,643.66,209.39,6.19,3.05,83.44,18.62,0.63,16.00,14.92,129.79,5.13,2.82,119.05,105.68,65.00,32.63,34.48,87.85,17.17,1.97,6.88,65.05,50.00,6.39,9.00,95.45,4.43,19.77,0.00,0.00,0.00,67.10,67.88,20.62,184.17,197.14,0.00,2.67,0.00,66.99,46.34,45.36,27.02,30.67,0.00,0.00,0.00,55.30,37.19,110.22,101.60
3.00,65.78,29.95,67.13,643.66,209.39,6.19,3.05,83.44,18.62,0.63,16.00,14.92,119.93,5.13,2.82,119.05,103.89,65.00,32.63,34.48,87.85,17.17,1.97,6.88,65.05,50.00,6.39,9.00,95.45,4.43,19.77,0.00,0.00,0.00,67.10,67.88,20.62,184.17,197.14,0.00,2.67,0.00,75.00,45.39,44.79,27.02,30.67,0.00,0.00,0.00,57.48,29.18,110.22,101.60
4.00,65.78,29.95,67.13,643.66,209.39,6.19,3.05,83.44,18.62,0.63,16.00,14.92,113.12,5.13,2.82,119.05,101.62,65.00,26.80,34.48,87.85,17.17,1.97,6.88,65.05,50.00,6.39,9.00,95.45,4.43,19.77,0.00,0.00,0.00,67.10,67.88,20.62,184.17,197.14,0.00,2.67,0.00,75.00,36.78,39.45,27.02,30.67,0.00,0.00,0.00,63.31,29.18,110.22,101.60
5.00,65.78,29.95,67.13,643.66,209.39,6.19,3.05,83.44,18.62,0.63,16.00,14.92,123.55,5.13,2.82,119.05,102.16,65.00,32.63,34.48,87.85,17.17,1.97,6.88,65.05,0.00,6.39,9.00,95.45,4.43,19.77,0.00,0.00,0.00,67.10,67.88,20.62,184.17,197.14,0.00,2.67,0.00,66.99,56.65,52.02,27.02,30.67,0.00,0.00,0.00,55.30,37.19,110.22,101.60
6.00,65.78,29.95,67.13,643.66,209.39,6.19,3.05,83.44,18.62,0.63,16.00,14.92,109.67,5.13,2.82,119.05,97.04,65.00,32.63,34.48,87.85,17.17,1.97,6.88,65.05,0.00,6.39,9.00,95.45,4.43,19.77,0.00,0.00,0.00,67.10,67.88,20.62,184.17,197.14,0.00,2.67,0.00,48.54,46.34,45.36,27.02,30.67,0.00,0.00,0.00,53.14,57.79,110.22,101.60
7.00,65.78,29.95,67.13,643.66,209.39,6.19,3.05,83.44,18.62,0.63,16.00,14.92,109.67,5.13,2.82,119.05,81.68,65.00,26.80,34.48,87.85,17.17,1.97,6.88,65.05,0.00,6.39,9.00,86.91,4.43,19.77,0.00,184.92,0.00,67.10,67.88,22.59,184.17,197.14,0.00,2.67,0.00,48.54,43.87,43.88,27.02,30.67,0.00,0.00,0.00,87.27,20.62,110.22,101.60
8.00,65.78,29.95,67.13,643.66,209.39,6.19,3.05,83.44,18.62,0.63,16.00,14.92,109.67,5.13,2.82,119.05,78.35,65.00,32.63,24.79,87.85,17.17,1.97,6.88,65.05,0.00,6.39,9.00,85.48,4.43,19.77,0.00,0.00,0.00,67.10,67.88,20.62,184.17,197.14,0.00,2.67,0.00,48.54,48.79,46.84,27.02,30.67,0.00,0.00,0.00,87.27,20.62,110.22,101.60
9.00,65.78,29.95,67.13,643.66,209.39,6.19,3.05,83.44,18.62,0.63,16.00,14.92,109.67,5.13,2.82,119.05,48.04,65.00,32.63,34.48,87.85,17.17,1.97,6.88,65.05,0.00,6.39,9.00,85.48,4.43,19.77,0.00,0.00,0.00,67.10,67.88,67.33,184.17,197.14,0.00,2.15,0.00,57.85,47.50,44.20,27.02,22.63,0.00,0.00,0.00,87.27,72.35,110.22,101.60
10.00,65.78,29.95,67.13,643.66,209.39,6.19,3.05,83.44,18.62,0.63,16.00,14.92,109.67,5.13,2.82,119.05,13.99,65.00,32.63,24.79,87.85,17.17,1.97,6.88,65.05,0.00,6.39,9.00,85.48,4.43,19.77,0.00,0.00,0.00,67.10,67.88,20.62,184.17,197.14,0.00,0.00,0.00,48.54,46.34,45.36,27.02,0.00,0.00,0.00,0.00,87.27,20.62,110.22,101.60
