"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CT AGROLMOS"
1.00,0.48,13.17,0.00,14.00,4.20,7.00,2.60,4.00,1.83,0.00,3.50,17.00,0.00,0.13,3.10,0.00,7.60,28.40,85.00,0.00,5.00,4.80,3.95,18.16,10.00,2.90,4.20,2.80,0.00,30.61,89.38,2.45,26.79,5.00,10.68,0.30,16.12,0.00,0.60,2.90,3.40,3.50,1.20,131.44,7.00,6.50,19.42,2.00,10.50,8.15,5.10,1.20,3.30,3.60,18.00,0.00,0.00,0.12,0.00,127.48,120.69,17.90,14.83,0.00,129.10,149.31,0.00,1.20,0.07,0.00,0.00,12.50
2.00,0.00,13.05,0.00,14.00,4.20,7.00,2.60,4.00,1.83,0.00,3.50,17.00,0.00,0.00,3.10,0.00,7.60,28.20,84.00,2.15,5.00,15.53,3.95,18.16,10.00,2.90,4.20,2.80,0.00,30.62,89.72,2.45,26.96,5.00,10.68,0.00,16.12,0.00,0.60,2.90,3.40,3.50,1.20,131.22,7.00,6.50,19.42,2.00,10.50,8.15,5.10,1.20,3.20,3.50,18.00,0.00,0.00,0.06,0.00,129.32,121.59,17.90,14.88,0.00,129.46,144.74,0.00,1.24,0.00,0.00,0.00,12.50
3.00,0.00,13.24,0.00,14.00,4.20,7.00,2.60,4.00,1.83,0.00,3.50,17.00,0.00,0.00,3.10,0.00,7.60,27.80,83.00,6.81,5.00,15.53,3.95,18.16,10.00,2.90,4.20,2.80,0.00,30.62,89.84,2.45,27.13,5.00,10.68,0.00,16.12,0.00,0.60,2.90,3.40,3.50,1.20,131.71,7.00,6.50,19.42,2.00,10.50,8.15,5.10,1.20,3.20,3.70,18.00,0.00,0.00,0.00,0.00,132.22,121.75,17.90,14.93,0.00,129.82,137.46,0.00,1.24,0.00,0.00,0.00,12.50
4.00,0.00,13.17,0.00,14.00,4.20,7.00,2.60,4.00,1.83,0.00,3.50,17.00,0.00,0.00,3.10,0.00,7.60,27.50,82.00,8.04,5.00,15.53,3.95,18.16,10.00,2.90,4.20,2.80,0.00,30.61,89.73,2.45,27.30,5.00,10.68,0.00,16.12,0.00,0.60,2.90,3.40,3.50,1.20,131.94,7.00,6.50,19.42,2.00,10.50,8.15,5.10,1.20,3.20,3.90,18.00,0.00,0.00,0.00,0.00,128.70,116.78,17.90,14.97,0.00,130.11,135.38,0.00,1.32,0.00,0.00,0.00,12.50
5.00,0.00,13.01,0.00,14.00,4.20,7.00,2.60,4.00,1.83,0.00,3.50,17.00,0.00,0.00,3.10,0.00,7.60,27.10,81.00,8.03,5.00,15.53,3.95,18.16,10.00,2.90,4.20,2.80,0.00,30.61,89.64,2.45,27.40,5.00,10.68,0.00,16.12,0.00,0.60,2.90,3.40,3.50,1.20,131.42,7.00,6.50,19.42,2.00,10.50,8.15,5.10,1.20,3.30,4.20,18.00,0.00,0.00,0.00,0.00,130.92,116.42,17.80,14.97,0.00,130.41,133.87,0.00,1.32,0.00,0.00,0.00,12.50
6.00,0.00,12.75,0.00,14.00,4.20,7.00,2.60,4.00,1.83,0.00,3.50,17.00,0.00,0.00,3.10,0.00,7.60,26.70,79.00,8.04,5.00,15.53,3.95,18.16,10.00,2.90,4.20,2.80,0.00,30.61,89.55,2.45,27.46,5.00,10.68,0.00,16.12,0.00,0.60,2.90,3.40,3.50,1.20,127.68,7.00,6.50,19.42,2.00,10.50,8.15,5.10,1.20,3.10,4.10,18.00,0.00,0.00,0.00,0.00,118.80,110.95,17.70,14.96,0.00,130.61,132.58,0.00,1.36,0.00,0.00,0.00,12.50
7.00,0.00,13.06,0.00,14.00,4.20,7.00,2.60,4.00,1.83,0.00,3.50,17.00,0.00,0.00,3.10,0.00,7.60,26.20,76.00,8.03,5.00,15.53,3.95,18.16,10.00,2.90,4.20,2.80,0.00,30.59,89.49,2.45,27.48,5.00,10.68,0.00,16.12,0.00,0.60,2.90,3.40,3.50,1.20,124.26,7.00,6.50,19.42,2.00,10.50,8.15,5.10,1.20,2.90,3.90,18.00,0.00,0.00,0.00,0.00,108.67,100.18,17.60,14.96,0.00,130.82,131.90,0.00,1.36,0.00,0.00,0.00,12.50
8.00,0.00,13.50,0.00,14.00,4.20,7.00,2.60,4.00,1.83,0.00,3.50,17.00,0.00,0.00,3.10,0.00,7.60,25.80,72.00,8.03,5.00,15.53,3.95,18.16,10.00,2.90,4.20,2.80,0.00,30.58,89.45,2.45,27.50,5.00,10.68,0.00,16.12,0.00,0.60,2.90,3.40,3.50,1.20,123.10,7.00,6.50,19.42,2.00,10.50,8.15,5.10,1.20,3.40,4.80,18.00,0.00,0.00,0.00,0.00,103.73,94.56,17.40,14.96,0.00,130.88,131.63,0.00,1.36,0.00,0.00,0.00,12.50
9.00,0.00,12.67,0.00,14.00,4.20,7.00,2.60,4.00,1.83,0.00,3.50,17.00,0.00,0.00,3.10,0.00,7.60,25.50,70.00,6.73,5.00,15.53,3.95,18.16,10.00,2.90,4.20,2.80,0.00,30.55,89.41,2.45,27.58,5.00,10.68,0.00,16.12,0.00,0.60,2.90,3.40,3.50,1.20,122.70,7.00,6.50,19.42,2.00,10.50,8.15,5.10,1.20,4.20,6.10,18.00,0.00,0.00,0.00,0.00,104.39,94.44,17.10,14.97,0.00,130.95,132.58,0.00,1.36,0.00,0.00,0.00,12.50
10.00,0.00,13.15,0.00,14.00,4.20,7.00,2.60,4.00,1.83,0.00,3.50,17.00,0.00,0.00,3.10,0.00,7.60,25.40,67.00,5.22,5.00,15.53,3.95,18.16,10.00,2.90,4.20,2.80,0.00,30.53,89.36,2.45,27.56,5.00,10.68,0.00,16.12,0.00,0.60,2.90,3.40,3.50,1.20,122.37,7.00,6.50,19.42,2.00,10.50,8.15,5.10,1.20,4.80,7.60,18.00,0.00,0.00,0.00,0.00,105.19,94.11,16.50,14.99,0.00,130.94,133.34,0.00,1.36,0.00,0.00,0.00,12.50
