"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CTAGROLMOS"
1.00,15.76,18.47,18.44,14.00,4.20,0.00,3.00,9.00,1.82,0.00,3.40,19.63,18.70,17.58,3.10,0.00,7.40,24.00,51.70,2.90,5.00,4.80,4.40,18.45,10.00,7.00,10.00,2.80,13.95,15.02,52.90,2.40,26.70,3.80,10.68,136.09,19.00,34.69,0.60,7.00,8.00,8.00,1.20,17.40,6.30,8.00,14.56,3.00,10.00,7.71,5.00,0.00,15.99,17.04,18.90,0.00,0.00,1.22,0.20,45.20,48.90,5.17,4.43,102.00,41.00,8.10,0.40,1.04,77.11,250.00,5.00,0.00,11.00
2.00,15.80,18.69,18.48,14.00,4.20,0.00,3.00,9.00,1.82,0.00,3.40,19.63,18.47,17.61,3.10,0.00,7.40,25.20,56.00,2.90,5.00,4.80,4.40,18.45,10.00,7.00,10.00,2.80,14.09,15.04,50.60,2.40,26.60,3.80,10.68,136.80,19.00,34.61,0.60,7.00,8.00,8.00,1.20,24.80,6.30,8.00,14.56,3.00,10.00,7.71,5.00,0.00,15.77,16.88,18.90,0.00,0.00,1.24,0.20,47.00,50.10,5.50,4.58,101.64,40.70,20.50,0.40,1.04,77.40,250.00,5.00,0.00,11.00
3.00,15.62,18.41,18.20,14.00,4.20,0.00,3.00,9.00,1.82,0.00,3.40,19.63,18.54,17.67,3.10,0.00,7.40,26.30,59.00,2.70,5.00,4.80,4.40,18.45,10.00,7.00,10.00,2.80,14.26,15.04,49.50,2.40,26.50,3.80,10.68,137.38,19.00,34.62,0.60,7.00,8.00,8.00,1.20,34.60,6.30,8.00,14.56,3.00,10.00,7.71,4.90,0.00,15.86,16.94,18.90,0.00,0.00,1.23,0.20,48.80,51.00,5.82,4.65,101.74,40.80,35.40,0.40,1.04,77.65,250.00,5.00,0.00,11.00
4.00,15.11,18.05,17.49,14.00,4.20,0.00,3.00,9.00,1.82,0.00,3.40,19.63,18.77,17.74,3.10,0.00,7.40,27.20,62.50,0.40,5.00,4.80,4.40,18.45,10.00,7.00,10.00,2.80,14.39,15.02,49.30,2.40,26.40,3.80,10.68,138.11,19.00,34.69,0.60,7.00,8.00,8.00,1.20,45.00,6.30,8.00,14.56,3.00,10.00,7.71,4.90,0.00,16.05,17.07,18.90,0.00,0.00,1.23,0.20,50.90,51.40,6.09,4.83,102.02,47.80,50.00,0.40,1.04,77.78,248.12,5.00,0.00,11.00
5.00,14.41,17.87,16.34,14.00,4.20,0.00,3.00,9.00,1.82,0.00,3.40,19.63,19.09,17.83,3.10,0.00,7.40,27.50,67.90,0.00,5.00,4.80,4.40,18.45,10.00,7.00,10.00,2.80,14.41,15.09,51.50,2.40,26.40,3.80,10.68,138.79,19.00,34.85,0.60,7.00,8.00,8.00,1.20,55.90,6.30,8.00,14.56,3.00,10.00,7.71,4.90,0.00,16.46,17.17,18.90,0.00,0.00,1.23,0.20,53.00,51.50,6.35,5.05,102.23,55.50,64.50,0.30,1.04,77.78,250.00,5.00,0.00,11.00
6.00,13.65,18.05,14.84,14.00,4.20,0.00,3.00,9.00,1.82,0.00,3.40,19.63,19.23,17.93,3.10,0.00,7.40,27.80,72.20,0.00,5.00,4.80,4.40,18.45,10.00,7.00,10.00,2.80,14.36,15.27,53.90,2.40,26.40,3.80,10.68,138.93,19.00,34.94,0.60,7.00,8.00,8.00,1.20,66.10,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,16.94,17.27,18.90,0.00,0.00,1.04,0.20,55.00,53.40,6.62,5.32,102.16,58.10,76.90,0.20,1.00,77.31,250.00,5.00,0.00,11.00
7.00,12.93,17.29,13.09,14.00,4.20,0.00,3.00,9.00,1.82,0.00,3.40,19.63,19.09,17.97,3.10,0.00,7.40,28.20,73.50,0.00,5.00,4.80,4.40,18.45,10.00,7.00,10.00,2.80,14.30,15.53,56.70,2.40,26.30,3.80,10.68,138.32,19.00,34.78,0.60,7.00,8.00,8.00,1.20,76.40,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,16.89,17.28,18.90,0.00,0.00,1.01,0.20,56.80,55.90,6.89,5.62,101.54,65.80,88.50,0.20,1.04,75.95,250.00,5.00,0.00,11.00
8.00,12.17,16.42,10.68,14.00,4.20,0.00,3.00,9.00,1.82,0.00,3.40,19.63,18.57,17.75,3.10,0.00,7.40,28.40,74.50,0.00,5.00,4.80,4.40,18.45,10.00,7.00,10.00,2.80,14.05,15.88,58.90,2.40,26.40,3.80,10.68,135.92,19.00,34.10,0.60,7.00,8.00,8.00,1.20,84.00,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,16.67,17.27,18.90,0.00,0.00,0.94,0.20,58.70,59.00,7.16,5.93,98.96,67.80,94.30,0.10,1.04,73.10,250.00,5.00,0.00,11.00
9.00,11.42,16.17,7.72,14.00,4.20,0.00,3.00,9.00,1.82,0.00,3.40,19.63,17.30,17.03,3.10,0.00,7.40,28.40,74.90,0.00,5.00,4.80,4.40,18.45,10.00,7.00,10.00,2.80,13.25,16.32,59.30,2.40,26.50,3.80,10.68,127.59,19.00,31.57,0.60,7.00,8.00,8.00,1.20,90.90,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,16.35,17.35,18.90,0.00,0.00,0.79,0.20,65.50,62.30,7.42,6.24,93.36,74.70,98.20,0.10,1.08,65.91,239.61,5.00,0.00,11.00
10.00,10.61,16.58,4.76,14.00,4.20,0.00,3.00,9.00,1.82,0.00,3.40,19.63,11.55,15.24,3.10,0.00,7.40,28.50,75.10,0.00,5.00,4.80,4.40,18.45,10.00,7.00,10.00,2.80,10.73,16.86,59.50,2.40,26.50,3.80,10.68,96.95,19.00,22.41,0.60,7.00,8.00,8.00,1.20,93.10,6.30,8.00,14.56,3.00,10.80,7.71,4.90,0.00,15.98,17.46,18.90,0.00,0.00,0.57,0.20,66.00,64.20,7.47,6.45,81.34,75.90,99.10,0.10,1.08,46.62,224.37,5.00,0.00,11.00
