"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,65.98,27.31,67.13,590.02,191.94,0.00,5.91,46.95,17.74,0.63,17.91,11.24,15.46,6.80,3.73,120.17,62.95,22.45,24.64,4.12,79.61,0.00,1.97,6.88,65.66,0.00,6.39,0.00,16.49,4.43,3.81,150.52,0.00,0.00,67.10,46.30,20.62,184.17,197.14,0.00,0.00,0.00,53.40,44.44,31.82,27.86,0.00,0.00,0.00,0.00,85.00,44.59,0.00,98.52
2.00,67.16,27.80,67.13,590.02,191.94,0.00,5.91,50.19,17.74,0.63,17.91,11.24,21.00,6.80,3.73,120.17,63.40,26.40,30.81,12.00,79.61,0.00,1.97,6.88,65.66,0.00,6.39,0.00,16.49,4.43,3.81,144.33,0.00,0.00,67.10,51.36,24.56,184.17,197.14,0.00,0.00,0.00,53.40,45.19,35.86,27.86,0.00,0.00,0.00,0.00,85.00,50.78,0.00,98.52
3.00,70.77,29.29,67.13,636.00,206.90,0.00,5.91,53.56,17.74,0.63,17.91,11.24,35.11,6.80,3.73,120.17,65.75,30.50,30.81,12.00,79.61,0.00,1.97,6.88,65.66,0.00,6.39,0.00,16.49,4.43,3.81,144.33,0.00,0.00,67.10,48.73,22.03,184.17,197.14,0.00,0.00,0.00,53.40,45.87,40.71,27.86,0.00,0.00,0.00,0.00,85.00,55.93,0.00,98.52
4.00,72.37,29.95,67.13,636.00,206.90,0.00,5.91,88.41,17.74,0.63,17.91,11.48,89.11,6.80,3.73,120.17,71.99,72.90,23.86,4.12,79.61,0.00,1.97,6.88,65.66,0.00,6.39,0.00,64.48,4.43,14.91,150.52,0.00,0.00,67.10,41.92,20.62,184.17,197.14,0.00,0.00,0.00,53.40,46.51,45.94,27.86,0.00,0.00,0.00,0.00,25.00,110.26,0.00,98.52
5.00,72.37,29.95,67.13,636.00,206.90,0.00,5.91,88.41,17.74,0.63,17.91,11.24,72.82,6.80,3.73,120.17,71.44,72.90,24.96,12.00,79.61,0.00,1.97,6.88,65.66,0.00,6.39,0.00,85.48,4.43,19.77,150.52,0.00,0.00,67.10,46.30,20.62,184.17,197.14,0.00,1.06,0.00,63.45,47.05,50.20,27.86,16.31,0.00,0.00,0.00,25.00,110.26,0.00,98.52
6.00,69.77,29.95,67.13,636.00,206.90,0.00,5.91,60.80,17.74,0.63,17.91,11.24,15.46,6.80,3.73,120.17,52.75,39.31,24.96,12.00,79.61,0.00,1.97,6.88,65.66,0.00,6.39,9.00,16.49,4.43,3.81,150.52,0.00,0.00,67.10,56.36,20.62,184.17,197.14,0.00,1.34,0.00,53.40,45.19,35.85,27.86,10.31,0.00,0.00,0.00,25.00,110.26,0.00,98.52
7.00,60.12,29.95,67.13,636.00,206.90,0.00,5.91,65.11,17.74,0.63,17.91,11.24,15.46,6.80,3.73,120.17,44.75,44.55,24.96,12.00,79.61,0.00,1.97,6.88,65.66,0.00,6.39,9.00,16.49,4.43,3.81,150.52,0.00,0.00,67.10,56.36,20.62,184.17,197.14,0.00,1.46,0.00,53.40,39.96,21.47,27.86,12.09,0.00,0.00,0.00,25.00,110.26,0.00,98.52
8.00,72.37,29.95,67.13,636.00,206.90,0.00,5.91,88.41,17.74,0.63,17.91,11.24,15.46,6.80,3.73,120.17,66.24,72.90,30.81,0.00,79.61,0.00,1.97,6.88,65.66,0.00,6.39,9.00,85.48,4.43,19.77,144.33,0.00,0.00,0.00,27.21,20.62,184.17,197.14,0.00,1.46,0.00,0.00,46.51,45.94,27.86,12.09,0.00,0.00,0.00,85.00,20.62,0.00,98.52
9.00,72.37,29.95,67.13,636.00,206.90,0.00,5.91,88.41,17.74,0.63,17.91,12.03,89.28,6.80,3.73,120.17,80.67,72.90,30.81,0.00,79.61,0.00,1.97,6.88,65.66,0.00,6.39,9.00,85.48,4.43,19.77,144.33,0.00,0.00,67.10,27.21,20.62,184.17,197.14,0.00,1.88,0.00,0.00,46.51,45.94,27.86,18.48,0.00,0.00,0.00,85.00,20.62,0.00,98.52
10.00,72.37,29.95,67.13,636.00,206.90,0.00,5.91,88.41,17.74,0.63,17.91,14.92,94.88,6.80,3.73,120.17,83.72,72.90,30.81,0.00,79.61,0.00,1.97,6.88,65.66,0.00,6.39,9.00,85.48,4.43,19.77,144.33,0.00,0.00,67.10,27.21,20.62,184.17,197.14,0.00,2.67,0.00,0.00,47.05,50.20,27.86,30.67,0.00,0.00,0.00,85.00,20.62,0.00,98.52
