"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,70.03,28.98,67.13,600.00,195.19,0.00,6.24,85.22,17.56,0.64,15.92,14.92,107.07,6.80,3.73,117.43,108.67,67.96,0.00,44.56,90.99,17.17,1.97,6.88,64.17,0.00,6.39,9.98,95.45,4.43,19.77,182.36,0.00,0.00,67.10,67.88,32.17,184.17,197.14,0.00,2.74,67.08,45.07,45.40,41.10,25.87,30.67,0.00,0.00,0.00,85.00,23.65,110.22,98.52
2.00,70.03,29.95,67.13,600.00,195.19,0.00,6.24,85.22,17.56,0.64,15.92,14.92,111.78,6.80,3.73,117.43,108.37,67.96,0.00,45.86,90.99,17.17,1.97,6.88,64.17,0.00,6.39,9.60,95.45,4.43,19.77,182.43,0.00,0.00,67.10,67.88,33.33,184.17,197.14,0.00,2.71,69.27,47.39,49.42,37.08,25.87,30.67,0.00,0.00,0.00,85.00,22.49,110.22,98.52
3.00,67.15,29.95,67.13,600.00,195.19,0.00,6.24,85.22,17.56,0.64,15.92,14.92,112.45,6.80,3.73,117.43,109.43,67.96,0.00,45.39,90.99,17.17,1.97,6.88,64.17,0.00,6.39,9.00,95.45,4.43,19.77,179.98,0.00,0.00,67.10,67.88,22.66,184.17,197.14,0.00,2.67,67.90,45.91,35.90,48.13,25.87,30.67,0.00,0.00,0.00,85.00,33.16,110.22,98.52
4.00,62.20,29.95,67.13,600.00,195.19,0.00,6.24,85.22,17.56,0.64,15.92,14.92,100.38,6.80,3.73,117.43,103.37,67.96,0.00,38.12,90.99,17.17,1.97,6.88,64.17,0.00,6.39,9.00,95.45,4.43,19.77,0.00,169.92,0.00,67.10,67.88,24.00,184.17,197.14,0.00,2.67,67.01,45.00,38.10,23.76,25.87,30.67,0.00,0.00,0.00,85.00,31.82,110.22,98.52
5.00,78.57,29.95,67.13,600.00,195.19,0.00,6.24,85.22,17.56,0.64,15.92,14.92,125.08,6.80,3.73,117.43,107.85,67.96,0.00,47.04,90.99,17.17,1.97,6.88,64.17,0.00,6.39,9.98,95.45,4.43,19.77,0.00,0.00,0.00,67.10,67.88,20.62,184.17,197.14,0.00,2.74,74.91,53.40,62.14,50.80,25.87,30.67,0.00,0.00,0.00,85.00,29.38,110.22,98.52
6.00,72.19,29.95,67.13,600.00,195.19,0.00,6.24,85.22,17.56,0.64,15.92,14.92,111.35,6.80,3.73,117.43,102.02,67.96,0.00,47.04,90.99,17.17,1.97,6.88,64.17,0.00,6.39,9.00,95.45,4.43,19.77,0.00,0.00,0.00,67.10,67.88,22.60,184.17,197.14,0.00,2.67,73.07,51.55,49.51,37.68,25.87,30.67,0.00,0.00,0.00,85.00,27.40,110.22,98.52
7.00,70.03,29.95,67.13,600.00,195.19,0.00,6.24,85.22,17.56,0.64,15.92,14.92,111.35,6.80,3.73,117.43,87.05,67.96,0.00,16.00,90.99,17.17,1.97,6.88,64.17,0.00,6.39,0.00,95.45,4.43,19.77,0.00,0.00,0.00,67.10,67.88,20.62,184.17,197.14,0.00,2.00,0.00,53.40,50.42,36.09,25.87,30.67,0.00,0.00,0.00,85.00,28.67,110.22,98.52
8.00,70.03,29.95,67.13,600.00,195.19,0.00,6.24,85.22,17.56,0.64,15.92,14.92,111.35,6.80,3.73,117.43,35.19,67.96,0.00,16.00,90.99,17.17,1.97,6.88,64.17,0.00,6.39,0.00,86.23,4.43,19.77,0.00,0.00,0.00,67.10,67.88,20.62,184.17,197.14,0.00,0.00,0.00,45.00,45.86,40.64,25.87,0.00,0.00,0.00,0.00,85.00,28.67,110.22,98.52
9.00,69.65,29.95,67.13,600.00,195.19,0.00,6.24,85.22,17.56,0.64,15.92,14.92,108.99,6.80,3.73,117.43,0.00,67.96,0.00,16.00,90.99,17.17,1.97,6.88,64.17,0.00,6.39,0.00,42.11,4.43,9.74,0.00,0.00,0.00,67.10,67.88,20.62,184.17,197.14,0.00,0.00,0.00,45.00,46.33,40.18,25.87,0.00,0.00,0.00,0.00,85.00,28.67,110.22,98.52
10.00,70.41,29.95,67.13,600.00,195.19,0.00,6.24,85.22,17.56,0.64,15.92,14.92,96.20,6.80,3.73,117.43,0.00,67.96,0.00,16.00,90.99,17.17,1.97,6.88,64.17,0.00,6.39,0.00,0.00,4.43,0.00,0.00,0.00,0.00,67.10,67.88,20.62,184.17,197.14,0.00,0.00,0.00,45.00,35.90,50.60,25.87,0.00,0.00,0.00,0.00,85.00,28.67,110.22,98.52
