"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CT AGROLMOS"
1.00,13.40,16.50,13.55,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,7.25,11.74,3.10,0.00,7.20,28.01,77.60,3.10,5.00,4.80,4.45,18.45,10.00,5.00,6.00,2.80,4.09,26.50,82.90,1.89,26.10,3.20,10.50,103.87,16.99,17.68,0.70,3.60,4.10,4.30,1.20,115.20,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,15.87,16.54,18.90,0.00,0.00,1.22,1.00,123.10,112.80,11.73,9.14,73.70,116.90,122.30,0.30,1.04,63.06,270.40,0.00,9.75,11.00
2.00,12.71,17.30,12.55,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,5.67,10.63,3.10,0.00,7.20,28.36,78.10,3.00,5.00,4.80,4.45,18.45,10.00,5.00,6.00,2.80,2.99,26.20,82.60,1.89,26.00,3.20,10.50,87.02,16.99,18.49,0.70,3.60,4.10,4.30,1.20,116.70,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,16.06,16.57,18.90,0.00,0.00,1.03,1.00,122.70,113.60,11.49,9.08,61.59,116.30,124.50,0.20,1.04,59.04,255.20,0.00,9.64,11.00
3.00,12.06,17.61,11.01,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,3.91,9.42,3.10,0.00,7.20,28.66,78.60,3.00,5.00,4.80,4.45,18.45,10.00,5.00,6.00,2.80,3.50,26.00,82.40,1.89,26.00,3.20,10.50,70.12,16.99,18.46,0.70,3.60,4.10,4.30,1.20,118.30,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,15.92,16.51,18.90,0.00,0.00,1.00,1.00,122.40,114.70,11.21,8.98,51.16,115.60,127.00,0.20,1.12,55.87,258.50,0.00,9.53,11.00
4.00,11.60,17.59,9.32,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,2.00,9.21,3.10,0.00,7.20,29.02,78.30,3.00,5.00,4.80,4.45,18.45,10.00,5.00,6.00,2.80,3.61,26.30,82.60,1.89,26.00,3.20,10.50,67.61,16.99,13.97,0.70,3.60,4.10,4.30,1.20,119.40,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,15.68,16.42,18.90,0.00,0.00,0.93,1.00,122.30,115.70,11.19,9.09,48.18,115.60,128.90,0.10,1.28,51.25,260.00,0.00,9.16,11.00
5.00,10.96,17.42,6.97,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,1.16,8.96,3.10,0.00,7.20,29.39,77.80,3.00,5.00,4.80,4.45,18.45,10.00,5.00,6.00,2.80,3.41,26.90,82.90,1.89,26.00,3.20,10.50,61.94,16.99,10.63,0.70,3.60,4.10,4.30,1.20,120.20,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,15.49,16.21,18.90,0.00,0.00,0.79,1.00,117.10,111.50,11.27,9.27,45.34,115.80,130.60,0.10,1.32,41.57,251.00,0.00,8.79,11.00
6.00,9.94,16.12,4.22,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,0.49,6.87,3.10,0.00,7.20,29.19,76.00,3.00,5.00,4.80,4.45,18.45,10.00,5.00,6.00,2.80,2.11,26.90,82.30,1.89,26.20,3.20,10.50,45.85,16.99,8.44,0.70,3.60,4.10,4.30,1.20,120.20,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,15.32,15.96,18.90,0.00,0.00,0.57,1.00,118.60,108.40,11.14,9.23,36.75,115.00,129.10,0.10,1.40,26.11,216.80,0.00,7.14,11.00
7.00,8.67,15.46,2.07,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,0.06,4.45,3.10,0.00,7.20,28.78,73.90,3.20,5.00,4.80,4.45,18.45,10.00,5.00,6.00,2.80,0.48,26.70,81.50,1.89,26.40,3.20,10.50,23.24,16.99,3.01,0.70,3.60,4.10,4.30,1.20,119.90,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,14.79,15.61,18.90,0.00,0.00,0.49,1.00,120.60,110.60,10.92,9.10,19.91,113.80,126.40,0.10,1.44,10.58,124.80,0.00,5.49,11.00
8.00,5.81,15.11,0.53,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,0.00,1.65,3.10,0.00,7.20,28.11,73.50,3.00,5.00,4.80,4.45,18.45,10.00,5.00,6.00,2.80,0.01,26.50,80.40,1.89,26.60,3.20,10.50,5.78,16.99,0.30,0.70,3.60,4.10,4.30,1.20,118.70,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,14.13,15.22,18.90,0.00,0.00,0.34,1.00,112.70,112.10,10.32,8.47,4.64,112.80,119.80,0.10,1.48,1.47,48.60,0.00,2.74,11.00
9.00,0.54,15.05,0.04,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,0.00,0.17,3.10,0.00,7.20,27.34,73.60,7.80,5.00,4.80,4.45,18.45,10.00,5.00,6.00,2.80,0.00,26.30,79.20,1.89,26.70,3.20,10.50,0.15,16.99,0.00,0.70,3.60,4.10,4.30,1.20,117.40,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,13.59,14.67,18.90,0.00,0.00,0.12,1.00,114.80,113.30,9.57,7.67,0.27,111.70,111.90,0.00,1.52,0.04,1.50,0.00,0.00,11.00
10.00,0.00,14.41,0.00,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,0.00,0.00,3.10,0.00,7.20,26.46,72.30,8.10,5.00,15.53,4.45,18.45,10.00,5.00,6.00,2.80,0.00,26.30,78.30,1.89,26.90,3.20,10.50,0.00,16.99,0.00,0.70,3.60,4.10,4.30,1.20,113.00,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,13.09,14.08,18.90,0.00,0.00,0.06,1.00,116.70,113.40,9.03,7.21,0.00,110.70,102.30,0.00,1.60,0.00,0.00,0.00,0.00,11.00
