"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,68.37,28.29,67.13,635.88,206.86,3.76,0.00,95.39,17.74,0.45,16.96,14.92,76.09,5.13,2.82,116.20,75.27,81.39,0.00,26.53,75.90,0.00,1.97,6.88,63.50,0.00,6.39,0.00,20.17,3.45,4.66,0.00,0.00,26.00,67.10,67.88,0.00,92.47,78.23,92.47,0.00,0.00,66.99,36.00,46.30,27.01,0.00,0.00,0.00,0.00,31.96,89.47,0.00,0.00
2.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,105.21,17.74,0.45,16.96,14.92,90.88,5.13,2.82,116.20,77.55,93.35,0.00,32.48,75.90,0.00,1.97,6.88,63.50,0.00,6.39,0.00,56.50,3.45,13.07,0.00,0.00,26.00,0.00,67.88,0.00,0.00,83.57,0.00,0.00,0.00,75.00,39.27,53.18,27.01,0.00,0.00,0.00,0.00,31.96,108.41,0.00,0.00
3.00,61.45,29.95,67.13,635.88,206.86,3.76,0.00,90.26,17.74,0.45,16.96,14.92,83.49,5.13,2.82,116.20,71.82,75.15,0.00,12.00,75.90,0.00,1.97,6.88,63.50,0.00,6.39,0.00,16.49,3.45,3.81,0.00,0.00,42.00,0.00,57.65,57.22,0.00,110.57,0.00,0.00,0.00,67.01,25.97,43.61,27.01,0.00,0.00,0.00,0.00,25.00,109.79,0.00,0.00
4.00,59.95,29.95,67.13,635.22,206.65,3.76,0.00,78.32,17.74,0.45,16.96,14.92,70.78,5.13,2.82,116.20,65.38,60.62,0.00,33.00,75.90,0.00,1.97,6.88,63.50,0.00,6.39,0.00,16.49,3.45,3.81,0.00,0.00,42.00,34.72,67.88,0.00,0.00,81.06,0.00,0.00,0.00,67.01,0.00,56.18,27.01,0.00,0.00,0.00,0.00,31.96,107.88,0.00,0.00
5.00,57.64,29.95,67.13,635.52,206.74,3.76,0.00,77.45,17.74,0.45,16.96,14.92,69.28,5.13,2.82,116.20,64.79,59.56,0.00,33.00,75.90,0.00,1.97,6.88,63.50,0.00,6.39,0.00,0.00,3.45,0.00,0.00,0.00,63.00,20.62,67.88,0.00,0.00,76.58,0.00,0.00,0.00,67.01,29.92,29.88,27.01,0.00,0.00,0.00,0.00,31.96,107.88,0.00,0.00
6.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,86.66,17.74,0.45,16.96,14.92,91.86,5.13,2.82,116.20,68.84,70.76,0.00,33.00,75.90,0.00,1.97,6.88,63.50,0.00,6.39,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,56.56,0.00,0.00,77.67,0.00,0.00,0.00,67.01,48.59,44.00,27.01,0.00,0.00,0.00,0.00,40.90,110.26,0.00,0.00
7.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,81.67,17.74,0.45,16.96,14.92,90.85,5.13,2.82,116.20,68.45,64.69,0.00,33.00,75.90,0.00,1.97,6.88,63.50,0.00,6.39,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,65.49,0.00,0.00,83.57,0.00,0.00,0.00,67.01,45.30,47.15,27.01,0.00,0.00,0.00,0.00,31.96,110.26,0.00,0.00
8.00,72.37,29.95,67.13,633.81,206.19,3.76,0.00,78.19,17.74,0.45,16.96,14.92,89.15,5.13,2.82,116.20,68.11,60.47,0.00,33.00,75.90,0.00,1.97,6.88,63.50,0.00,6.39,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,59.60,0.00,0.00,72.84,66.50,0.00,0.00,67.01,41.11,46.54,27.01,0.00,0.00,0.00,0.00,37.86,110.26,0.00,0.00
9.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,81.97,17.74,0.45,16.96,14.92,63.50,5.13,2.82,116.20,71.40,65.07,0.00,33.00,75.90,0.00,1.97,6.88,63.50,0.00,6.39,0.00,0.00,3.45,0.00,0.00,0.00,26.00,0.00,59.60,0.00,0.00,75.23,101.88,0.00,0.00,67.01,39.27,53.18,27.01,0.00,0.00,0.00,0.00,37.86,110.26,0.00,0.00
10.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,85.24,17.74,0.45,16.96,14.92,72.75,5.13,2.82,116.20,73.35,69.05,0.00,33.00,75.90,0.00,1.97,6.88,63.50,0.00,6.39,0.00,0.00,3.45,0.00,0.00,0.00,26.00,0.00,42.78,0.00,0.00,77.32,146.17,0.00,0.00,67.01,39.61,52.84,27.01,0.00,0.00,0.00,0.00,54.68,110.26,0.00,0.00
11.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,97.95,17.74,0.45,16.96,14.92,91.22,5.13,2.82,116.20,77.46,84.51,0.00,33.00,75.90,0.00,1.97,6.88,63.50,0.00,6.39,0.00,0.00,3.45,0.00,0.00,0.00,26.00,0.00,20.62,0.00,137.62,75.72,137.66,0.00,0.00,67.01,52.75,39.70,27.01,0.00,0.00,0.00,0.00,76.84,110.26,0.00,0.00
12.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,104.26,17.74,0.45,16.96,14.92,99.37,5.13,2.82,116.20,75.10,92.19,0.00,33.00,75.90,0.00,1.97,6.88,63.50,0.00,6.39,0.00,0.00,3.45,0.00,0.00,0.00,31.50,0.00,59.60,0.00,149.42,75.34,149.48,0.00,0.00,73.21,41.88,55.36,27.01,0.00,0.00,0.00,0.00,37.86,110.26,0.00,0.00
13.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,103.11,17.74,0.45,16.96,14.92,81.71,5.13,2.82,116.20,68.68,90.79,0.00,33.00,75.90,0.00,1.97,6.88,63.50,0.00,6.39,9.00,41.96,3.45,9.71,0.00,0.00,42.00,0.00,51.97,51.67,116.17,75.50,116.19,1.46,0.00,67.01,46.15,41.56,27.01,12.09,0.00,0.00,0.00,25.00,110.26,0.00,0.00
14.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,104.61,17.74,0.45,16.96,14.92,81.71,5.13,2.82,116.20,60.04,92.61,0.00,33.00,75.90,0.00,1.97,6.88,63.50,0.00,6.39,9.00,49.84,3.45,11.53,0.00,0.00,52.50,0.00,49.17,26.80,0.00,90.62,0.00,1.46,0.00,70.41,39.22,53.15,27.01,12.09,0.00,0.00,0.00,53.45,110.26,0.00,0.00
15.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,109.81,17.74,0.45,16.96,14.92,81.71,5.13,2.82,116.20,58.73,98.93,0.00,4.12,75.90,0.00,1.97,6.88,43.84,0.00,6.39,9.00,58.11,3.45,13.44,0.00,0.00,63.00,0.00,62.41,61.89,0.00,84.71,0.00,1.46,0.00,66.99,39.27,53.18,27.01,12.09,0.00,0.00,0.00,25.00,110.26,0.00,0.00
16.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,109.64,17.74,0.45,16.96,14.92,81.71,5.13,2.82,116.20,55.97,98.72,0.00,32.99,75.90,0.00,1.97,6.88,43.84,0.00,6.39,9.00,56.57,3.45,13.08,0.00,0.00,63.00,0.00,26.80,20.62,0.00,107.92,0.00,1.46,0.00,67.04,40.22,53.95,27.01,12.09,0.00,0.00,0.00,82.00,110.26,0.00,0.00
17.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,109.81,17.74,0.45,16.96,14.92,81.48,5.13,2.82,116.20,53.28,98.93,0.00,33.00,75.90,0.00,1.97,6.88,43.84,0.00,6.39,9.00,53.22,3.45,12.31,0.00,0.00,63.00,0.00,49.07,48.84,0.00,75.35,152.64,1.46,0.00,66.99,38.30,52.41,27.01,12.09,0.00,0.00,0.00,85.00,56.80,0.00,0.00
18.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,109.81,17.74,0.45,16.96,14.92,81.02,5.13,2.82,116.20,55.14,98.93,0.00,33.00,75.90,0.00,1.97,6.88,43.84,0.00,6.39,9.00,64.03,3.45,14.81,0.00,0.00,65.00,0.00,20.62,32.63,0.00,76.14,176.10,1.46,0.00,66.99,52.75,39.69,27.01,12.09,0.00,0.00,0.00,85.00,101.46,0.00,0.00
19.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,109.81,17.74,0.45,16.96,14.92,80.66,5.13,2.82,116.20,58.38,98.93,0.00,31.18,75.90,0.00,1.97,6.88,43.84,0.00,6.39,9.00,75.02,3.45,17.35,0.00,0.00,65.00,0.00,26.81,20.62,95.98,81.56,95.98,1.46,0.00,67.94,39.76,52.68,27.01,12.09,0.00,0.00,0.00,85.00,109.07,0.00,0.00
20.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,109.81,17.74,0.45,16.96,14.92,80.36,5.13,2.82,116.20,60.55,98.93,0.00,30.71,75.90,15.51,1.97,6.88,43.84,0.00,6.39,9.00,81.11,3.45,18.76,0.00,0.00,65.00,0.00,26.81,20.62,98.12,81.71,98.13,1.46,0.00,70.94,52.43,40.01,27.01,12.09,0.00,0.00,0.00,85.00,109.54,0.00,0.00
21.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,109.81,17.74,0.45,16.96,14.92,82.71,5.13,2.82,116.20,62.24,98.93,0.00,33.00,75.90,15.51,1.97,6.88,43.84,0.00,6.39,9.00,85.48,3.45,19.77,0.00,0.00,65.00,0.00,52.01,51.71,123.96,75.28,123.98,1.46,0.00,75.00,52.87,39.57,27.01,12.09,0.00,0.00,0.00,85.00,50.97,0.00,0.00
22.00,65.47,29.95,67.13,635.88,206.86,3.76,0.00,109.81,17.74,0.45,16.96,14.92,84.03,5.13,2.82,116.20,62.98,98.93,0.00,23.67,75.90,15.51,1.97,6.88,43.84,0.00,6.39,9.00,85.48,3.45,19.77,0.00,0.00,65.00,0.00,57.42,20.62,141.64,75.33,141.69,1.46,0.00,75.00,31.96,47.80,27.01,12.09,0.00,0.00,0.00,85.00,97.27,0.00,0.00
23.00,60.08,29.95,67.13,635.88,206.86,3.76,0.00,98.48,17.74,0.45,16.96,14.92,81.71,5.13,2.82,116.20,62.59,85.15,0.00,4.12,75.90,17.17,1.97,6.88,43.84,0.00,6.39,9.00,85.48,3.45,19.77,144.33,0.00,65.00,0.00,20.62,66.01,115.66,75.26,115.68,1.46,0.00,66.99,39.92,21.39,27.01,12.09,0.00,0.00,0.00,85.00,74.27,0.00,0.00
24.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,95.07,17.74,0.45,16.96,14.92,81.71,5.13,2.82,116.20,59.45,81.00,0.00,0.00,75.90,17.17,1.97,6.88,43.84,0.00,6.39,9.00,85.48,3.45,19.77,144.33,0.00,35.50,0.00,51.27,20.62,89.39,80.91,89.39,1.46,0.00,73.89,36.89,50.75,27.01,12.09,0.00,0.00,0.00,85.00,88.98,0.00,0.00
25.00,63.48,29.95,67.13,635.88,206.86,3.76,0.00,90.82,17.74,0.45,16.96,14.92,27.82,5.13,2.82,116.20,58.60,75.83,0.00,0.00,75.90,17.17,1.97,6.88,43.84,0.00,6.39,9.00,85.41,3.45,19.76,144.33,0.00,0.00,0.00,67.29,66.73,80.98,81.86,80.98,1.46,0.00,67.89,29.06,45.67,27.01,12.09,0.00,0.00,0.00,84.54,27.32,0.00,0.00
26.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,86.11,17.74,0.45,16.96,14.92,22.10,5.13,2.82,116.20,55.63,70.10,0.00,0.00,75.90,17.17,1.97,6.88,43.84,0.00,6.39,9.00,70.45,3.45,16.30,144.33,0.00,30.50,0.00,56.27,20.62,66.51,72.85,66.51,1.46,0.00,67.01,45.47,42.17,27.01,12.09,0.00,0.00,0.00,85.00,83.99,0.00,0.00
27.00,51.52,29.95,67.13,635.88,206.86,3.76,0.00,91.11,17.74,0.45,16.96,14.92,20.38,5.13,2.82,116.20,52.52,76.19,0.00,0.00,75.90,17.17,1.97,6.88,43.84,0.00,6.39,9.00,80.15,3.45,18.54,144.33,0.00,60.00,0.00,55.11,54.73,66.50,72.84,66.50,1.46,0.00,67.01,44.44,0.00,27.01,12.09,0.00,0.00,0.00,39.01,110.26,0.00,0.00
28.00,56.96,29.95,67.13,635.88,206.86,3.76,0.00,88.02,17.74,0.45,16.96,14.92,17.57,5.13,2.82,116.20,53.27,72.42,0.00,0.00,75.90,17.17,1.97,6.88,43.84,0.00,6.39,9.00,69.32,3.45,16.03,144.33,0.00,30.00,0.00,62.03,61.51,66.50,72.84,66.50,1.46,0.00,67.01,53.42,0.00,27.01,12.09,0.00,0.00,0.00,81.58,40.76,0.00,0.00
29.00,63.48,29.95,67.13,635.88,206.86,3.76,0.00,92.46,17.74,0.45,16.96,14.92,19.94,5.13,2.82,116.20,55.98,77.83,0.00,12.00,75.90,17.17,1.97,6.88,43.84,0.00,6.39,9.00,80.56,3.45,18.64,144.33,0.00,0.00,0.00,67.29,66.74,66.50,72.84,66.50,1.46,0.00,67.01,43.53,26.16,27.01,12.09,0.00,0.00,0.00,52.08,59.78,0.00,0.00
30.00,63.48,29.95,67.13,635.88,206.86,3.76,0.00,90.52,17.74,0.45,16.96,14.92,22.17,5.13,2.82,116.20,60.18,75.46,0.00,12.00,75.90,17.17,1.97,6.88,43.84,0.00,6.39,9.00,76.11,3.45,17.60,144.33,0.00,0.00,0.00,67.29,66.73,66.50,72.84,66.50,1.46,0.00,67.01,33.10,33.35,27.01,12.09,0.00,0.00,0.00,84.54,27.32,0.00,0.00
31.00,63.09,29.95,67.13,635.88,206.86,3.76,0.00,93.80,17.74,0.45,16.96,14.92,38.18,5.13,2.82,116.20,63.25,79.46,0.00,4.12,75.90,17.17,1.97,6.88,43.84,0.00,6.39,9.00,82.21,3.45,19.02,144.33,0.00,0.00,0.00,67.88,67.33,68.41,74.64,68.41,1.46,0.00,67.01,44.01,28.64,27.01,12.09,0.00,0.00,0.00,83.36,27.32,0.00,0.00
32.00,72.37,29.95,67.13,635.88,206.86,3.76,0.00,94.97,17.74,0.45,16.96,14.92,78.91,5.13,2.82,116.20,68.17,80.88,0.00,4.12,75.90,17.17,1.97,6.88,43.84,0.00,6.39,9.00,84.73,3.45,19.60,144.33,0.00,35.00,0.00,51.77,20.62,85.42,80.37,85.42,1.46,0.00,70.67,50.58,37.06,27.01,12.09,0.00,0.00,0.00,85.00,88.48,0.00,0.00
33.00,67.14,29.95,67.13,635.88,206.86,3.76,0.00,104.00,17.74,0.45,16.96,14.92,81.71,5.13,2.82,116.20,74.24,91.86,0.00,4.84,75.90,17.17,1.97,6.88,43.84,0.00,6.39,9.00,85.48,3.45,19.77,144.34,0.00,65.00,0.00,45.30,45.30,111.57,87.95,111.59,1.34,0.00,75.00,31.78,47.43,27.01,10.31,0.00,0.00,0.00,85.00,70.28,0.00,0.00
