"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,56.11,29.95,67.13,635.88,206.86,7.98,8.37,51.69,17.56,0.45,17.01,14.92,95.80,5.13,2.82,111.58,71.60,28.73,0.00,26.16,72.21,13.01,1.97,6.88,60.97,0.00,6.39,9.00,85.48,4.43,19.77,0.00,144.33,36.28,65.36,66.14,45.15,184.17,197.14,184.23,1.46,0.00,66.99,34.20,21.86,28.02,0.00,12.09,0.00,28.59,71.22,26.16,93.90,139.84
2.00,58.86,29.95,67.13,635.88,206.86,7.98,8.37,57.90,17.56,0.45,17.01,14.92,102.37,5.13,2.82,111.58,92.75,36.28,0.00,34.64,72.21,28.03,1.97,6.88,60.97,0.00,6.39,9.00,85.48,4.43,19.77,0.00,144.33,67.50,67.10,50.26,20.79,184.17,197.14,184.23,1.71,0.00,66.99,53.47,0.00,28.02,0.00,15.96,0.00,65.18,66.81,20.62,110.22,133.41
3.00,57.20,29.95,67.13,635.88,206.86,7.98,8.37,56.11,17.56,0.45,17.01,14.92,99.31,5.13,2.82,111.58,91.96,34.11,0.00,22.99,72.21,28.03,1.97,6.88,60.97,0.00,6.39,9.00,85.48,4.43,19.77,0.00,144.33,67.50,67.09,55.54,21.70,184.17,197.14,184.23,1.82,71.07,58.26,58.77,0.00,28.02,0.00,17.55,0.00,42.14,83.72,27.34,110.20,131.61
4.00,64.83,29.95,67.13,635.88,206.86,7.98,8.37,59.30,17.56,0.45,17.01,14.92,113.40,5.13,2.82,111.58,93.97,37.99,0.00,35.36,72.21,28.03,1.97,6.88,60.97,0.00,6.39,9.00,85.48,4.43,19.77,0.00,144.33,47.60,64.07,64.84,64.30,184.17,197.14,184.23,2.39,74.91,54.22,41.88,26.67,28.02,0.00,26.33,0.00,60.15,61.62,25.46,110.22,138.03
5.00,78.57,29.95,67.13,635.88,206.86,7.98,8.37,74.54,17.56,0.45,17.01,14.92,134.46,5.13,2.82,111.58,95.56,56.53,0.00,18.56,72.21,28.03,1.97,6.88,60.97,0.00,6.39,9.00,85.48,4.43,19.77,0.00,149.54,67.50,67.10,28.64,48.40,184.17,197.14,184.23,3.73,74.91,56.78,50.22,62.71,28.02,23.55,23.47,0.00,28.61,87.27,110.26,110.22,145.99
6.00,78.57,29.95,67.13,635.88,206.86,7.98,8.37,76.23,17.56,0.45,17.01,14.92,138.12,5.13,2.82,111.58,95.23,58.59,0.00,18.56,72.21,28.03,1.97,6.88,60.97,0.00,6.39,9.00,85.48,4.43,19.77,0.00,151.69,67.50,67.10,67.88,20.62,184.17,197.14,184.23,2.67,74.91,55.61,48.42,59.71,28.02,30.67,0.00,0.00,25.52,87.27,100.97,110.22,146.00
7.00,77.08,29.95,67.13,635.88,206.86,7.98,8.37,67.38,17.56,0.45,17.01,14.92,126.62,5.13,2.82,111.58,92.45,47.82,0.00,20.33,72.21,28.03,1.97,6.88,60.97,0.00,6.39,9.00,85.48,4.43,19.77,0.00,144.33,67.50,67.10,26.85,45.96,184.17,197.14,184.23,2.09,74.91,62.84,46.19,53.38,28.02,10.89,10.89,0.00,25.01,87.27,110.26,110.22,141.55
8.00,78.57,29.95,67.13,635.88,206.86,7.98,8.37,99.89,17.56,0.45,17.01,14.92,137.44,5.13,2.82,111.58,91.52,87.37,0.00,35.37,72.21,28.03,1.97,6.88,60.97,0.00,6.39,0.00,85.48,4.43,19.77,0.00,0.00,67.50,67.10,30.17,30.17,184.17,197.14,184.23,0.00,74.91,53.41,50.25,62.68,28.02,0.00,0.00,0.00,31.87,87.27,110.26,110.22,145.95
9.00,78.57,29.95,67.13,635.88,206.86,7.98,8.37,99.89,17.56,0.45,17.01,14.92,125.65,5.13,2.82,111.58,88.87,87.37,0.00,19.11,72.21,28.03,1.97,6.88,60.97,0.00,6.39,0.00,85.48,4.43,19.77,0.00,0.00,0.00,63.63,21.88,21.88,184.17,197.14,184.23,0.00,74.91,76.30,48.55,59.58,28.02,0.00,0.00,0.00,25.00,85.00,110.26,110.22,141.30
10.00,70.03,29.95,67.13,635.88,206.86,7.98,8.37,76.99,17.56,0.45,17.01,14.92,119.24,5.13,2.82,111.58,81.01,59.51,0.00,29.53,72.21,28.03,1.97,6.88,60.97,0.00,6.39,0.00,68.78,4.43,15.91,0.00,0.00,63.45,63.05,22.21,22.21,184.17,197.14,184.23,0.00,0.00,62.39,45.86,40.64,28.02,0.00,0.00,0.00,25.00,84.93,110.26,24.06,117.15
11.00,71.93,29.95,67.13,635.88,206.86,7.98,8.37,71.21,17.56,0.45,17.01,14.92,119.24,5.13,2.82,111.58,78.95,52.47,0.00,35.37,72.21,28.03,1.97,6.88,60.97,0.00,6.39,0.00,54.77,4.43,12.67,0.00,0.00,0.00,64.32,65.09,20.63,184.17,197.14,184.23,0.00,0.00,0.00,44.17,42.33,28.02,0.00,0.00,0.00,31.97,81.43,42.97,0.00,111.96
12.00,70.03,29.95,67.13,635.88,206.86,7.98,8.37,42.11,17.56,0.45,17.01,14.92,119.24,5.13,2.82,111.58,72.94,17.08,0.00,34.02,72.21,28.03,1.97,6.88,60.97,0.00,6.39,0.00,0.00,4.43,0.00,0.00,0.00,0.00,67.10,61.16,20.62,184.17,197.14,184.23,0.00,0.00,0.00,45.86,40.64,28.02,0.00,0.00,0.00,25.00,63.12,56.56,0.00,91.45
