"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,62.15,29.95,67.13,635.88,206.86,7.98,8.37,93.47,17.56,0.45,19.00,9.95,80.00,5.13,2.82,111.58,58.75,85.06,20.85,18.08,77.31,13.13,1.97,6.88,60.97,0.00,0.00,9.00,84.94,4.43,19.65,0.00,144.33,38.14,66.86,67.64,22.19,0.00,104.76,0.00,1.46,0.00,30.93,66.56,0.00,32.76,0.00,12.09,0.00,25.00,46.95,110.26,0.00,58.45
2.00,60.25,29.95,67.13,635.88,206.86,7.98,8.37,93.47,17.56,0.45,19.00,9.95,80.00,5.13,2.82,111.58,60.77,85.06,20.85,18.08,77.31,13.13,1.97,6.88,60.97,0.00,0.00,9.00,84.94,4.43,19.65,0.00,150.52,0.00,64.09,20.62,64.31,67.65,73.93,0.00,1.46,0.00,67.01,66.56,0.00,32.76,0.00,12.09,0.00,20.62,25.00,110.26,0.00,61.33
3.00,64.05,29.95,67.13,635.88,206.86,7.98,8.37,93.47,17.56,0.45,19.00,9.95,80.00,5.13,2.82,111.58,74.38,85.06,20.85,18.08,77.31,13.13,1.97,6.88,60.97,0.00,0.00,9.00,84.94,4.43,19.65,0.00,0.00,0.00,65.77,66.55,0.00,184.17,84.71,0.00,1.46,0.00,30.93,66.56,0.00,32.76,0.00,12.09,0.00,49.14,25.00,95.34,0.00,119.17
4.00,62.15,29.95,67.13,635.88,206.86,7.98,8.37,93.47,17.56,0.45,19.00,9.95,80.00,5.13,2.82,111.58,64.35,85.06,20.85,18.08,77.31,13.13,1.97,6.88,60.97,0.00,0.00,9.00,84.94,4.43,19.65,0.00,0.00,0.00,20.62,67.88,49.50,184.17,0.00,0.00,1.46,0.00,45.00,66.56,0.00,32.76,0.00,12.09,0.00,79.30,25.00,80.12,0.00,74.91
5.00,60.25,29.95,67.13,635.88,206.86,7.98,8.37,93.47,17.56,0.45,19.00,9.95,80.00,5.13,2.82,111.58,66.84,85.06,20.85,30.07,77.31,13.13,1.97,6.88,60.97,0.00,0.00,9.00,84.94,4.43,19.65,0.00,0.00,0.00,54.33,34.87,54.48,66.49,72.84,0.00,1.46,0.00,30.93,66.56,0.00,32.76,0.00,12.09,0.00,20.62,25.00,110.26,0.00,0.00
6.00,63.48,29.95,67.13,635.88,206.86,7.98,8.37,93.47,17.56,0.45,19.00,9.95,80.00,5.13,2.82,111.58,63.08,85.06,20.85,28.60,77.31,13.13,1.97,6.88,60.97,0.00,0.00,9.00,84.94,4.43,19.65,0.00,0.00,0.00,66.90,0.00,67.12,0.00,72.84,0.00,1.46,0.00,30.93,66.56,0.00,32.76,0.00,12.09,0.00,20.62,25.00,109.03,0.00,0.00
7.00,56.59,29.95,67.13,635.88,206.86,7.98,8.37,93.47,17.56,0.45,19.00,9.95,80.00,5.13,2.82,111.58,51.73,85.06,20.85,34.02,77.31,13.13,1.97,6.88,60.97,0.00,0.00,9.00,84.94,4.43,19.65,0.00,0.00,0.00,66.62,67.40,20.62,0.00,0.00,0.00,1.46,0.00,45.00,51.39,0.00,32.76,0.00,12.09,0.00,25.00,65.78,63.60,0.00,0.00
8.00,60.39,29.95,67.13,635.88,206.86,7.98,8.37,93.47,17.56,0.45,19.00,9.95,80.00,5.13,2.82,111.58,60.68,85.06,20.85,29.55,77.31,13.13,1.97,6.88,60.97,0.00,0.00,9.00,84.94,4.43,19.65,0.00,0.00,0.00,20.62,55.33,67.33,0.00,0.00,0.00,1.46,0.00,0.00,66.56,0.00,32.76,0.00,12.09,0.00,84.52,25.00,60.70,0.00,0.00
9.00,65.01,29.69,67.13,635.87,206.86,7.98,8.37,93.47,17.56,0.45,19.00,9.95,80.00,5.13,2.82,111.58,56.20,85.06,20.85,34.02,77.31,13.13,1.97,6.88,60.97,0.00,0.00,9.00,84.94,4.43,19.65,0.00,0.00,0.00,60.19,0.00,67.33,0.00,72.84,0.00,1.46,0.00,0.00,66.56,0.00,32.76,0.00,12.09,0.00,0.00,31.96,95.68,0.00,0.00
10.00,68.13,29.95,67.13,635.88,206.86,7.98,8.37,93.47,17.56,0.45,19.00,9.95,80.00,5.13,2.82,111.58,61.57,85.06,20.85,18.56,77.31,13.13,1.97,6.88,60.97,0.00,0.00,9.00,84.94,4.43,19.65,0.00,0.00,0.00,0.00,67.29,66.73,0.00,72.84,0.00,1.46,0.00,0.00,66.56,0.00,32.76,0.00,12.09,0.00,0.00,62.99,73.61,0.00,0.00
