"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,63.95,29.95,45.05,582.01,189.34,7.98,8.37,98.03,17.21,0.63,0.00,14.92,80.00,5.13,2.82,125.00,59.30,99.86,21.75,20.71,82.58,17.16,3.09,6.88,68.30,6.39,9.00,85.48,3.45,19.77,0.00,0.00,63.34,62.95,0.00,63.17,0.00,72.84,0.00,2.01,0.00,0.00,43.65,28.09,40.00,10.31,10.31,0.00,31.96,31.96,63.40,20.62,18.33
2.00,72.37,29.95,45.05,603.49,196.33,7.98,8.37,98.03,17.21,0.63,0.00,14.92,80.00,5.13,2.82,125.00,55.65,99.86,21.75,23.01,82.58,17.16,3.09,6.88,68.30,6.39,9.00,4.64,3.45,0.00,0.00,0.00,45.16,62.23,0.00,0.00,0.00,72.84,0.00,2.01,0.00,0.00,47.59,44.21,40.00,10.31,10.31,0.00,25.00,48.84,110.26,20.62,18.33
3.00,57.58,29.95,45.05,549.43,178.74,7.98,8.37,98.03,17.21,0.63,0.00,14.92,80.00,5.13,2.82,125.00,50.67,99.86,21.75,15.14,82.58,26.25,3.09,6.88,68.30,6.39,9.00,85.48,3.45,19.77,0.00,0.00,67.50,67.10,20.62,0.00,0.00,72.84,0.00,1.46,0.00,0.00,39.18,20.62,40.00,0.00,12.09,0.00,68.27,68.27,0.00,22.32,18.33
4.00,61.91,29.95,45.05,617.55,200.90,7.98,8.37,98.03,17.21,0.63,0.00,14.92,80.00,5.13,2.82,125.00,53.53,99.86,21.75,23.52,82.58,26.25,3.09,6.88,68.30,6.39,9.00,5.99,3.45,0.00,0.00,0.00,54.32,65.24,66.01,0.00,0.00,72.84,0.00,1.46,0.00,0.00,39.84,21.32,40.00,0.00,12.09,0.00,25.00,31.96,69.59,0.00,18.33
5.00,55.90,29.95,45.05,619.87,201.65,7.98,8.37,98.03,17.21,0.63,0.00,14.92,80.00,5.13,2.82,125.00,58.18,99.86,21.75,23.52,82.58,26.25,3.09,6.88,68.30,6.39,9.00,85.48,3.45,19.77,0.00,0.00,61.87,61.48,62.22,0.00,0.00,72.84,0.00,2.10,0.00,0.00,0.00,52.62,40.00,10.96,10.96,0.00,25.00,25.00,94.33,0.00,18.33
6.00,60.24,29.95,45.05,625.01,203.33,7.98,8.37,98.03,17.21,0.63,0.00,14.92,80.00,5.13,2.82,125.00,65.22,99.86,21.75,23.52,82.58,26.25,3.09,6.88,68.30,6.39,9.00,85.48,3.45,19.77,0.00,0.00,24.44,67.10,67.88,0.00,0.00,77.22,0.00,2.17,0.00,0.00,41.44,23.20,40.00,11.48,11.48,0.00,31.96,31.96,93.38,0.00,18.33
7.00,72.37,29.95,45.05,625.01,203.33,7.98,8.37,98.03,17.21,0.63,0.00,14.92,80.00,5.13,2.82,125.00,72.18,99.86,21.75,23.52,82.58,26.25,3.09,6.88,68.30,6.39,9.00,85.48,3.45,19.77,0.00,0.00,0.00,0.00,61.17,0.00,0.00,78.43,82.71,2.22,0.00,0.00,46.78,40.85,40.00,11.91,11.91,0.00,36.37,63.85,110.26,0.00,18.33
8.00,72.77,29.95,45.05,625.01,203.33,7.98,8.37,98.03,17.21,0.63,0.00,14.92,80.00,5.13,2.82,125.00,72.18,99.86,21.75,23.52,82.58,26.25,3.09,6.88,68.30,6.39,9.00,85.48,3.45,19.77,0.00,0.00,0.00,0.00,67.88,0.00,0.00,84.42,168.90,2.09,0.00,0.00,47.70,46.22,40.00,10.91,10.91,0.00,25.00,67.74,110.26,0.00,30.84
9.00,76.99,29.95,45.05,614.01,199.75,7.98,8.37,98.03,17.21,0.63,29.29,14.92,80.00,5.13,2.82,125.00,80.75,99.86,21.75,23.52,82.58,26.25,3.09,6.88,68.30,6.39,9.00,85.48,3.45,19.77,0.00,0.00,0.00,0.00,44.88,0.00,129.48,83.21,129.51,2.56,0.00,67.01,49.32,54.33,40.00,14.51,14.50,0.00,77.33,42.82,110.26,0.00,76.03
10.00,78.57,29.95,45.05,625.01,203.33,7.98,8.37,98.03,17.21,0.63,29.29,14.92,80.00,5.13,2.82,125.00,89.30,99.86,21.75,23.52,82.58,26.25,3.09,6.88,68.30,6.39,9.00,85.48,3.45,19.77,0.00,0.00,38.44,0.00,48.57,0.00,184.17,136.68,0.00,3.16,0.00,66.99,50.36,62.57,40.00,19.10,19.07,0.00,66.44,25.00,110.26,0.00,115.10
