"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CT AGROLMOS"
1.00,0.00,18.83,0.00,0.00,2.90,7.70,2.30,7.30,1.70,0.40,3.50,19.50,0.00,0.00,3.10,0.00,6.80,14.77,37.70,8.09,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,0.00,25.36,68.38,2.50,27.41,4.50,12.00,0.00,17.86,0.00,0.60,5.00,5.50,5.70,2.40,26.80,7.00,8.00,19.42,2.50,10.70,4.76,0.00,2.40,1.66,3.16,18.00,0.00,0.00,0.00,0.40,64.80,84.50,3.54,2.95,0.00,102.80,19.20,0.00,1.88,0.00,0.00,0.00,0.00,11.00
2.00,0.00,19.05,0.00,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,0.00,0.00,3.10,0.00,6.80,14.77,34.80,8.09,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,0.00,25.10,67.13,2.50,27.36,4.50,12.00,0.00,17.86,0.00,0.60,5.00,5.50,5.70,2.40,27.20,7.00,8.00,19.42,2.50,10.70,5.53,0.00,2.40,9.02,13.00,18.00,0.00,0.00,0.00,0.40,64.10,83.40,3.54,2.28,0.00,102.40,18.90,0.00,2.00,0.00,0.00,0.00,0.00,11.00
3.00,0.00,18.83,0.00,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,0.00,0.00,3.10,0.00,6.80,15.07,30.90,8.09,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,0.00,24.91,65.88,2.50,27.32,4.50,12.00,0.00,17.86,0.00,0.60,5.00,5.50,5.70,2.40,25.50,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,8.77,13.03,18.00,0.00,0.00,0.00,0.40,63.60,82.10,3.42,2.26,0.00,101.80,19.70,0.00,2.00,0.00,0.00,0.00,0.00,11.00
4.00,0.00,19.04,0.00,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,0.00,0.00,3.10,0.00,6.80,15.28,27.60,8.09,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,0.00,24.61,64.77,2.50,27.38,4.50,12.00,0.00,17.86,0.00,0.60,5.00,5.50,5.70,2.40,23.20,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,8.50,13.08,18.00,0.00,0.00,0.00,0.40,63.80,81.70,3.33,2.25,0.00,101.10,19.80,0.00,2.00,0.00,0.00,0.00,0.00,11.00
5.00,0.00,19.72,0.00,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,0.00,0.00,3.10,0.00,6.80,14.98,26.20,8.09,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,0.00,24.23,63.78,2.50,27.47,4.50,12.00,0.00,17.86,0.00,0.60,5.00,5.50,5.70,2.40,19.00,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,8.68,13.24,18.00,0.00,0.00,0.00,0.40,64.10,81.50,3.23,2.19,0.00,100.20,17.40,0.00,2.00,0.00,0.00,0.00,0.00,11.00
6.00,0.00,19.99,0.00,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,0.00,0.00,3.10,0.00,6.80,14.51,24.50,8.09,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,0.00,23.84,62.44,2.50,27.38,4.50,12.00,0.00,17.86,0.00,0.60,5.00,5.50,5.70,2.40,15.20,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,9.01,13.43,18.00,0.00,0.00,0.00,0.40,61.40,79.60,3.14,2.12,0.00,98.80,15.00,0.00,2.00,0.00,0.00,0.00,0.00,11.00
7.00,0.00,20.05,0.00,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,0.00,0.00,3.10,0.00,6.80,13.91,22.00,8.09,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,0.00,23.43,60.73,2.50,27.34,4.50,12.00,0.00,17.86,0.00,0.60,5.00,5.50,5.70,2.40,12.20,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,9.11,13.37,18.00,0.00,0.00,0.00,0.40,57.70,77.10,3.02,1.98,0.00,95.50,12.70,0.00,2.00,0.00,0.00,0.00,0.00,11.00
8.00,0.00,20.61,0.00,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,0.00,0.00,3.10,0.00,6.80,13.27,20.00,8.08,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,0.00,23.02,58.99,2.50,27.35,4.50,12.00,0.00,17.86,0.00,0.60,5.00,5.50,5.70,2.40,9.90,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,9.13,13.22,18.00,0.00,0.00,0.00,0.40,53.30,72.50,2.89,1.82,0.00,92.60,11.00,0.00,2.00,0.00,0.00,0.00,0.00,11.00
9.00,0.00,20.98,0.00,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,0.00,0.00,3.10,0.00,6.80,13.05,19.30,8.09,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,0.00,22.59,57.21,2.50,27.33,4.50,12.00,0.00,17.86,0.00,0.60,5.00,5.50,5.70,2.40,9.20,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,9.20,13.38,18.00,0.00,0.00,0.00,0.40,49.60,68.20,2.76,1.69,0.00,90.30,11.00,0.00,1.96,0.00,0.00,0.00,0.00,11.00
10.00,0.00,20.50,0.00,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,0.00,0.00,3.10,0.00,6.80,12.97,18.30,8.08,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,0.00,22.08,55.69,2.50,27.39,4.50,12.00,0.00,17.86,0.00,0.60,5.00,5.50,5.70,2.40,8.70,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,9.29,13.65,18.00,0.00,0.00,0.00,0.40,46.70,64.40,2.62,1.57,0.00,88.30,10.80,0.00,1.88,0.00,0.00,0.00,0.00,11.00
