"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,79.90,5.13,2.82,0.00,112.36,88.38,21.75,4.12,158.13,0.00,1.97,6.88,0.00,6.39,9.98,73.08,3.45,16.90,161.92,0.00,20.77,31.74,38.69,0.00,133.15,91.37,133.19,5.67,74.91,76.30,47.35,48.67,53.64,30.67,30.56,30.55,29.27,84.84,110.09,34.61,146.00
2.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,79.90,5.13,2.82,0.00,112.36,88.38,21.75,0.00,158.13,0.00,1.97,6.88,0.00,6.39,9.98,59.51,3.45,13.76,152.87,0.00,0.00,0.00,67.88,0.00,87.83,79.49,87.83,5.67,74.91,75.00,46.39,47.29,53.64,30.67,30.56,30.55,22.08,73.30,92.95,0.00,146.00
3.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,79.90,5.13,2.82,0.00,112.36,88.38,21.75,0.00,158.13,0.00,1.97,6.88,0.00,6.39,9.98,16.49,3.45,3.81,144.33,0.00,0.00,0.00,65.85,0.00,0.00,72.84,0.00,5.67,74.91,75.00,40.57,47.07,53.64,30.67,30.56,30.55,20.62,58.42,110.26,0.00,146.00
4.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,44.02,5.13,2.82,0.00,112.36,88.38,21.75,0.00,158.13,0.00,1.97,6.88,0.00,6.39,9.98,0.00,3.45,0.00,0.00,0.00,0.00,0.00,40.63,0.00,0.00,72.84,0.00,5.67,0.00,75.00,44.34,48.10,53.64,30.67,30.56,30.55,34.02,70.24,110.26,0.00,133.98
5.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,36.68,5.13,2.82,0.00,112.36,88.38,21.75,0.00,158.13,0.00,1.97,6.88,0.00,6.39,9.98,0.00,3.45,0.00,0.00,0.00,20.62,0.00,65.28,20.62,0.00,0.00,0.00,5.67,0.00,75.00,45.30,47.15,53.64,30.67,30.56,30.55,20.62,58.99,110.26,0.00,133.44
6.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,38.78,5.13,2.82,0.00,112.36,88.38,21.75,0.00,158.13,0.00,1.97,6.88,0.00,6.39,9.98,0.00,3.45,0.00,0.00,0.00,20.62,0.00,65.28,20.62,0.00,0.00,0.00,5.67,0.00,75.00,45.41,47.16,53.64,30.67,30.56,30.55,39.81,39.81,110.26,0.00,136.36
7.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,53.21,5.13,2.82,0.00,112.36,120.01,21.75,0.00,158.13,0.00,1.97,6.88,0.00,6.39,9.98,49.66,3.45,11.49,0.00,0.00,20.62,0.00,65.28,20.62,0.00,0.00,0.00,5.67,0.00,75.00,45.19,47.13,53.64,30.67,30.56,30.55,20.62,58.99,110.26,0.00,140.37
8.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,47.35,5.13,2.82,0.00,112.36,120.01,21.75,0.00,158.13,0.00,1.97,6.88,0.00,6.39,9.98,55.80,3.45,12.91,0.00,0.00,20.62,0.00,65.28,20.62,0.00,0.00,0.00,5.67,0.00,75.00,49.48,47.77,53.64,30.67,30.56,30.55,20.62,58.99,110.26,0.00,138.87
9.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,43.21,5.13,2.82,0.00,112.36,120.01,21.75,0.00,158.13,0.00,1.97,6.88,0.00,6.39,9.98,36.82,3.45,8.52,144.33,0.00,20.62,0.00,65.28,20.62,0.00,0.00,0.00,5.67,0.00,75.00,41.10,46.53,53.64,30.67,30.56,30.55,39.81,39.81,110.26,0.00,138.25
10.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,45.13,5.13,2.82,0.00,112.36,120.01,21.75,0.00,158.13,0.00,1.97,6.88,0.00,6.39,9.98,44.77,3.45,10.36,144.33,0.00,20.62,0.00,65.28,20.62,0.00,0.00,0.00,5.67,0.00,75.00,47.34,47.44,53.64,30.67,30.56,30.55,20.62,58.99,110.26,0.00,139.14
11.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,54.52,5.13,2.82,0.00,112.36,120.01,21.75,4.12,158.13,0.00,1.97,6.88,0.00,6.39,9.98,42.61,3.45,9.86,144.33,0.00,26.80,0.00,59.91,20.62,0.00,0.00,0.00,5.67,74.91,75.00,43.26,46.85,53.64,30.67,30.56,30.55,58.17,20.62,110.26,0.00,139.16
12.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,75.91,5.13,2.82,0.00,112.36,120.01,21.75,35.37,158.13,0.00,1.97,6.88,0.00,6.39,9.98,69.40,3.45,16.05,0.00,0.00,20.62,0.00,67.88,20.62,0.00,0.00,0.00,5.67,74.91,75.00,46.00,47.24,53.64,30.67,30.56,30.55,85.00,64.33,40.04,0.00,142.00
13.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,74.40,5.13,2.82,0.00,112.36,120.01,21.75,18.00,158.13,0.00,1.97,6.88,0.00,6.39,9.98,73.20,3.45,16.93,0.00,0.00,0.00,66.74,20.62,26.80,0.00,0.00,0.00,5.67,74.91,66.99,48.79,47.66,53.64,30.67,30.56,30.55,36.94,79.00,110.26,0.00,141.37
14.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,73.17,5.13,2.82,0.00,112.36,120.01,21.75,4.47,158.13,0.00,1.97,6.88,0.00,6.39,9.98,72.18,3.45,16.70,0.00,0.00,0.00,0.00,52.31,30.60,0.00,72.84,0.00,5.67,74.91,66.99,45.78,46.67,53.64,30.67,30.56,30.55,46.51,70.14,99.82,0.00,140.50
15.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,71.56,5.13,2.82,0.00,112.36,120.01,21.75,4.12,158.13,0.00,1.97,6.88,0.00,6.39,9.98,71.69,3.45,16.58,0.00,0.00,0.00,0.00,58.84,24.15,0.00,72.84,0.00,5.67,74.91,75.00,45.71,46.73,53.64,30.67,30.56,30.55,34.19,80.98,101.91,0.00,139.77
16.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,70.69,5.13,2.82,0.00,112.36,120.01,21.75,24.74,158.13,0.00,1.97,6.88,0.00,6.39,9.98,68.21,3.45,15.78,0.00,0.00,0.00,0.00,51.76,25.85,0.00,72.84,0.00,5.67,74.91,75.00,45.24,47.21,53.64,30.67,30.56,30.55,38.24,73.12,99.19,0.00,138.82
17.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,61.53,5.13,2.82,0.00,112.36,120.01,21.75,4.12,158.13,0.00,1.97,6.88,0.00,6.39,9.98,48.95,3.45,11.32,0.00,0.00,0.00,0.00,58.93,58.46,0.00,72.84,66.49,5.67,74.91,75.00,41.09,47.64,53.64,30.67,30.56,30.55,48.54,74.27,23.42,0.00,134.93
18.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,64.59,5.13,2.82,0.00,112.36,120.01,21.75,4.12,158.13,0.00,1.97,6.88,0.00,6.39,9.98,47.19,3.45,10.92,0.00,0.00,0.00,0.00,28.83,33.73,66.49,72.84,66.49,5.67,74.91,75.00,43.51,47.85,53.64,30.67,30.56,30.55,20.62,76.70,101.46,0.00,136.71
19.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,74.87,5.13,2.82,0.00,112.36,120.01,21.75,4.12,158.13,0.00,1.97,6.88,0.00,6.39,9.98,63.26,3.45,14.63,0.00,0.00,0.00,0.00,48.21,21.71,0.00,72.84,0.00,5.67,74.91,75.00,45.27,51.98,53.64,30.67,30.56,30.55,73.73,26.27,105.56,0.00,140.48
20.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,66.95,5.13,2.82,0.00,112.36,120.01,21.75,18.00,158.13,0.00,1.97,6.88,0.00,6.39,9.98,43.48,3.45,10.06,0.00,0.00,0.00,0.00,67.61,66.98,0.00,72.84,0.00,5.67,74.91,75.00,41.29,51.16,53.64,30.67,30.56,30.55,85.00,20.62,23.14,0.00,137.83
21.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,81.71,5.13,2.82,0.00,112.36,120.01,21.75,4.12,158.13,0.00,1.97,6.88,0.00,6.39,9.98,55.53,3.45,12.84,0.00,0.00,0.00,0.00,67.88,20.62,0.00,72.84,0.00,5.67,74.91,75.00,40.28,47.36,53.64,30.67,30.56,30.55,68.40,83.30,23.67,0.00,139.16
22.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,81.71,5.13,2.82,0.00,112.36,120.01,21.75,12.72,158.13,0.00,1.97,6.88,0.00,6.39,9.98,77.33,3.45,17.89,0.00,0.00,43.80,0.00,21.70,21.80,71.75,77.66,0.00,5.67,74.91,75.00,45.03,47.41,53.64,30.67,30.56,30.55,22.52,79.61,105.25,0.00,139.16
23.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,81.71,5.13,2.82,0.00,112.36,120.01,21.75,35.37,158.13,0.00,1.97,6.88,0.00,6.39,9.98,85.48,3.45,19.77,0.00,0.00,44.03,43.95,44.09,43.99,149.43,77.95,149.48,5.67,74.91,76.30,46.20,46.24,53.64,30.67,30.56,30.55,35.80,74.77,110.26,0.00,143.44
24.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,81.71,5.13,2.82,0.00,112.36,120.01,21.75,35.37,158.13,0.00,1.97,6.88,0.00,6.39,9.98,85.48,3.45,19.77,0.00,0.00,66.49,66.09,66.79,66.31,184.17,92.74,184.23,5.67,74.91,76.30,50.91,46.34,53.64,30.67,30.56,30.55,28.62,87.27,110.26,110.22,146.00
25.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,81.71,5.13,2.82,0.00,112.36,120.01,21.75,35.37,158.13,0.00,1.97,6.88,0.00,6.39,9.98,85.48,3.45,19.77,0.00,0.00,64.73,33.58,33.66,25.17,175.98,122.12,176.04,5.67,74.91,76.30,45.33,46.88,53.64,30.67,30.56,30.55,39.60,68.99,86.16,66.57,146.00
26.00,72.37,29.95,67.13,626.00,203.65,7.51,7.88,110.37,19.19,0.00,26.42,14.92,81.71,5.13,2.82,0.00,112.36,120.01,21.75,24.74,158.13,0.00,1.97,6.88,0.00,6.39,9.98,85.48,3.45,19.77,0.00,191.89,21.44,63.83,64.60,21.44,179.35,150.47,179.42,5.67,74.91,76.30,41.01,46.86,53.64,30.67,30.56,30.55,29.45,60.67,109.52,105.82,146.00
