"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,65.47,29.95,67.13,596.35,194.00,7.51,7.88,87.86,19.19,0.00,20.00,2.47,22.88,5.13,2.82,163.91,75.94,94.77,22.12,24.12,140.56,0.00,1.97,6.88,87.69,6.39,9.00,58.60,3.14,13.56,0.00,228.19,67.50,67.10,25.15,25.15,0.00,143.96,0.00,4.66,0.00,0.00,33.54,41.41,38.79,30.67,0.00,30.55,78.20,72.31,70.30,35.35,79.00
2.00,57.75,29.95,67.13,596.35,194.00,7.51,7.88,87.86,19.19,0.00,20.00,2.47,18.89,5.13,2.82,163.91,79.17,94.77,22.12,18.00,140.56,0.00,1.97,6.88,87.69,6.39,9.00,52.95,3.14,12.25,0.00,228.19,36.33,65.39,36.33,36.33,0.00,152.70,0.00,4.68,67.01,30.93,0.00,55.42,38.79,20.56,20.51,20.51,71.11,71.23,25.81,25.81,77.64
3.00,61.74,29.95,67.13,596.35,194.00,7.51,7.88,87.86,19.19,0.00,20.00,8.73,42.48,5.13,2.82,163.91,79.17,94.77,22.12,21.40,140.56,0.00,1.97,6.88,87.69,6.39,9.00,66.48,3.14,15.38,0.00,228.19,20.63,54.52,55.04,54.67,0.00,0.00,0.00,4.93,68.41,32.73,27.81,41.67,38.79,21.84,21.78,21.78,87.11,60.65,20.63,88.66,87.79
4.00,62.82,29.95,67.13,596.35,194.00,7.51,7.88,87.86,19.19,0.00,20.00,12.26,67.15,5.13,2.82,163.91,79.17,94.77,22.12,21.40,140.56,0.00,1.97,6.88,87.69,6.39,9.00,57.76,3.14,13.36,0.00,228.19,33.26,43.51,43.96,59.07,0.00,188.35,0.00,4.65,67.01,30.93,32.68,31.61,38.79,20.40,20.36,20.36,62.12,84.42,48.41,41.43,102.83
5.00,72.37,29.95,67.13,596.35,194.00,7.51,7.88,87.86,19.19,0.00,20.00,12.87,70.47,5.13,2.82,163.91,79.17,94.77,22.12,27.18,140.56,0.00,1.97,6.88,87.69,6.39,9.00,72.19,3.14,16.70,0.00,228.19,23.09,0.00,23.52,23.09,111.57,129.53,111.58,4.10,70.51,44.49,42.88,49.57,38.79,17.58,17.56,17.56,79.77,45.99,88.67,106.84,144.30
6.00,73.58,29.95,67.13,596.35,194.00,7.51,7.88,87.86,19.19,0.00,20.00,14.92,81.71,5.13,2.82,163.91,79.17,94.77,22.12,28.64,140.56,0.00,1.97,6.88,87.69,6.39,9.00,76.61,3.14,17.72,0.00,228.19,0.00,0.00,61.17,0.00,167.51,114.80,167.58,3.67,71.07,58.40,48.62,46.89,38.79,15.37,15.36,15.36,62.09,49.93,80.41,106.53,146.00
7.00,73.23,29.95,67.13,635.03,206.59,7.51,7.88,87.86,19.19,0.00,20.00,14.92,81.71,5.13,2.82,163.91,89.52,94.77,22.12,22.04,140.56,0.00,1.97,6.88,87.69,6.39,9.00,79.93,3.14,18.49,0.00,228.19,21.74,0.00,29.41,29.58,163.43,146.74,163.50,1.46,71.46,65.85,47.77,46.84,38.79,0.00,12.09,0.00,40.99,49.82,54.92,85.66,146.00
8.00,72.58,29.95,67.13,635.03,206.59,7.51,7.88,87.86,19.19,0.00,20.00,14.92,81.71,5.13,2.82,163.91,86.66,94.77,22.12,24.74,140.56,0.00,1.97,6.88,87.69,6.39,9.00,81.45,3.14,18.84,0.00,228.19,36.62,0.00,23.06,23.06,171.30,149.28,171.37,1.46,71.50,66.33,46.52,46.43,38.79,0.00,12.09,0.00,51.21,32.18,70.03,70.01,146.00
9.00,78.57,29.95,67.13,635.03,206.59,7.51,7.88,87.86,19.19,0.00,20.00,14.92,81.71,5.13,2.82,163.91,95.83,94.77,22.12,18.00,140.56,0.00,1.97,6.88,87.69,6.39,9.00,85.48,3.14,19.77,0.00,228.19,28.29,48.51,63.36,28.29,184.17,171.93,184.23,2.10,74.91,76.30,59.12,49.01,38.79,0.00,21.98,0.00,54.66,87.27,110.26,110.22,146.00
10.00,78.57,29.95,67.13,635.03,206.59,7.51,7.88,87.86,19.19,0.00,20.00,14.92,99.41,5.13,2.82,163.91,112.36,94.77,22.12,18.00,140.56,0.00,1.97,6.88,87.69,6.39,9.00,85.48,3.14,19.77,0.00,228.19,23.30,67.10,67.88,23.30,184.17,170.84,184.23,5.67,74.91,76.30,59.80,48.33,38.79,30.67,30.56,30.55,87.12,87.27,80.51,110.22,146.00
