"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,57.31,29.95,67.13,634.62,206.45,7.51,7.88,87.86,19.19,0.00,20.00,10.66,142.31,5.13,2.82,163.91,89.03,94.77,22.12,18.00,140.56,0.00,1.97,6.88,87.69,6.39,9.00,85.48,3.14,19.77,228.46,0.00,67.50,67.10,67.88,28.48,184.17,197.14,184.23,5.67,74.91,53.40,0.00,54.31,38.79,25.67,25.57,25.56,87.12,87.27,39.37,110.22,146.00
2.00,67.18,29.95,67.13,635.03,206.59,7.51,7.88,87.86,19.19,0.00,20.00,14.92,81.71,5.13,2.82,163.91,94.86,94.77,22.12,18.00,140.56,0.00,1.97,6.88,87.69,6.39,9.00,85.48,3.14,19.77,0.00,228.19,67.50,67.10,67.88,37.91,184.17,197.14,184.23,5.67,74.91,53.40,33.53,45.77,38.79,25.67,25.57,25.56,87.12,87.27,29.94,110.22,146.00
3.00,78.57,29.95,67.13,635.03,206.59,7.51,7.88,87.86,19.19,0.00,20.00,14.92,85.09,5.13,2.82,163.91,107.00,94.77,22.12,18.00,140.56,0.00,1.97,6.88,87.69,6.39,9.00,85.48,3.14,19.77,0.00,228.19,41.18,67.10,67.88,41.18,184.17,197.14,184.23,5.67,74.91,76.30,59.21,48.92,38.79,26.18,26.08,26.07,87.12,87.27,42.78,110.22,146.00
4.00,78.57,29.95,67.13,635.03,206.59,7.51,7.88,87.86,19.19,0.00,20.00,14.92,137.80,5.13,2.82,163.91,111.81,94.77,22.12,18.00,140.56,0.00,1.97,6.88,87.69,6.39,9.00,85.48,3.14,19.77,0.00,228.19,35.84,67.10,67.88,23.71,184.17,197.14,184.23,5.67,74.91,53.40,62.44,50.49,38.79,27.32,27.21,27.20,50.54,87.27,110.26,110.22,146.00
5.00,78.57,29.95,67.13,635.03,206.59,7.51,7.88,87.86,19.19,0.00,20.00,14.92,140.80,5.13,2.82,163.91,111.08,94.77,22.12,18.00,140.56,0.00,1.97,6.88,87.69,6.39,9.00,85.48,3.14,19.77,0.00,228.19,31.45,67.10,67.88,21.60,184.17,197.14,184.23,5.67,74.91,76.30,58.84,49.29,38.79,25.87,25.76,25.76,37.62,87.27,110.26,110.22,146.00
6.00,78.57,29.95,67.13,635.03,206.59,7.51,7.88,87.86,19.19,0.00,20.00,14.92,115.98,5.13,2.82,163.91,104.11,94.77,22.12,18.00,140.56,0.00,1.97,6.88,87.69,6.39,0.00,85.48,3.14,19.77,0.00,228.19,36.43,67.10,67.88,67.33,184.17,197.14,184.23,5.67,74.91,76.30,59.80,48.33,38.79,29.13,29.01,29.01,53.48,87.27,41.06,110.22,146.00
7.00,75.34,29.95,67.13,635.03,206.59,7.51,7.88,87.86,19.19,0.00,20.00,14.92,57.35,5.13,2.82,163.91,92.93,94.77,22.12,18.00,140.56,0.00,1.97,6.88,87.69,6.39,0.00,85.48,3.14,19.77,0.00,227.72,22.06,67.10,67.88,55.27,184.17,197.14,184.23,5.67,74.91,76.30,52.02,43.13,38.79,29.13,29.01,29.01,87.12,87.27,20.62,110.22,146.00
8.00,73.44,29.95,67.13,635.03,206.59,7.51,7.88,87.86,19.19,0.00,20.00,14.92,46.36,5.13,2.82,163.91,88.92,94.77,22.12,17.36,140.56,0.00,1.97,6.88,87.69,6.39,0.00,85.48,3.14,19.77,0.00,215.52,67.50,67.10,67.88,31.64,184.17,197.14,184.23,5.67,74.91,65.06,47.51,47.65,38.79,29.13,29.01,29.01,20.62,87.27,61.33,110.22,146.00
9.00,73.03,29.95,67.13,635.03,206.59,7.51,7.88,87.86,19.19,0.00,20.00,14.92,41.20,5.13,2.82,163.91,87.20,94.77,22.12,18.00,140.56,0.00,1.97,6.88,87.69,6.39,0.00,85.48,3.14,19.77,0.00,217.85,67.50,67.10,67.88,67.33,184.17,197.14,184.23,3.98,74.91,53.40,52.02,43.13,38.79,30.67,30.56,0.00,25.43,25.43,110.26,110.22,146.00
10.00,73.86,29.95,67.13,635.03,206.59,7.51,7.88,87.86,19.19,0.00,20.00,14.92,36.06,5.13,2.82,163.91,85.87,94.77,22.12,18.00,140.56,0.00,1.97,6.88,87.69,6.39,0.00,80.71,3.14,18.67,206.17,0.00,67.50,67.10,27.70,42.33,184.17,197.14,184.23,0.00,74.91,55.14,49.42,45.73,38.79,0.00,0.00,0.00,85.09,86.44,55.30,110.22,146.00
