"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CT AGROLMOS"
1.00,0.00,20.04,0.00,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,0.00,0.00,13.00,0.00,7.60,16.06,28.02,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,0.00,0.00,0.00,3.50,27.00,14.00,11.84,0.00,17.86,0.00,0.60,15.00,15.00,15.00,2.40,11.00,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,2.22,5.48,18.00,0.00,0.00,0.00,1.00,21.02,41.23,0.72,0.84,0.00,76.20,12.00,0.00,1.20,0.00,0.00,12.00,0.00,11.00
2.00,0.00,19.94,0.00,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,0.00,0.00,13.00,0.00,7.60,16.39,26.08,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,0.00,0.00,0.00,3.50,27.00,14.00,11.84,0.00,17.86,0.00,0.60,15.00,15.00,15.00,2.40,18.00,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,2.22,5.08,18.00,0.00,0.00,0.00,1.00,23.35,43.54,0.87,0.97,0.00,81.80,17.00,0.00,1.20,0.00,0.00,12.00,0.00,11.00
3.00,0.00,19.83,0.00,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,0.00,0.00,13.00,0.00,7.60,16.26,23.28,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,0.00,0.00,0.00,3.50,27.00,14.00,11.84,0.00,17.86,0.00,0.60,15.00,15.00,15.00,2.40,26.00,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,2.06,4.97,18.00,0.00,0.00,0.00,1.00,27.13,48.38,1.11,1.27,0.00,87.90,25.00,0.00,1.20,0.00,0.00,12.00,0.00,11.00
4.00,0.00,19.90,0.00,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,0.00,0.00,13.00,0.00,7.60,15.98,20.19,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,0.00,0.00,0.00,3.50,27.00,14.00,11.84,0.00,17.86,0.00,0.60,15.00,15.00,15.00,2.40,33.00,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,1.83,4.95,18.00,0.00,0.00,0.00,1.00,31.38,54.06,1.37,1.62,0.00,93.20,33.00,0.00,1.20,0.00,0.00,12.00,0.00,11.00
5.00,0.96,20.04,0.49,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,1.78,0.50,13.00,0.00,7.60,15.87,18.88,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,1.07,0.00,0.00,3.50,27.00,14.00,11.84,10.92,17.86,2.48,0.60,15.00,15.00,15.00,2.40,41.00,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,1.76,4.81,18.00,0.00,0.00,0.00,1.00,37.81,60.39,1.77,2.24,7.85,98.10,41.00,0.00,1.16,3.16,8.60,12.00,37.00,11.00
6.00,6.30,20.18,2.56,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,3.53,3.32,13.00,0.00,7.60,15.81,18.16,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,6.66,0.00,0.00,3.50,27.00,14.00,11.84,56.29,17.86,11.69,0.60,15.00,15.00,15.00,2.40,50.00,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,1.75,4.62,18.00,0.00,0.00,0.00,1.00,44.96,66.93,2.23,2.95,36.81,100.50,48.00,0.00,1.16,22.92,56.10,12.00,75.00,11.00
7.00,9.18,20.01,4.70,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,3.97,9.66,13.00,0.00,7.60,15.69,18.14,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,11.97,0.00,0.00,3.50,27.00,14.00,11.84,106.34,17.86,23.02,0.60,15.00,15.00,15.00,2.40,56.00,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,1.86,4.97,18.00,0.00,0.00,0.03,1.00,50.47,71.24,2.74,3.89,73.38,102.30,52.00,0.00,1.16,52.46,134.50,12.00,128.00,11.00
8.00,11.04,19.95,7.50,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,6.40,15.85,13.00,0.00,7.60,15.55,18.35,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,14.43,0.00,0.00,3.50,27.00,14.00,11.84,137.81,17.86,32.73,0.60,15.00,15.00,15.00,2.40,58.00,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,2.03,5.52,18.00,0.00,0.00,0.06,1.00,55.42,74.80,3.27,4.90,96.59,102.80,54.00,0.00,1.16,73.63,218.20,12.00,180.00,11.00
9.00,12.09,20.05,10.22,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,14.69,17.99,13.00,0.00,7.60,15.81,17.94,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.25,0.00,0.00,3.50,27.00,14.00,11.84,144.20,17.86,35.90,0.60,15.00,15.00,15.00,2.40,61.00,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,1.88,5.39,18.00,0.00,0.00,0.08,1.00,57.34,75.06,3.48,5.32,104.65,102.90,58.00,0.00,1.16,78.49,206.70,12.00,190.00,11.00
10.00,12.75,20.25,12.26,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,18.01,18.66,13.00,0.00,7.60,16.19,17.32,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.53,0.00,0.00,3.50,27.00,14.00,11.84,144.48,17.86,37.09,0.60,15.00,15.00,15.00,2.40,60.70,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,1.64,5.05,18.00,0.00,0.00,0.12,1.00,58.25,74.22,3.59,5.53,109.05,104.30,57.70,0.00,1.16,79.66,233.80,12.00,199.00,11.00
