"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,72.37,29.95,67.13,635.03,206.59,7.51,7.88,88.41,19.19,2.23,29.94,14.92,67.00,6.61,3.63,161.48,112.36,115.58,22.12,31.94,151.10,0.00,1.97,6.88,87.69,0.00,9.98,85.48,3.45,19.77,144.33,0.00,23.30,67.10,67.88,23.30,184.17,188.35,184.23,5.67,74.91,53.40,45.05,47.40,54.58,30.67,30.56,30.55,65.05,87.27,85.54,85.50,146.00
2.00,72.37,29.95,67.13,635.03,206.59,7.51,7.88,88.41,19.19,2.23,29.94,14.92,93.54,6.61,3.63,161.48,112.36,115.58,22.12,31.94,151.10,0.00,1.97,6.88,87.69,0.00,9.98,85.48,3.45,19.77,144.33,0.00,23.30,67.10,67.88,23.30,184.17,188.35,184.23,5.67,74.91,53.40,44.63,47.81,54.58,30.67,30.56,30.55,51.46,87.27,85.84,85.80,146.00
3.00,78.57,29.95,67.13,635.03,206.59,7.51,7.88,88.41,19.19,2.23,29.94,14.92,121.57,6.61,3.63,161.48,112.36,115.58,22.12,31.94,151.10,0.00,1.97,6.88,87.69,0.00,9.98,95.45,3.45,19.77,188.25,0.00,23.30,67.10,67.88,23.30,184.17,188.35,184.23,5.67,74.91,53.40,48.64,59.90,54.58,30.67,30.56,30.55,51.46,87.27,110.26,110.22,146.00
4.00,78.57,29.95,67.13,635.03,206.59,7.51,7.88,88.41,19.19,2.23,29.94,14.92,115.89,6.61,3.63,161.48,112.36,115.58,22.12,31.94,151.10,0.00,1.97,6.88,87.69,0.00,9.98,95.45,3.45,19.77,197.06,0.00,23.30,67.10,67.88,23.30,184.17,188.35,184.23,5.67,74.91,53.40,50.15,62.37,54.58,30.67,30.56,30.55,45.63,85.00,110.26,110.22,146.00
5.00,74.82,29.95,67.13,635.03,206.59,7.51,7.88,88.41,19.19,2.23,29.94,14.92,106.54,6.61,3.63,161.48,112.36,115.58,22.12,31.94,151.10,0.00,1.97,6.88,87.69,0.00,9.98,95.45,3.45,19.77,144.33,144.33,23.30,67.10,67.88,23.30,184.17,197.14,184.23,5.67,74.91,53.40,44.84,49.09,54.58,30.67,30.56,30.55,57.28,87.27,110.26,110.22,146.00
6.00,78.46,29.95,67.13,635.03,206.59,7.51,7.88,88.41,19.19,2.23,29.94,14.92,115.93,6.61,3.63,161.48,112.36,115.58,22.12,31.94,151.10,0.00,1.97,6.88,87.69,0.00,9.98,95.45,3.45,19.77,144.33,144.33,23.30,67.10,67.88,23.30,184.17,197.14,184.23,5.67,74.91,53.40,48.27,59.48,54.58,30.67,30.56,30.55,57.28,87.27,110.26,110.22,146.00
7.00,78.57,29.95,67.13,635.03,206.59,7.51,7.88,88.41,19.19,2.23,29.94,14.92,132.41,6.61,3.63,161.48,112.36,115.58,22.12,31.94,151.10,0.00,1.97,6.88,87.69,0.00,9.98,95.45,3.45,19.77,144.33,144.33,23.30,67.10,67.88,23.30,184.17,197.14,184.23,5.67,74.91,53.40,50.20,62.74,54.58,30.67,30.56,30.55,57.28,87.27,110.26,110.22,146.00
8.00,78.32,29.95,67.13,635.03,206.59,7.51,7.88,88.41,19.19,2.23,29.94,14.92,114.55,6.61,3.63,161.48,112.36,115.58,22.12,31.94,151.10,0.00,1.97,6.88,87.69,0.00,9.98,95.45,3.45,19.77,144.33,144.33,23.30,67.10,67.88,23.30,184.17,197.14,184.23,5.67,74.91,76.30,46.84,56.10,54.58,30.67,30.56,30.55,37.86,87.27,110.26,110.22,146.00
9.00,74.72,29.95,67.13,635.03,206.59,7.51,7.88,88.41,19.19,2.23,29.94,14.92,103.66,6.61,3.63,161.48,112.36,115.58,22.12,31.94,151.10,0.00,1.97,6.88,87.69,0.00,9.98,95.45,3.45,19.77,144.33,144.33,67.50,67.10,67.88,26.21,184.17,197.14,184.23,5.67,74.91,76.30,46.79,56.15,54.58,30.67,30.56,30.55,87.12,87.27,110.26,110.22,146.00
10.00,77.33,29.95,67.13,635.03,206.59,7.51,7.88,88.41,19.19,2.23,29.94,14.92,88.07,6.61,3.63,161.48,112.36,115.58,22.12,31.94,151.10,0.00,1.97,6.88,87.69,0.00,9.98,95.45,3.45,19.77,0.00,154.93,67.50,67.10,67.88,26.21,184.17,197.14,184.23,5.67,74.91,76.30,46.83,56.11,54.58,30.67,30.56,30.55,87.12,87.27,105.01,104.96,146.00
