"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,62.15,29.95,67.13,635.03,206.59,6.04,8.13,110.37,15.81,2.23,26.42,14.92,78.34,5.13,2.82,163.91,112.36,130.74,22.12,35.37,192.74,13.52,1.97,6.88,87.69,6.39,9.00,85.48,3.45,19.77,216.06,0.00,54.57,54.33,43.06,42.87,184.17,197.14,184.23,4.65,74.91,76.30,66.56,0.00,48.47,0.00,30.56,30.55,33.99,34.00,110.26,110.22,203.20
2.00,60.25,29.95,67.13,635.03,206.59,6.04,8.13,110.37,15.81,2.23,26.42,14.92,78.34,5.13,2.82,163.91,112.36,113.78,22.12,35.37,192.74,13.52,1.97,6.88,87.69,6.39,9.00,62.19,3.45,14.38,206.98,0.00,56.89,0.00,41.27,45.53,184.17,197.14,184.23,4.65,74.91,76.30,66.56,0.00,48.47,0.00,30.56,30.55,33.99,34.00,93.12,93.08,203.20
3.00,62.15,29.95,67.13,635.03,206.59,6.04,8.13,110.37,15.81,2.23,26.42,14.92,78.34,5.13,2.82,163.91,112.36,113.37,22.12,35.37,192.74,13.52,1.97,6.88,87.69,6.39,9.00,56.27,3.45,13.01,207.35,0.00,39.93,0.00,58.18,39.89,184.17,197.14,184.23,2.66,74.91,76.30,66.56,0.00,48.47,0.00,0.00,30.55,33.99,34.00,77.53,77.50,203.20
4.00,62.46,29.95,67.13,635.03,206.59,6.04,8.13,110.37,15.81,2.23,26.42,14.92,75.49,5.13,2.82,163.91,112.36,103.28,22.12,35.37,192.74,13.52,1.97,6.88,87.69,6.39,9.00,43.32,3.45,10.02,200.87,0.00,51.95,0.00,33.31,51.82,184.17,197.14,184.23,3.84,74.91,76.30,66.56,0.00,48.47,0.00,24.35,24.34,33.99,34.00,49.15,49.15,203.20
5.00,61.85,29.95,67.13,635.03,206.59,6.04,8.13,110.37,15.81,2.23,26.42,14.92,73.51,5.13,2.82,163.91,112.36,103.84,22.12,35.37,192.74,13.52,1.97,6.88,87.69,6.39,9.00,45.70,3.45,10.57,201.55,0.00,54.35,0.00,54.58,29.97,184.17,197.14,184.23,2.66,74.91,76.30,66.56,0.00,48.47,0.00,0.00,30.55,33.99,34.00,56.74,56.73,203.20
6.00,64.00,29.95,67.13,635.03,206.59,6.04,8.13,110.37,15.81,2.23,26.42,14.92,72.68,5.13,2.82,163.91,112.36,99.32,22.12,35.37,192.74,13.52,1.97,6.88,87.69,6.39,9.00,38.81,3.45,8.98,198.36,0.00,44.13,0.00,44.27,44.06,184.17,197.14,184.23,3.17,74.91,76.30,66.56,0.00,48.47,0.00,19.21,19.20,33.99,34.00,39.86,39.85,203.20
7.00,62.14,29.95,67.13,635.03,206.59,6.04,8.13,110.37,15.81,2.23,26.42,14.92,76.88,5.13,2.82,163.91,112.36,101.94,22.12,35.37,192.74,13.52,1.97,6.88,87.69,6.39,9.00,44.69,3.45,10.34,199.81,0.00,55.79,0.00,56.05,26.19,184.17,197.14,184.23,3.20,74.91,76.30,66.56,0.00,48.47,0.00,19.38,19.38,33.99,34.00,58.33,58.32,203.20
8.00,62.20,29.95,67.13,635.03,206.59,6.04,8.13,110.37,15.81,2.23,26.42,14.92,77.38,5.13,2.82,163.91,112.36,100.95,22.12,35.37,192.74,13.52,1.97,6.88,87.69,6.39,9.00,44.47,3.45,10.29,198.97,0.00,56.31,0.00,25.39,56.17,184.17,197.14,184.23,3.10,74.91,76.30,66.56,0.00,48.47,0.00,18.66,18.66,33.99,34.00,59.58,59.57,203.20
9.00,62.15,29.95,67.13,635.03,206.59,6.04,8.13,110.37,15.81,2.23,26.42,14.92,82.84,5.13,2.82,163.91,112.36,103.82,22.12,35.37,192.74,13.52,1.97,6.88,87.69,6.39,9.00,47.61,3.45,11.01,200.61,0.00,59.91,0.00,39.11,38.99,184.17,197.14,184.23,3.37,74.91,76.30,66.56,0.00,48.47,0.00,20.72,20.72,33.99,34.00,65.34,65.32,203.20
10.00,62.15,29.95,67.13,635.03,206.59,6.04,8.13,110.37,15.81,2.23,26.42,14.92,89.58,5.13,2.82,163.91,112.36,106.02,22.12,35.37,192.74,13.52,1.97,6.88,87.69,6.39,9.00,52.66,3.45,12.18,201.58,0.00,45.97,0.00,46.14,45.89,184.17,197.14,184.23,3.53,74.91,76.30,66.56,0.00,48.47,0.00,21.94,21.94,33.99,34.00,77.78,77.75,203.20
11.00,60.25,29.95,67.13,635.03,206.59,6.04,8.13,110.37,15.81,2.23,26.42,14.92,78.34,5.13,2.82,163.91,112.36,130.99,22.12,35.37,60.00,13.52,1.97,6.88,87.69,6.39,9.00,75.65,3.45,17.50,220.29,0.00,42.43,0.00,58.89,42.37,184.17,197.14,184.23,4.65,74.91,76.30,66.56,0.00,48.47,0.00,30.56,30.55,33.99,34.00,110.26,110.22,203.20
