"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CT AGROLMOS"
1.00,0.00,19.91,0.00,14.00,1.45,6.90,6.70,12.04,2.50,0.00,3.50,19.00,0.00,0.00,19.00,0.00,6.50,18.33,66.98,7.97,4.00,15.53,2.80,18.45,16.31,12.62,16.50,1.40,0.00,26.30,80.40,3.00,27.07,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,2.40,98.82,12.82,21.00,0.00,7.00,10.80,0.00,17.48,0.00,0.00,0.00,9.44,0.00,0.00,0.00,1.20,68.40,92.30,4.70,6.98,0.00,111.40,92.70,0.00,2.00,0.00,0.00,21.00,0.00,11.00
2.00,0.00,19.74,0.00,14.00,1.45,6.90,6.70,12.04,2.50,0.00,3.50,19.00,0.00,0.00,19.00,0.00,6.50,17.62,64.34,7.97,4.00,15.53,2.80,18.45,16.31,12.62,16.50,1.40,0.00,26.30,79.10,3.00,27.15,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,2.40,92.68,12.82,21.00,0.00,7.00,10.80,0.00,17.48,0.00,0.00,0.00,9.44,0.00,0.00,0.00,1.20,71.40,90.60,4.60,6.76,0.00,108.90,89.80,0.00,2.00,0.00,0.00,21.00,0.00,11.00
3.00,0.00,19.88,0.00,14.00,1.45,6.90,6.70,12.04,2.50,0.00,3.50,19.00,0.00,0.00,19.00,0.00,6.50,16.84,60.65,7.96,4.00,15.53,2.80,18.45,16.31,12.62,16.50,1.40,0.00,26.30,78.10,3.00,27.17,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,2.40,86.02,12.82,21.00,0.00,7.00,10.80,0.00,17.48,0.00,0.00,0.00,9.44,0.00,0.00,0.00,1.20,73.80,88.70,4.20,6.04,0.00,107.10,88.20,0.00,2.00,0.00,0.00,21.00,0.00,11.00
4.00,0.00,20.46,0.00,14.00,1.45,6.90,6.70,12.04,2.50,0.00,3.50,19.00,0.00,0.00,19.00,0.00,6.50,16.04,56.59,7.96,4.00,15.53,2.80,18.45,16.31,12.62,16.50,1.40,0.00,26.10,76.80,3.00,27.22,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,2.40,79.14,12.82,21.00,0.00,7.00,10.80,0.00,17.48,0.00,0.00,0.00,9.44,0.00,0.00,0.00,1.20,70.90,88.30,3.60,5.17,0.00,103.30,82.30,0.00,2.00,0.00,0.00,21.00,0.00,11.00
5.00,0.00,20.92,0.00,14.00,1.45,6.90,6.70,12.04,2.50,0.00,3.50,19.00,0.00,0.00,19.00,0.00,6.50,15.44,51.85,7.95,4.00,15.53,2.80,18.45,16.31,12.62,16.50,1.40,0.00,25.40,74.40,3.00,27.26,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,2.40,72.18,12.82,21.00,0.00,7.00,10.80,0.00,17.48,0.00,0.00,0.00,9.44,0.00,0.00,0.00,1.20,66.90,88.40,3.20,4.53,0.00,101.50,74.90,0.00,2.00,0.00,0.00,21.00,0.00,11.00
6.00,0.00,21.10,0.00,14.00,1.45,6.90,6.70,12.04,2.50,0.00,3.50,19.00,0.00,0.00,19.00,0.00,6.50,14.90,46.89,7.96,4.00,15.53,2.80,18.45,16.31,12.62,16.50,1.40,0.00,24.80,72.60,3.00,27.26,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,2.40,65.70,12.82,21.00,0.00,7.00,10.80,0.00,17.48,0.00,0.00,0.00,9.44,0.00,0.00,0.00,1.20,62.60,84.50,2.90,3.98,0.00,94.60,68.20,0.00,2.00,0.00,0.00,21.00,0.00,11.00
7.00,0.00,21.06,0.00,14.00,1.45,6.90,6.70,12.04,2.50,0.00,3.50,19.00,0.00,0.00,19.00,0.00,6.50,14.56,43.52,7.96,4.00,15.53,2.80,18.45,16.31,12.62,16.50,1.40,0.00,24.40,72.10,3.00,27.17,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,2.40,59.39,12.82,21.00,0.00,7.00,10.80,0.00,17.48,0.00,0.00,0.00,9.44,0.00,0.00,0.00,1.20,57.40,79.30,2.70,3.59,0.00,92.90,61.90,0.00,2.00,0.00,0.00,21.00,0.00,11.00
8.00,0.00,20.66,0.00,14.00,1.45,6.90,6.70,12.04,2.50,0.00,3.50,19.00,0.00,0.00,19.00,0.00,6.50,14.30,40.68,7.98,4.00,15.53,2.80,18.45,16.31,12.62,16.50,1.40,0.00,24.00,70.30,3.00,27.21,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,2.40,53.56,12.82,21.00,0.00,7.00,10.80,0.00,17.48,0.00,0.00,0.00,9.44,0.00,0.00,0.00,1.20,52.10,75.10,2.60,3.26,0.00,90.60,56.20,0.00,2.00,0.00,0.00,21.00,0.00,11.00
9.00,0.00,20.77,0.00,14.00,1.45,6.90,6.70,12.04,2.50,0.00,3.50,19.00,0.00,0.00,19.00,0.00,6.50,15.23,39.21,7.98,4.00,15.53,2.80,18.45,16.31,12.62,16.50,1.40,0.00,23.40,64.70,3.00,27.01,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,2.40,47.89,12.82,21.00,0.00,7.00,10.80,0.00,17.48,0.00,0.00,0.00,9.44,0.00,0.00,0.00,1.20,46.80,71.30,2.30,2.84,0.00,87.10,50.70,0.00,2.00,0.00,0.00,21.00,0.00,11.00
10.00,0.00,21.09,0.00,14.00,1.45,6.90,6.70,12.04,2.50,0.00,3.50,19.00,0.00,0.00,19.00,0.00,6.50,16.56,38.20,7.98,4.00,5.20,2.80,18.45,16.31,12.62,16.50,1.40,0.00,22.80,59.30,3.00,26.98,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,2.40,41.28,12.82,21.00,0.00,7.00,10.80,0.00,17.48,0.00,0.00,0.00,9.44,0.00,0.00,0.00,1.20,41.60,69.60,2.00,2.38,0.00,83.50,44.90,0.00,2.00,0.00,0.00,21.00,0.00,11.00
