"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CT AGROLMOS"
1.00,17.73,0.00,18.39,14.00,0.00,7.20,6.70,12.04,3.20,0.00,3.40,19.00,19.00,18.82,17.48,0.00,6.00,18.83,77.75,3.80,4.00,5.20,2.80,18.45,16.31,10.68,13.59,1.40,15.65,28.51,86.10,3.40,26.28,0.00,17.96,135.60,17.96,39.50,0.60,18.00,18.00,18.00,2.40,115.54,12.82,20.39,0.00,8.00,10.80,7.85,10.00,0.00,9.25,11.77,18.90,0.00,0.00,1.07,1.00,0.00,112.04,0.00,11.20,110.82,120.90,127.84,0.40,2.00,74.64,0.00,19.42,0.00,11.00
2.00,17.77,0.00,18.37,14.00,0.00,7.20,6.70,12.04,3.20,0.00,3.40,19.00,17.77,18.74,17.48,0.00,6.00,20.77,77.16,4.10,4.00,5.20,2.80,18.45,16.31,10.68,13.59,1.40,15.61,27.99,86.13,3.40,26.18,0.00,17.96,137.96,17.96,39.44,0.60,18.00,18.00,18.00,2.40,116.80,12.82,20.39,0.00,8.00,10.80,7.85,10.00,0.00,8.59,11.16,18.90,0.00,0.00,1.09,1.00,0.00,111.80,0.00,11.24,110.29,121.19,132.69,0.40,1.96,73.72,0.00,19.42,0.00,11.00
3.00,17.62,0.00,18.02,14.00,0.00,7.20,6.70,12.04,3.20,0.00,3.40,19.00,17.38,18.70,17.48,0.00,6.00,22.79,76.50,4.50,4.00,5.20,2.80,18.45,16.31,10.68,13.59,1.40,15.67,27.63,86.38,3.40,26.10,0.00,17.96,140.87,17.96,39.25,0.60,18.00,18.00,18.00,2.40,118.56,12.82,20.39,0.00,8.00,10.80,7.85,10.00,0.00,7.91,10.55,18.90,0.00,0.00,1.08,1.00,0.00,111.87,0.00,11.39,109.54,122.47,137.99,0.40,1.92,71.58,0.00,19.42,0.00,11.00
4.00,16.92,0.00,17.25,14.00,0.00,7.20,6.70,12.04,3.20,0.00,3.40,19.00,17.59,18.69,17.48,0.00,6.00,25.02,75.91,4.30,4.00,5.20,2.80,18.45,16.31,10.68,13.59,1.40,15.68,27.72,87.32,3.40,26.07,0.00,17.96,138.74,17.96,38.94,0.60,18.00,18.00,18.00,2.40,120.26,12.82,20.39,0.00,8.00,10.80,7.85,10.00,0.00,7.14,9.98,18.90,0.00,0.00,1.08,1.00,0.00,111.08,0.00,11.83,108.94,122.43,142.84,0.30,1.96,69.91,0.00,19.42,0.00,11.00
5.00,15.28,0.00,15.94,14.00,0.00,7.20,6.70,12.04,3.20,0.00,3.40,19.00,18.17,18.62,17.48,0.00,6.00,26.79,75.51,4.60,4.00,5.20,2.80,18.45,16.31,10.68,13.59,1.40,15.63,27.85,88.16,3.40,25.98,0.00,17.96,136.24,17.96,38.66,0.60,18.00,18.00,18.00,2.40,121.98,12.82,20.39,0.00,8.00,10.80,7.85,10.00,0.00,6.47,9.27,18.90,0.00,0.00,1.08,1.00,0.00,110.07,0.00,12.19,108.14,121.95,146.29,0.20,1.96,69.46,0.00,19.42,0.00,11.00
6.00,13.66,0.00,14.46,14.00,0.00,7.20,6.70,12.04,3.20,0.00,3.40,19.00,17.87,18.52,17.48,0.00,6.00,27.17,76.06,4.60,4.00,5.20,2.80,18.45,16.31,10.68,13.59,1.40,15.56,28.10,88.72,3.40,25.85,0.00,17.96,134.70,17.96,38.26,0.60,18.00,18.00,18.00,2.40,122.40,12.82,20.39,0.00,8.00,10.80,7.85,10.00,0.00,6.07,8.18,18.90,0.00,0.00,0.91,1.00,0.00,107.79,0.00,12.31,106.89,121.84,145.17,0.20,2.00,66.47,0.00,19.42,0.00,11.00
7.00,12.13,0.00,12.57,14.00,0.00,7.20,6.70,12.04,3.20,0.00,3.40,19.00,16.58,18.22,17.48,0.00,6.00,27.54,77.27,4.60,4.00,5.20,2.80,18.45,16.31,10.68,13.59,1.40,15.30,28.29,89.16,3.40,25.93,0.00,17.96,134.73,17.96,37.26,0.60,18.00,18.00,18.00,2.40,122.44,12.82,20.39,0.00,8.00,10.80,7.85,10.00,0.00,5.59,7.16,18.90,0.00,0.00,0.88,1.00,0.00,105.36,0.00,12.48,104.53,121.90,144.71,0.10,2.00,59.85,0.00,19.42,0.00,11.00
8.00,10.27,0.00,10.38,14.00,0.00,7.20,6.70,12.04,3.20,0.00,3.40,19.00,15.18,17.82,17.48,0.00,6.00,27.93,78.48,4.50,4.00,5.20,2.80,18.45,16.31,10.68,13.59,1.40,14.91,28.28,89.22,3.40,25.80,0.00,17.96,133.69,17.96,34.65,0.60,18.00,18.00,18.00,2.40,122.89,12.82,20.39,0.00,8.00,10.80,7.85,10.00,0.00,4.87,6.35,18.90,0.00,0.00,0.83,1.00,0.00,103.86,0.00,12.78,101.28,122.66,145.26,0.10,2.00,54.86,0.00,19.42,0.00,11.00
9.00,7.59,0.00,8.05,14.00,0.00,7.20,6.70,12.04,3.20,0.00,3.40,19.00,13.79,17.14,17.48,0.00,6.00,28.26,75.27,4.50,4.00,5.20,2.80,18.45,16.31,10.68,13.59,1.40,14.24,28.30,89.31,3.40,25.99,0.00,17.96,129.90,17.96,30.93,0.60,18.00,18.00,18.00,2.40,123.50,12.82,20.39,0.00,8.00,10.80,7.85,10.00,0.00,4.17,5.45,18.90,0.00,0.00,0.70,1.00,0.00,102.87,0.00,13.06,95.83,123.69,146.46,0.10,2.00,49.69,0.00,19.42,0.00,11.00
10.00,5.01,0.00,5.90,14.00,0.00,7.20,6.70,12.04,3.20,0.00,3.40,19.00,11.61,15.93,17.48,0.00,6.00,28.44,76.02,4.80,4.00,5.20,2.80,18.45,16.31,10.68,13.59,1.40,13.09,28.43,89.44,3.40,26.49,0.00,17.96,109.19,17.96,25.50,0.60,18.00,18.00,18.00,2.40,123.90,12.82,20.39,0.00,8.00,10.80,7.85,10.00,0.00,3.48,4.29,18.90,0.00,0.00,0.50,1.00,0.00,101.01,0.00,13.24,82.99,125.17,146.91,0.10,2.00,40.71,0.00,19.42,0.00,11.00
