"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III","CH ANASHIRONI","CH RENOVANDES"
1.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,88.31,16.51,4.01,22.63,14.92,69.60,5.13,2.82,137.99,112.36,76.48,44.06,33.32,201.98,13.33,1.97,6.88,75.40,6.39,9.98,85.48,0.00,19.77,0.00,177.41,32.65,55.71,56.36,32.65,152.35,163.67,152.40,0.00,74.91,66.99,42.43,38.88,51.90,30.67,30.56,30.55,45.90,45.92,86.32,86.29,203.20,19.40,0.00
2.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,86.89,16.51,4.01,22.63,14.92,66.06,5.13,2.82,137.99,112.36,74.75,44.06,29.55,201.98,13.33,1.97,6.88,75.40,6.39,9.98,85.48,0.00,19.77,0.00,173.97,31.54,43.11,43.55,43.92,146.77,157.43,146.82,0.00,74.91,76.30,37.97,43.35,51.90,30.67,30.56,30.55,45.50,45.52,69.98,69.96,203.20,19.40,0.00
3.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,85.74,16.51,4.01,22.63,14.92,63.02,5.13,2.82,137.99,112.36,73.35,44.06,30.34,201.98,13.33,1.97,6.88,75.40,6.39,9.98,85.48,5.46,19.77,0.00,171.95,40.59,40.47,27.48,40.54,140.96,150.85,141.01,0.00,74.91,66.99,34.09,41.81,51.90,30.67,30.56,30.55,45.23,45.25,64.76,64.74,203.20,19.40,0.00
4.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,84.91,16.51,4.01,22.63,14.92,57.74,5.13,2.82,137.99,112.36,72.34,44.06,27.73,201.98,13.33,1.97,6.88,75.40,6.39,9.98,85.48,5.46,19.77,0.00,170.58,33.14,32.88,39.68,33.14,135.50,144.64,135.54,0.00,74.91,66.99,30.61,40.07,51.90,30.67,30.56,30.55,45.23,45.25,46.68,46.68,203.20,19.40,0.00
5.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,82.79,16.51,4.01,22.63,14.92,56.01,5.13,2.82,137.99,112.36,69.76,44.06,22.58,201.98,13.33,1.97,6.88,75.40,6.39,9.98,82.28,5.46,19.03,0.00,167.05,36.31,36.30,36.33,24.27,131.43,140.02,131.46,0.00,72.71,72.97,35.31,35.30,51.90,30.67,30.56,30.55,45.23,45.25,54.89,54.88,203.20,19.40,0.00
6.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,81.44,16.51,4.01,22.63,14.92,53.17,5.13,2.82,137.99,112.36,68.12,44.06,32.05,201.98,13.33,1.97,6.88,75.40,6.39,9.98,79.12,5.46,18.30,0.00,165.46,33.14,33.11,33.18,33.13,127.72,135.85,127.75,0.00,71.99,70.28,35.59,35.58,51.90,30.67,30.56,30.55,45.23,45.25,38.99,38.99,203.20,19.40,0.00
7.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,81.10,16.51,4.01,22.63,14.92,50.00,5.13,2.82,137.99,112.36,67.71,44.06,22.01,201.98,13.33,1.97,6.88,75.40,6.39,9.98,75.62,5.46,17.49,0.00,163.82,35.35,30.02,35.40,30.18,182.76,195.73,0.00,0.00,71.61,67.53,31.00,41.52,51.90,30.67,30.56,30.55,45.23,45.25,26.60,26.60,201.76,19.40,0.00
8.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,80.61,16.51,4.01,22.63,14.92,50.00,5.13,2.82,137.99,112.36,67.10,44.06,24.74,201.98,13.33,1.97,6.88,75.40,6.39,9.98,73.40,5.46,16.98,0.00,162.74,32.85,32.82,27.39,32.84,176.73,189.64,0.00,0.00,73.52,62.12,29.45,42.54,51.90,30.67,30.56,30.55,45.08,45.11,22.18,22.18,201.25,19.40,0.00
9.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,82.23,16.51,4.01,22.63,14.92,52.61,5.13,2.82,137.99,112.36,69.08,44.06,26.50,201.98,13.33,1.97,6.88,75.40,6.39,9.98,85.48,5.46,19.77,0.00,165.07,34.38,38.46,38.51,25.50,184.17,197.14,0.00,0.00,73.16,73.97,31.00,40.45,51.90,30.67,30.56,30.55,45.37,45.40,49.64,49.63,203.20,19.40,0.00
10.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,82.16,16.51,4.01,22.63,14.92,50.00,5.13,2.82,137.99,112.36,68.99,44.06,23.87,201.98,13.33,1.97,6.88,75.40,6.39,9.98,85.48,5.46,19.77,0.00,164.93,51.75,27.97,28.06,28.06,184.03,197.00,0.00,0.00,74.91,66.99,29.96,39.86,51.90,30.67,30.56,30.55,45.08,45.11,48.04,48.04,203.20,19.40,0.00
11.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,110.37,16.51,4.01,22.63,14.92,50.00,5.13,2.82,137.99,112.36,103.32,44.06,29.55,201.98,13.33,1.97,6.88,75.40,6.39,9.98,85.48,5.46,19.77,0.00,0.00,26.15,26.09,27.59,27.57,184.17,197.14,0.00,0.00,0.00,76.30,46.80,46.62,51.90,30.67,30.56,30.55,45.90,45.92,55.22,55.22,182.73,19.40,0.00
12.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,110.37,16.51,4.01,22.63,14.92,50.00,5.13,2.82,137.99,112.36,103.32,44.06,31.21,201.98,13.33,1.97,6.88,75.40,6.39,9.98,69.44,5.46,16.06,0.00,0.00,53.70,0.00,53.70,0.00,133.82,142.73,0.00,0.00,0.00,66.99,44.17,48.27,51.90,30.67,30.56,30.55,45.23,45.25,20.62,20.62,173.26,19.40,0.00
13.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,99.90,16.51,4.01,22.63,0.00,50.00,5.13,2.82,137.99,98.95,90.57,44.06,18.00,201.98,13.33,1.97,0.00,75.40,6.39,9.98,35.14,5.46,8.13,0.00,0.00,38.83,38.31,38.83,0.00,179.71,0.00,0.00,0.00,0.00,76.30,36.25,48.95,51.90,30.67,30.56,30.55,45.23,45.25,20.62,20.62,0.00,19.40,0.00
14.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,90.29,16.51,4.01,22.63,0.00,50.00,5.13,2.82,137.99,107.61,78.89,44.06,32.30,201.98,13.33,1.97,0.00,75.40,6.39,9.98,16.49,5.46,3.81,0.00,0.00,61.17,41.59,42.24,0.00,0.00,0.00,0.00,0.00,0.00,36.20,0.00,60.65,51.90,30.67,30.56,30.55,45.23,45.25,20.62,20.62,0.00,19.40,0.00
