"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III","CH ANASHIRONI","CH RENOVANDES"
1.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,110.37,19.19,4.01,22.63,0.00,50.00,5.13,2.82,137.99,112.36,103.32,44.06,24.74,185.01,13.33,1.97,0.00,75.40,6.39,9.98,4.64,5.46,0.00,0.00,0.00,0.00,0.00,27.88,27.88,0.00,0.00,0.00,0.00,67.01,30.93,49.99,47.26,43.71,30.67,30.56,30.55,48.59,48.62,0.00,0.00,0.00,19.40,0.00
2.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,110.37,19.19,4.01,22.63,0.00,50.00,5.13,2.82,137.99,112.36,103.32,44.06,18.00,185.01,13.33,1.97,0.00,75.40,0.00,9.98,16.49,5.46,3.81,0.00,0.00,0.00,0.00,48.58,0.00,0.00,0.00,0.00,0.00,67.01,30.93,46.48,41.16,43.71,30.67,30.56,30.55,48.30,48.33,0.00,0.00,0.00,19.40,0.00
3.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,110.37,19.19,4.01,22.63,0.00,60.00,5.13,2.82,137.99,112.36,103.32,44.06,18.00,185.01,13.33,1.97,0.00,75.40,0.00,9.98,17.59,5.46,4.07,0.00,0.00,47.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.01,45.00,50.10,42.35,43.71,30.67,30.56,30.55,48.44,48.47,0.00,0.00,0.00,19.40,0.00
4.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,110.37,19.19,4.01,22.63,0.00,60.00,5.13,2.82,137.99,112.36,103.32,44.06,18.00,185.01,13.33,1.97,0.00,75.40,0.00,9.98,33.23,5.46,7.69,0.00,0.00,49.20,21.76,21.76,0.00,0.00,0.00,0.00,0.00,67.01,45.00,53.10,44.15,43.71,30.67,30.56,30.55,48.44,48.47,0.00,0.00,0.00,19.40,0.00
5.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,110.37,19.19,4.01,22.63,0.00,60.00,5.13,2.82,137.99,112.36,103.32,44.06,18.52,185.01,13.33,1.97,0.00,75.40,0.00,9.98,50.79,5.46,11.75,0.00,0.00,21.91,50.46,30.05,21.91,0.00,0.00,0.00,0.00,67.01,45.00,50.10,42.35,43.71,30.67,30.56,30.55,48.44,48.47,0.00,46.63,0.00,19.40,0.00
6.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,110.37,19.19,4.01,22.63,0.00,60.00,5.13,2.82,137.99,112.36,103.32,44.06,23.98,185.01,13.33,1.97,0.00,75.40,0.00,9.98,58.96,5.46,13.64,0.00,0.00,32.06,31.89,0.00,48.68,0.00,0.00,0.00,0.00,68.64,46.70,53.70,44.52,43.71,30.67,30.56,30.55,48.50,48.53,50.14,50.13,0.00,19.40,0.00
7.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,110.37,19.19,4.01,22.63,0.00,60.00,5.13,2.82,137.99,112.36,103.32,44.06,35.37,185.01,13.33,1.97,0.00,75.40,0.00,9.98,58.88,5.46,13.62,0.00,0.00,21.98,56.81,38.71,21.98,0.00,0.00,0.00,0.00,67.96,45.97,52.32,43.67,43.71,30.67,30.56,30.55,48.53,48.56,59.89,59.88,0.00,19.40,0.00
8.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,110.37,19.19,4.01,22.63,0.00,60.00,5.13,2.82,137.99,112.36,103.32,44.06,35.37,185.01,13.33,1.97,0.00,75.40,0.00,9.98,64.60,5.46,14.94,0.00,0.00,44.10,48.58,27.59,27.59,0.00,0.00,0.00,0.00,70.53,48.83,55.52,45.70,43.71,30.67,30.56,30.55,48.44,48.47,72.43,72.41,0.00,19.40,0.00
9.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,110.37,19.19,4.01,22.63,0.00,60.00,5.13,2.82,137.99,112.36,103.32,44.06,35.37,185.01,13.33,1.97,0.00,75.40,0.00,9.98,59.60,5.46,13.79,0.00,0.00,21.98,57.10,40.14,21.98,0.00,0.00,0.00,0.00,67.53,45.52,55.16,45.46,43.71,30.67,30.56,30.55,48.30,48.33,47.48,47.48,101.60,19.40,0.00
10.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,110.37,19.19,4.01,22.63,0.00,60.00,5.13,2.82,137.99,112.36,103.32,44.06,29.55,185.01,13.33,1.97,0.00,75.40,0.00,9.98,62.51,5.46,14.46,0.00,0.00,37.66,37.29,37.66,0.00,0.00,0.00,0.00,0.00,69.39,47.52,58.39,47.70,43.71,30.67,30.56,30.55,48.59,48.62,55.12,55.12,101.60,19.40,0.00
11.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,110.37,19.19,4.01,22.63,0.00,60.00,5.13,2.82,137.99,112.36,103.32,44.06,35.37,185.01,13.33,1.97,0.00,75.40,0.00,9.98,59.49,5.46,13.76,0.00,0.00,21.99,57.29,41.18,21.99,0.00,0.00,0.00,0.00,67.01,45.00,54.51,45.03,43.71,30.67,30.56,30.55,48.30,48.33,47.68,47.67,101.60,19.40,0.00
