"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CS SUNNY","CT AGROLMOS"
1.00,11.77,23.56,12.84,14.00,1.45,7.80,8.20,9.30,0.00,0.00,3.50,19.00,13.89,16.09,17.48,0.00,4.80,22.05,40.30,3.00,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,13.99,19.70,84.40,3.50,26.90,19.42,17.96,136.63,17.96,32.76,0.60,19.42,19.42,19.42,0.00,93.90,12.82,18.00,8.40,10.80,7.98,17.48,2.40,7.30,11.39,9.50,0.00,0.00,0.52,1.00,0.00,80.00,0.00,3.66,103.74,90.90,94.90,0.20,2.00,71.70,234.51,203.00,11.00
2.00,13.42,23.69,14.31,14.00,1.45,7.80,8.20,9.30,0.00,0.00,3.50,19.00,14.74,16.56,17.48,0.00,4.80,21.47,46.90,2.90,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,14.38,20.28,83.40,3.50,26.80,19.42,17.96,138.09,17.96,34.44,0.60,19.42,19.42,19.42,0.00,97.20,12.82,18.00,8.40,10.00,7.98,17.48,2.40,7.97,12.01,9.50,0.00,0.00,0.70,1.00,0.00,81.00,0.00,4.30,103.74,93.47,101.00,0.20,2.00,75.83,234.51,207.00,11.00
3.00,14.96,23.50,15.48,14.00,1.45,7.80,8.20,9.30,0.00,0.00,3.50,19.00,15.75,16.78,17.48,0.00,4.80,21.06,51.40,3.00,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,14.58,21.02,87.20,3.50,26.60,19.42,17.96,139.26,17.96,35.88,0.60,19.42,19.42,19.42,0.00,99.40,12.82,18.00,8.40,10.80,7.98,17.48,2.40,8.68,12.43,9.50,0.00,0.00,0.87,1.00,0.00,82.70,0.00,5.15,106.12,95.85,106.60,0.30,2.00,78.57,246.33,209.00,11.00
4.00,15.85,23.49,16.43,14.00,1.45,7.80,8.20,9.30,0.00,0.00,3.50,19.00,16.96,17.51,17.48,0.00,4.80,20.69,56.50,3.00,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,15.09,21.82,90.70,3.50,26.40,19.42,17.96,139.06,17.96,37.01,0.60,19.42,19.42,19.42,0.00,101.60,12.82,18.00,8.40,10.80,7.98,17.48,2.40,9.40,12.77,9.50,0.00,0.00,0.97,1.00,0.00,84.10,0.00,6.08,107.43,98.17,110.90,0.30,2.00,79.26,248.96,210.00,11.00
5.00,16.42,23.56,17.22,14.00,1.45,7.80,8.20,9.30,0.00,0.00,3.50,19.00,17.68,18.06,17.48,0.00,4.80,20.87,63.40,3.00,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,15.47,22.26,88.40,3.50,26.20,19.42,17.96,138.11,17.96,37.91,0.60,19.42,19.42,19.42,0.00,102.90,12.82,18.00,8.40,10.80,7.98,17.48,2.40,9.66,12.87,9.50,0.00,0.00,1.06,1.00,0.00,85.50,0.00,6.89,107.60,98.64,110.50,0.30,2.00,79.44,249.66,209.00,11.00
6.00,16.50,23.72,17.69,14.00,1.45,7.80,8.20,9.30,0.00,0.00,3.50,19.00,17.70,18.28,17.48,0.00,4.80,21.22,70.40,3.60,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,15.62,22.57,90.80,3.50,26.10,19.42,17.96,136.60,17.96,38.42,0.60,19.42,19.42,19.42,0.00,104.70,12.82,18.00,8.40,10.80,7.98,17.48,2.40,9.77,12.87,9.50,0.00,0.00,1.08,1.00,0.00,86.30,0.00,7.66,106.98,98.49,111.00,0.40,2.00,79.60,249.89,208.00,11.00
7.00,16.28,23.28,17.64,14.00,1.45,7.80,8.20,9.30,0.00,0.00,3.50,19.00,16.22,18.13,17.48,0.00,4.80,21.31,72.90,5.80,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,15.66,22.87,87.70,3.50,25.90,19.42,17.96,132.46,17.96,38.21,0.60,19.42,19.42,19.42,0.00,107.60,12.82,18.00,8.40,10.80,7.98,17.48,2.40,9.22,12.15,9.50,0.00,0.00,1.07,1.00,0.00,87.00,0.00,8.03,104.66,97.92,113.80,0.40,2.00,79.76,249.76,208.00,11.00
8.00,16.39,23.17,16.96,14.00,1.45,7.80,8.20,9.30,0.00,0.00,3.50,19.00,15.61,17.83,17.48,0.00,4.80,21.29,78.60,6.10,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,15.44,23.16,89.30,3.50,25.70,19.42,17.96,130.67,17.96,37.40,0.60,19.42,19.42,19.42,0.00,110.60,12.82,18.00,8.40,10.80,7.98,17.48,2.40,8.46,11.17,9.50,0.00,0.00,1.09,1.00,0.00,87.20,0.00,8.27,103.32,97.22,117.40,0.40,2.00,78.91,250.08,208.00,11.00
9.00,16.20,23.17,16.04,14.00,1.45,7.80,8.20,9.30,0.00,0.00,3.50,19.00,15.72,17.50,17.48,0.00,4.80,21.61,78.90,6.50,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,15.08,23.44,90.00,3.50,25.60,19.42,17.96,129.44,17.96,36.54,0.60,19.42,19.42,19.42,0.00,113.90,12.82,18.00,8.40,10.80,7.98,17.48,2.40,8.46,11.05,9.50,0.00,0.00,1.08,1.00,0.00,87.40,0.00,8.75,102.84,98.56,124.00,0.40,2.00,76.93,248.33,206.00,11.00
10.00,15.39,23.17,15.16,14.00,1.45,7.80,8.20,9.30,0.00,0.00,3.50,19.00,16.20,17.38,17.48,0.00,4.80,22.04,79.10,6.60,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,14.88,23.72,90.60,3.50,25.40,19.42,17.96,128.95,17.96,35.77,0.60,19.42,19.42,19.42,0.00,117.10,12.82,18.00,8.40,10.80,7.98,17.48,2.40,8.72,11.22,9.50,0.00,0.00,1.08,1.00,0.00,86.30,0.00,9.32,102.42,100.60,129.40,0.30,2.00,77.20,242.76,204.00,11.00
