"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
1.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,104.11,19.19,0.63,26.42,13.52,60.00,9.44,5.18,163.91,56.52,103.56,38.07,35.37,230.00,14.58,1.97,0.00,43.84,6.39,9.98,82.87,6.44,19.17,228.46,0.00,67.50,0.00,67.88,25.63,0.00,0.00,0.00,0.00,74.91,53.40,44.99,50.17,53.05,30.67,30.56,30.55,42.50,42.52,47.43,47.42,114.25,0.00,0.00
2.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,108.46,19.19,0.63,26.42,14.92,60.00,9.44,5.18,163.91,56.52,108.85,38.07,35.37,230.00,14.58,1.97,0.00,43.84,6.39,9.98,4.64,6.44,0.00,228.46,0.00,47.86,0.00,67.88,30.94,0.00,0.00,0.00,0.00,74.91,53.40,59.22,0.00,53.05,30.67,30.56,30.55,42.36,42.37,70.02,70.00,113.90,0.00,0.00
3.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,105.35,19.19,0.63,26.42,0.00,60.00,9.44,5.18,163.91,56.52,105.06,38.07,35.37,230.00,14.58,1.97,0.00,43.84,6.39,9.98,61.76,6.44,14.29,228.46,0.00,67.50,0.00,67.88,20.62,0.00,0.00,0.00,0.00,74.91,53.40,53.40,0.00,53.05,30.67,30.56,30.55,41.31,41.33,35.71,35.70,109.84,0.00,0.00
4.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,109.99,19.19,0.63,26.42,12.26,60.00,9.44,5.18,163.91,56.52,110.71,38.07,35.37,230.00,14.58,1.97,0.00,43.84,6.39,9.98,50.11,6.44,11.59,220.39,0.00,30.31,0.00,46.78,30.31,0.00,0.00,0.00,0.00,74.91,53.40,44.07,46.32,53.05,30.67,30.56,30.55,41.83,41.85,36.55,36.55,115.77,0.00,0.00
5.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,102.20,19.19,0.63,26.42,14.92,60.00,9.44,5.18,163.91,56.52,101.24,38.07,18.00,230.00,14.58,1.97,0.00,43.84,6.39,9.98,82.77,6.44,19.14,154.70,154.88,66.17,0.00,66.54,65.91,0.00,0.00,0.00,0.00,74.91,76.30,55.66,0.00,53.05,30.67,30.56,30.55,42.50,42.52,56.53,56.52,125.94,0.00,0.00
6.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,97.55,19.19,0.63,26.42,9.60,60.00,9.44,5.18,163.91,56.52,95.57,38.07,35.37,230.00,14.58,1.97,0.00,43.84,6.39,9.98,67.49,6.44,15.61,152.96,152.84,61.56,0.00,61.92,61.39,0.00,156.01,0.00,0.00,74.91,76.30,47.24,0.00,53.05,30.67,30.56,30.55,41.17,41.18,38.32,38.32,127.19,0.00,0.00
7.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,14.92,60.00,9.44,5.18,163.91,56.52,111.18,38.07,27.53,230.00,14.58,1.97,0.00,43.84,6.39,9.98,85.48,6.44,19.77,0.00,220.39,32.35,0.00,48.90,32.35,0.00,0.00,0.00,0.00,74.91,53.40,53.40,66.47,53.05,30.67,30.56,30.55,42.50,42.52,100.43,100.38,150.01,0.00,0.00
8.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,9.60,60.00,9.44,5.18,163.91,56.52,111.18,38.07,18.00,230.00,14.58,1.97,0.00,43.84,6.39,9.98,82.18,6.44,19.01,0.00,220.39,67.50,0.00,67.88,20.62,0.00,130.83,126.51,0.00,74.91,53.40,39.87,32.02,53.05,30.67,30.56,30.55,42.36,42.37,20.62,20.62,145.55,0.00,0.00
9.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,104.32,19.19,0.63,26.42,12.26,60.00,9.44,5.18,163.91,56.52,103.82,38.07,18.00,230.00,14.58,1.97,0.00,43.84,6.39,9.98,85.48,6.44,19.77,156.72,156.47,23.30,0.00,67.88,23.30,116.72,121.28,116.74,0.00,74.91,53.40,42.51,39.83,53.05,30.67,30.56,30.55,42.35,42.36,21.25,21.25,159.73,0.00,0.00
10.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,102.90,19.19,0.63,26.42,14.70,60.00,9.44,5.18,163.91,56.52,102.08,38.07,18.00,230.00,27.66,1.97,0.00,43.84,6.39,9.98,85.48,6.44,19.77,154.67,154.50,67.50,0.00,67.88,20.62,156.09,160.23,156.14,0.00,74.91,53.40,38.86,45.29,53.05,30.67,30.56,30.55,41.17,41.18,51.25,51.25,159.73,0.00,0.00
11.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,103.37,19.19,0.63,26.42,14.92,60.00,9.44,5.18,163.91,56.52,102.66,38.07,35.37,230.00,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.44,19.77,155.04,154.85,23.30,67.10,67.88,23.30,184.17,188.35,184.23,0.00,74.91,53.40,45.04,50.39,53.05,30.67,30.56,30.55,41.47,41.48,83.15,83.12,159.73,0.00,0.00
12.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,104.15,19.19,0.63,26.42,14.92,73.21,9.44,5.18,163.91,56.52,103.60,38.07,18.00,230.00,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.44,19.77,155.15,155.34,23.30,67.10,67.88,23.30,184.17,188.35,184.23,0.00,74.91,53.40,44.93,49.95,53.05,30.67,30.56,30.55,41.17,41.18,60.71,60.69,159.73,0.00,0.00
13.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.26,19.19,0.63,26.42,14.92,94.06,9.44,5.18,163.91,56.52,111.05,38.07,35.37,230.00,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.44,19.77,161.92,161.36,23.30,67.10,67.88,23.30,184.17,188.35,184.23,0.00,74.91,53.40,44.97,50.18,53.05,30.67,30.56,30.55,41.83,41.85,95.65,95.61,164.15,0.00,0.00
14.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,14.92,123.56,9.44,5.18,163.91,56.52,111.18,38.07,18.00,230.00,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.44,19.77,176.60,179.16,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,53.40,52.77,65.82,53.05,30.67,30.56,30.55,42.15,42.17,110.26,110.22,176.41,0.00,0.00
15.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,14.92,125.42,9.44,5.18,163.91,56.52,111.18,38.07,18.00,230.00,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.44,19.77,176.92,179.55,67.50,67.10,67.88,20.62,184.17,197.14,184.23,0.00,74.91,53.40,51.58,64.51,53.05,30.67,30.56,30.55,42.34,42.36,110.26,110.22,175.94,0.00,0.00
16.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,14.92,133.47,9.44,5.18,163.91,56.52,111.18,38.07,18.00,230.00,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.44,19.77,182.88,179.62,23.30,67.10,23.30,67.33,184.17,197.14,184.23,0.00,74.91,53.40,53.40,66.47,53.05,30.67,30.56,30.55,42.50,42.52,110.26,110.22,178.51,0.00,0.00
17.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,14.92,126.64,9.44,5.18,163.91,56.52,111.18,38.07,18.00,230.00,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.44,19.77,176.58,179.14,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,53.73,52.35,65.38,53.05,30.67,30.56,30.55,41.73,41.74,110.26,110.22,174.52,0.00,0.00
18.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,14.92,127.56,9.44,5.18,163.91,56.52,111.18,38.07,35.37,230.00,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.44,19.77,179.32,176.66,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,76.30,52.38,65.41,53.05,30.67,30.56,30.55,42.50,42.52,110.26,110.22,174.14,0.00,0.00
19.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,14.92,121.99,9.44,5.18,163.91,56.52,111.18,38.07,18.00,230.00,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.44,19.77,176.63,174.40,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,58.74,49.29,61.39,53.05,30.67,30.56,30.55,41.17,41.18,110.26,110.22,170.22,0.00,0.00
20.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,14.92,126.75,9.44,5.18,163.91,56.52,111.18,38.07,18.00,230.00,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.44,19.77,177.62,180.38,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,53.40,53.40,66.47,53.05,30.67,30.56,30.55,42.50,42.52,110.26,110.22,171.00,0.00,0.00
21.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,14.92,111.98,9.44,5.18,163.91,56.52,111.18,38.07,35.37,230.00,25.00,1.97,6.88,87.69,6.39,9.98,85.48,6.44,19.77,170.30,168.93,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,53.40,47.87,60.26,53.05,30.67,30.56,30.55,41.17,41.18,110.26,110.22,163.68,0.00,0.00
22.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,14.92,114.58,9.44,5.18,163.91,56.52,111.18,38.07,35.37,230.00,25.00,1.97,6.88,87.69,6.39,9.98,85.48,6.44,19.77,220.39,0.00,23.30,67.10,67.88,23.30,184.17,188.35,184.23,0.00,74.91,53.40,53.40,66.47,53.05,30.67,30.56,30.55,41.63,41.65,0.00,110.22,163.42,0.00,0.00
23.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,14.92,81.71,9.44,5.18,163.91,56.52,111.18,38.07,24.74,230.00,25.00,1.97,6.88,87.69,6.39,9.98,85.19,6.44,19.71,220.39,0.00,23.30,67.10,67.88,23.30,184.17,188.35,184.23,0.00,74.91,53.40,42.72,52.43,53.05,30.67,30.56,30.55,41.31,41.33,0.00,0.00,138.35,0.00,0.00
24.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,98.07,19.19,0.63,26.42,12.26,67.15,9.44,5.18,163.91,56.52,96.21,38.07,18.00,226.20,25.00,1.97,6.88,87.69,6.39,9.98,45.17,6.44,10.45,220.39,0.00,21.90,49.13,28.98,21.90,167.17,171.33,167.24,0.00,74.91,53.40,45.01,50.15,53.05,30.67,30.56,30.55,41.17,41.18,0.00,0.00,127.65,0.00,0.00
