"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY"
1.00,0.00,16.98,0.00,14.00,0.00,7.60,6.40,8.30,2.60,0.40,3.50,20.00,0.00,0.00,17.48,0.00,6.80,8.81,26.65,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,0.00,12.10,38.19,3.40,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,29.50,12.82,19.42,6.00,10.80,8.30,12.62,2.40,2.62,3.76,18.00,0.00,0.00,0.00,1.00,41.27,66.80,2.70,1.60,0.00,54.37,25.80,0.00,2.00,0.00,0.00,11.00,0.00
2.00,0.00,16.98,0.00,14.00,0.00,7.60,6.40,8.30,2.60,0.40,3.50,20.00,0.00,0.00,17.48,0.00,6.80,8.81,26.65,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,0.00,12.10,38.19,3.40,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,25.80,12.82,19.42,6.00,10.80,8.30,12.62,2.40,2.62,3.76,18.00,0.00,0.00,0.00,1.00,41.27,64.90,2.50,1.60,0.00,51.95,23.00,0.00,2.00,0.00,0.00,11.00,0.00
3.00,0.00,16.82,0.00,14.00,0.00,7.60,6.40,8.30,2.60,0.40,3.50,20.00,0.00,0.00,17.48,0.00,6.80,9.09,25.92,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,0.00,12.40,36.71,3.40,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,21.70,12.82,19.42,6.00,10.80,8.30,12.62,2.40,2.95,4.24,18.00,0.00,0.00,0.00,1.00,35.66,62.80,2.30,1.60,0.00,49.64,19.70,0.00,2.00,0.00,0.00,11.00,0.00
4.00,0.00,17.68,0.00,14.00,0.00,7.60,6.40,8.30,2.60,0.40,3.50,20.00,0.00,0.00,17.48,0.00,6.80,9.94,23.70,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,0.00,12.40,34.97,3.40,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,18.90,12.82,19.42,6.00,10.80,8.30,12.62,2.40,3.00,4.40,18.00,0.00,0.00,0.00,1.00,32.01,60.00,2.00,1.40,0.00,47.34,16.70,0.00,2.00,0.00,0.00,11.00,0.00
5.00,0.00,17.95,0.00,14.00,0.00,7.60,6.40,8.30,2.60,0.40,3.50,20.00,0.00,0.00,17.48,0.00,6.80,10.69,21.50,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,0.00,12.30,33.53,3.40,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,16.60,12.82,19.42,6.00,10.80,8.30,12.62,2.40,3.05,4.54,18.00,0.00,0.00,0.00,1.00,29.10,57.00,1.60,1.20,0.00,45.76,13.90,0.00,2.00,0.00,0.00,11.00,0.00
6.00,0.00,18.06,0.00,14.00,0.00,7.60,6.40,8.30,2.60,0.40,3.50,20.00,0.00,0.00,17.48,0.00,6.80,11.10,19.38,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,0.00,11.80,32.99,3.40,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,14.90,12.82,19.42,6.00,10.80,8.30,12.62,2.40,3.08,4.61,18.00,0.00,0.00,0.00,1.00,28.38,55.00,1.40,1.10,0.00,44.18,12.00,0.00,2.00,0.00,0.00,11.00,0.00
7.00,0.00,18.16,0.00,14.00,0.00,7.60,6.40,8.30,2.60,0.40,3.50,20.00,0.00,0.00,17.48,0.00,6.80,11.55,17.69,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,0.00,11.00,32.01,3.40,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,13.50,12.82,19.42,6.00,10.80,8.30,12.62,2.40,3.07,4.66,18.00,0.00,0.00,0.00,1.00,27.74,53.40,1.10,0.90,0.00,42.93,10.40,0.00,2.00,0.00,0.00,11.00,0.00
8.00,0.00,18.44,0.00,14.00,0.00,7.60,6.40,8.30,2.60,0.40,3.50,20.00,0.00,0.00,17.48,0.00,6.80,12.07,17.29,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,0.00,10.60,29.70,3.40,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,12.70,12.82,19.42,6.00,10.80,8.30,12.62,2.40,2.93,4.64,18.00,0.00,0.00,0.00,1.00,27.31,50.30,0.90,0.90,0.00,41.67,9.60,0.00,2.00,0.00,0.00,11.00,0.00
9.00,0.00,18.80,0.00,14.00,0.00,7.60,6.40,8.30,2.60,0.40,3.50,20.00,0.00,0.00,17.48,0.00,6.80,12.74,17.08,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,0.00,10.30,27.73,3.40,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,12.00,12.82,19.42,6.00,10.80,8.30,12.62,2.40,2.94,4.73,18.00,0.00,0.00,0.00,1.00,26.52,46.80,0.70,0.80,0.00,40.90,9.20,0.00,2.00,0.00,0.00,11.00,0.00
10.00,0.00,18.79,0.00,14.00,0.00,7.60,6.40,8.30,2.60,0.40,3.50,20.00,0.00,0.00,17.48,0.00,6.80,13.85,17.42,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,0.00,10.60,26.81,3.40,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,12.60,12.82,19.42,6.00,10.80,8.30,12.62,2.40,3.41,5.16,18.00,0.00,0.00,0.00,1.00,24.69,45.50,0.60,0.80,0.00,40.12,10.50,0.00,2.00,0.00,0.00,11.00,0.00
