"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY"
1.00,16.48,17.44,17.40,0.00,1.45,7.50,6.40,6.30,2.20,0.40,3.50,20.00,17.13,17.53,18.05,0.00,0.00,9.00,70.86,7.90,0.00,4.80,2.50,18.54,16.20,9.00,11.71,1.40,14.85,12.81,43.85,2.30,26.20,19.51,18.05,142.20,18.05,39.12,0.60,19.51,19.51,19.51,2.40,42.56,12.00,14.00,4.00,10.80,8.61,11.90,2.40,4.82,6.14,17.00,0.00,0.00,0.90,1.00,68.74,73.37,6.90,3.96,89.10,49.70,68.28,0.30,2.00,79.58,247.40,0.00,170.09
2.00,16.83,16.10,17.80,0.00,1.45,7.50,6.40,6.30,2.20,0.40,3.50,20.00,17.58,17.61,18.05,0.00,0.00,9.60,70.33,7.90,0.00,4.80,2.50,18.54,16.20,9.00,11.71,1.40,15.15,13.55,46.47,2.30,26.20,19.51,18.05,133.10,18.05,39.33,0.60,19.51,19.51,19.51,2.40,53.38,12.00,14.00,4.00,10.80,8.61,11.90,2.40,6.14,8.09,17.00,0.00,0.00,0.92,1.00,70.12,76.06,7.60,4.68,90.20,55.17,75.86,0.40,2.00,78.86,247.40,0.00,171.15
3.00,16.83,16.63,17.75,0.00,1.45,7.50,6.40,6.30,1.70,0.40,3.50,20.00,17.43,17.80,18.05,0.00,0.00,10.20,69.76,7.90,0.00,4.80,2.50,18.54,16.20,9.00,11.71,1.40,15.43,13.98,48.75,2.30,26.20,19.51,18.05,140.00,18.05,39.26,0.60,19.51,19.51,19.51,2.40,68.09,12.00,14.00,4.00,10.80,8.61,11.90,2.40,7.73,9.58,17.00,0.00,0.00,0.91,1.00,69.87,77.16,8.20,5.07,91.60,62.34,86.12,0.40,2.00,78.03,247.40,0.00,170.50
4.00,16.84,15.56,17.54,0.00,1.45,7.50,6.40,6.30,1.70,0.40,3.50,20.00,16.86,18.25,18.05,0.00,0.00,10.60,69.23,7.90,0.00,4.80,2.50,18.54,16.20,9.00,11.71,1.40,15.77,14.31,50.63,2.30,26.10,19.51,18.05,142.10,18.05,39.09,0.60,19.51,19.51,19.51,2.40,84.09,12.00,14.00,4.00,10.80,8.61,11.71,2.40,9.43,10.93,17.00,0.00,0.00,0.93,1.00,69.60,77.94,8.50,5.35,92.60,68.59,97.29,0.40,2.00,78.50,247.40,0.00,169.32
5.00,16.63,14.89,17.12,0.00,1.45,7.50,6.40,6.30,1.70,0.40,3.50,20.00,16.85,18.59,18.05,0.00,0.00,11.10,68.82,7.90,0.00,4.80,2.50,18.54,16.20,9.00,11.71,1.40,15.96,14.46,51.61,2.30,26.00,19.51,18.05,141.90,18.05,38.64,0.60,19.51,19.51,19.51,2.40,98.80,12.00,14.00,4.00,10.80,8.61,11.71,2.40,10.55,11.99,17.00,0.00,0.00,0.92,1.00,69.29,77.32,8.70,5.91,93.20,72.73,107.55,0.40,2.00,79.07,247.40,0.00,167.55
6.00,15.91,15.21,16.55,0.00,1.45,7.50,6.40,6.30,1.70,0.40,3.50,20.00,17.18,18.53,18.05,0.00,0.00,10.80,68.44,7.90,0.00,4.80,2.50,18.54,16.20,9.00,11.71,1.40,15.96,14.68,52.84,2.30,25.90,19.51,18.05,141.00,18.05,37.82,0.60,19.51,19.51,19.51,2.40,109.62,12.00,14.00,4.00,10.80,8.61,11.71,2.40,11.49,12.95,17.00,0.00,0.00,0.92,1.00,69.29,76.42,8.90,6.57,93.70,77.10,115.13,0.30,2.00,79.32,247.40,0.00,164.07
7.00,14.78,15.41,15.75,0.00,1.45,7.50,6.40,6.30,1.70,0.40,3.50,20.00,17.65,18.46,18.05,0.00,0.00,10.30,67.61,7.90,0.00,4.80,2.50,18.54,16.20,9.00,11.71,1.40,15.88,14.93,54.09,2.30,26.10,19.51,18.05,139.00,18.05,36.41,0.60,19.51,19.51,19.51,2.40,111.47,12.00,14.00,4.00,10.80,8.61,11.71,2.40,11.81,13.20,17.00,0.00,0.00,0.92,1.00,69.97,76.30,9.00,6.77,92.10,79.64,117.05,0.20,2.00,79.45,247.40,0.00,157.70
8.00,13.29,14.61,14.60,0.00,1.45,7.50,6.40,6.30,2.20,0.40,3.50,20.00,17.52,18.25,18.05,0.00,0.00,10.00,66.77,7.90,0.00,4.80,2.50,18.54,16.20,9.00,11.71,1.40,15.59,15.06,54.89,2.30,26.10,19.51,18.05,137.50,18.05,34.50,0.60,19.51,19.51,19.51,2.40,115.54,12.00,14.00,4.00,10.80,8.61,11.71,2.40,11.93,13.22,17.00,0.00,0.00,0.77,1.00,70.57,76.08,8.40,6.81,89.20,81.48,121.28,0.20,2.00,79.83,247.40,0.00,146.08
9.00,11.73,14.35,12.91,0.00,1.45,7.50,6.40,6.30,2.20,0.40,3.50,20.00,16.83,17.94,18.05,0.00,0.00,9.80,66.39,7.90,0.00,4.80,2.50,18.54,16.20,9.00,11.71,1.40,15.10,14.98,54.65,2.30,26.00,19.51,18.05,135.90,18.05,32.57,0.60,19.51,19.51,19.51,2.40,119.61,12.00,14.00,4.00,10.80,8.61,11.71,2.40,12.06,13.20,17.00,0.00,0.00,0.75,1.00,70.92,75.17,7.50,6.43,85.20,81.84,49.00,0.10,2.00,79.95,247.40,0.00,133.85
10.00,9.88,14.31,11.02,0.00,1.45,7.50,6.40,6.30,2.20,0.40,3.50,20.00,15.80,17.52,18.05,0.00,0.00,9.70,65.59,7.90,0.00,4.80,2.50,18.54,16.20,9.00,11.71,1.40,14.49,15.11,55.15,2.30,25.90,19.51,18.05,129.90,18.05,29.51,0.60,19.51,19.51,19.51,2.40,121.47,12.00,14.00,4.00,10.80,8.61,11.71,2.40,12.18,13.18,17.00,0.00,0.00,0.70,1.00,71.55,74.72,7.40,5.91,79.90,82.37,51.00,0.10,2.00,79.79,247.40,0.00,119.37
