"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASAGRANDETV1","CTCASAGRANDETV3"
1.00,6.71,13.45,8.25,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,15.75,17.36,18.05,0.00,0.00,18.60,32.17,7.90,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,14.63,7.30,20.10,2.20,27.00,19.51,18.05,143.68,18.05,34.95,0.60,19.51,19.51,19.51,2.40,12.60,12.88,13.66,3.00,10.80,8.77,9.60,2.40,0.52,0.27,18.00,0.00,0.00,0.06,1.00,21.00,29.40,0.90,1.27,104.35,41.50,11.40,0.00,2.00,78.59,181.47,11.00,171.28,0.00,22.40
2.00,9.30,13.02,10.56,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.03,18.27,18.05,0.00,0.00,18.20,33.42,7.90,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.26,7.80,22.90,2.20,27.00,19.51,18.05,144.38,18.05,36.58,0.60,19.51,19.51,19.51,2.40,14.40,12.88,13.66,3.00,10.80,8.77,9.60,2.40,0.61,0.28,18.00,0.00,0.00,0.09,1.00,23.30,31.50,1.50,1.36,108.22,42.70,15.80,0.10,2.00,79.91,219.64,11.00,195.36,0.00,22.40
3.00,11.39,12.89,12.40,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.68,18.68,18.05,0.00,0.00,17.80,35.10,7.90,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.67,8.50,26.40,2.20,27.00,19.51,18.05,144.48,18.05,37.54,0.60,19.51,19.51,19.51,2.40,17.00,12.88,13.66,3.00,10.80,8.77,9.60,2.40,0.70,0.30,18.00,0.00,0.00,0.44,1.00,26.60,35.30,2.10,1.53,110.40,44.10,21.40,0.20,2.00,80.00,241.56,11.00,202.53,0.00,22.40
4.00,13.01,12.86,14.13,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.49,18.85,18.05,0.00,0.00,16.60,38.09,7.90,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.85,9.40,30.60,2.20,27.00,19.51,18.05,144.48,18.05,38.18,0.60,19.51,19.51,19.51,2.40,25.90,12.88,13.66,3.00,10.80,8.77,9.60,2.40,0.82,0.36,18.00,0.00,0.00,0.59,1.00,31.50,41.60,2.90,1.92,111.58,47.60,32.60,0.20,2.00,80.00,248.70,11.00,203.98,0.00,22.40
5.00,14.58,13.17,15.58,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.08,18.81,18.05,0.00,0.00,15.10,41.41,7.50,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.89,10.40,35.10,2.20,27.00,19.51,18.05,144.48,18.05,38.69,0.60,19.51,19.51,19.51,2.40,36.80,12.88,13.66,3.00,10.80,8.77,9.60,2.40,0.96,0.46,18.00,0.00,0.00,0.74,1.00,36.90,48.70,3.70,2.36,112.19,51.90,45.80,0.30,2.00,80.00,251.47,11.00,204.00,0.00,22.40
6.00,15.94,13.15,16.76,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.28,18.76,18.05,0.00,0.00,14.70,45.77,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.84,11.10,38.40,2.20,27.00,19.51,18.05,144.48,18.05,39.02,0.60,19.51,19.51,19.51,2.40,44.30,12.88,13.66,3.00,10.80,8.77,9.60,2.40,1.12,0.68,18.00,0.00,0.00,0.83,1.00,39.70,51.30,4.20,2.98,112.50,54.20,52.80,0.30,2.00,80.00,252.34,11.00,204.00,0.00,22.40
7.00,17.01,12.36,17.76,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.79,18.74,18.05,0.00,0.00,14.60,50.42,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.88,11.80,41.30,2.20,27.00,19.51,18.05,144.48,18.05,39.28,0.60,19.51,19.51,19.51,2.40,50.70,12.88,13.66,3.00,10.80,8.77,9.60,2.40,1.58,1.20,18.00,0.00,0.00,0.90,1.00,41.60,52.40,4.40,3.56,112.61,55.90,57.90,0.30,2.00,80.00,252.40,11.00,204.00,0.00,22.40
8.00,17.74,12.43,18.50,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.89,18.71,18.05,0.00,0.00,15.70,55.93,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.93,12.30,43.80,2.20,27.00,19.51,18.05,144.46,18.05,39.45,0.60,19.51,19.51,19.51,2.40,56.60,12.88,13.66,3.00,10.80,8.77,9.60,2.40,2.94,2.59,18.00,0.00,0.00,0.92,1.00,43.70,52.90,5.10,4.06,112.60,57.60,63.50,0.40,2.00,80.00,252.40,11.00,204.00,0.00,22.40
9.00,17.91,12.34,18.71,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.57,18.70,18.05,0.00,0.00,17.10,60.76,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.96,12.70,46.10,2.20,27.00,19.51,18.05,139.26,18.05,39.47,0.60,19.51,19.51,19.51,2.40,62.30,12.88,13.66,3.00,10.80,8.77,9.60,2.40,4.39,4.32,18.00,0.00,0.00,0.91,1.00,45.90,53.20,5.90,4.49,112.43,59.20,69.20,0.40,2.00,80.00,252.40,11.00,204.00,0.00,22.40
10.00,17.86,13.35,18.72,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,17.70,18.73,18.05,0.00,0.00,18.40,63.55,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.98,12.60,46.40,2.20,27.00,19.51,18.05,138.84,18.05,39.31,0.60,19.51,19.51,19.51,2.40,72.50,12.88,13.66,3.00,10.80,8.77,9.60,2.40,6.14,7.04,18.00,0.00,0.00,0.93,1.00,48.80,54.00,6.30,4.72,112.21,61.40,77.70,0.40,2.00,80.00,252.40,11.00,204.00,0.00,22.40
