"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASA GRANDE"
1.00,12.15,13.20,13.38,14.00,1.45,7.50,5.80,4.00,1.50,0.00,3.30,20.00,18.72,18.62,17.56,0.00,0.00,26.50,72.50,8.10,0.00,4.80,2.50,17.95,14.24,9.00,12.00,1.40,15.95,26.20,84.20,2.45,27.00,14.00,14.00,144.45,0.00,38.09,0.60,19.51,19.51,19.51,2.40,121.50,11.22,10.00,3.50,9.00,8.10,7.40,2.40,12.20,12.90,18.00,0.00,0.00,0.75,1.00,114.60,108.00,11.40,10.40,110.50,106.90,126.50,0.10,2.00,69.30,246.30,11.00,204.00,23.00
2.00,10.90,13.19,11.52,14.00,1.45,7.50,5.80,4.00,1.50,0.00,3.30,20.00,17.99,18.44,17.56,0.00,0.00,26.70,73.70,8.10,0.00,4.80,2.50,17.95,14.24,9.00,12.00,1.40,15.80,26.60,84.30,2.45,27.00,14.00,14.00,144.09,0.00,36.90,0.60,19.51,19.51,19.51,2.40,122.90,11.22,10.00,3.50,9.00,8.10,7.40,2.40,12.50,13.30,18.00,0.00,0.00,0.70,1.00,112.50,106.20,11.40,10.40,108.59,107.30,128.30,0.10,2.00,62.20,238.70,11.00,203.45,23.00
3.00,9.39,12.86,9.80,14.00,1.45,7.50,5.80,4.00,1.50,0.00,3.30,20.00,16.65,18.05,17.56,0.00,0.00,26.60,74.30,8.10,0.00,4.80,2.50,17.95,14.24,9.00,12.00,1.40,15.22,26.70,84.00,2.45,27.00,14.00,14.00,142.27,0.00,34.94,0.60,19.51,19.51,19.51,2.40,123.80,11.22,10.00,3.50,9.00,8.10,7.40,2.40,12.60,13.50,18.00,0.00,0.00,0.59,1.00,110.80,104.70,11.50,10.60,104.30,107.50,129.50,0.10,2.00,57.90,235.16,11.00,196.18,23.00
4.00,6.99,12.48,7.71,14.00,1.45,7.50,5.80,4.00,1.50,0.00,3.30,20.00,15.11,17.18,17.56,0.00,0.00,26.40,74.70,8.10,0.00,4.80,2.50,17.95,14.24,9.00,12.00,1.40,14.16,26.70,83.80,2.45,27.00,14.00,14.00,135.81,0.00,31.76,0.60,19.51,19.51,19.51,2.40,124.30,11.22,10.00,3.50,9.00,8.10,7.40,2.40,12.60,13.50,18.00,0.00,0.00,0.43,1.00,109.50,103.50,11.70,10.80,97.61,107.70,129.50,0.10,2.00,52.60,244.65,11.00,176.70,23.00
5.00,4.04,12.65,4.78,14.00,1.45,7.50,5.80,4.00,1.50,0.00,3.30,20.00,10.67,15.36,17.56,0.00,0.00,25.70,74.90,8.10,0.00,4.80,2.50,17.95,14.24,9.00,12.00,1.40,12.26,26.60,83.50,2.45,27.00,14.00,14.00,109.73,0.00,26.25,0.60,19.51,19.51,19.51,2.40,123.80,11.22,10.00,3.50,9.00,8.10,7.30,2.40,12.30,13.00,18.00,0.00,0.00,0.37,1.00,108.50,102.70,12.00,11.00,85.06,108.20,125.80,0.10,2.00,32.00,245.73,11.00,135.76,23.00
6.00,1.77,12.58,2.79,14.00,1.45,7.50,5.80,4.00,1.50,0.00,3.30,20.00,1.88,11.50,17.56,0.00,0.00,24.80,74.80,8.10,0.00,4.80,2.50,17.95,14.24,9.00,12.00,1.40,8.53,26.50,83.10,2.45,27.00,14.00,14.00,70.26,0.00,16.50,0.60,19.51,19.51,19.51,2.40,123.20,11.22,10.00,3.50,9.00,8.10,7.30,2.40,11.90,12.40,18.00,0.00,0.00,0.25,1.00,107.70,102.20,12.20,11.10,59.76,108.10,122.40,0.00,2.00,11.30,185.61,11.00,71.78,23.00
7.00,0.47,12.17,1.02,14.00,1.45,7.50,5.80,4.00,1.50,0.00,3.30,20.00,0.01,6.43,17.56,0.00,0.00,23.20,73.90,8.10,0.00,4.80,2.50,17.95,14.24,9.00,12.00,1.40,2.71,26.40,82.40,2.45,27.00,14.00,14.00,27.37,18.05,6.92,0.60,19.51,19.51,19.51,2.40,121.80,11.22,10.00,3.50,9.00,8.10,7.30,2.40,11.10,11.50,18.00,0.00,0.00,0.09,1.00,105.50,100.80,11.90,10.60,25.30,106.40,119.60,0.00,2.00,2.60,18.38,11.00,15.98,23.00
8.00,0.08,13.32,0.14,14.00,1.45,7.50,5.80,4.00,1.50,0.00,3.30,20.00,0.00,2.22,17.56,0.00,0.00,21.50,72.60,8.10,0.00,15.61,2.50,17.95,14.24,9.00,12.00,1.40,0.33,26.30,81.60,2.45,27.00,14.00,14.00,7.35,18.05,1.93,0.60,19.51,19.51,19.51,2.40,118.30,11.22,10.00,3.50,9.00,8.10,7.30,2.40,10.20,10.50,18.00,0.00,0.00,0.04,1.00,100.30,98.70,11.20,9.70,5.72,104.80,114.20,0.00,2.00,0.20,0.07,11.00,0.08,23.00
9.00,0.01,12.82,0.00,14.00,1.45,7.50,5.80,4.00,1.50,0.00,3.30,20.00,0.00,0.31,17.56,0.00,0.00,19.50,69.60,8.10,0.00,15.61,2.50,17.95,14.24,9.00,12.00,1.40,0.00,26.30,80.30,2.45,27.00,14.00,14.00,0.64,18.05,0.13,0.60,19.51,19.51,19.51,2.40,108.20,11.22,10.00,3.50,9.00,8.10,7.30,2.40,9.20,9.40,18.00,0.00,0.00,0.00,1.00,94.60,96.70,9.30,7.90,0.32,103.90,100.90,0.00,2.00,0.00,0.00,11.00,0.00,23.00
10.00,0.00,12.92,0.00,14.00,1.45,7.50,5.80,4.00,1.50,0.00,3.30,20.00,0.00,0.00,17.56,0.00,0.00,17.80,65.70,8.10,0.00,15.61,2.50,17.95,14.24,9.00,12.00,1.40,0.00,26.20,79.20,2.45,27.00,14.00,14.00,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,98.70,11.22,10.00,3.50,9.00,8.10,7.30,2.40,8.00,8.20,18.00,0.00,0.00,0.00,1.00,87.60,94.40,7.80,6.40,0.00,103.00,89.10,0.00,2.00,0.00,0.00,11.00,0.00,23.00
