"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASA GRANDE"
1.00,0.00,14.53,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,13.80,24.00,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,0.00,24.13,72.97,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,14.00,11.22,9.80,3.50,10.80,6.83,7.60,2.40,0.18,0.68,18.00,0.00,0.00,0.00,1.23,66.48,77.66,10.00,7.23,0.00,62.54,14.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
2.00,0.00,14.78,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,14.63,27.65,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,0.00,23.82,67.43,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,17.00,11.22,9.80,3.50,10.80,6.83,7.60,2.40,0.66,0.44,18.00,0.00,0.00,0.00,1.23,66.48,77.66,3.26,4.72,0.00,60.74,22.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
3.00,0.00,14.67,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,15.29,26.69,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,0.00,23.07,65.61,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,30.00,11.22,9.80,3.50,10.80,6.83,7.60,2.40,0.56,0.41,18.00,0.00,0.00,0.00,1.23,67.55,77.87,3.15,4.62,0.00,60.34,32.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
4.00,0.00,15.25,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,15.49,25.35,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,0.00,22.15,63.53,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,41.00,11.22,9.80,3.50,10.80,6.83,7.60,2.40,0.50,0.47,18.00,0.00,0.00,0.00,1.23,68.19,77.96,2.97,4.42,0.00,59.97,38.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
5.00,0.00,15.10,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,15.68,25.59,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,0.00,21.82,62.86,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,34.00,11.22,9.80,3.50,10.80,6.83,7.60,2.40,0.48,0.41,18.00,0.00,0.00,0.00,1.23,69.06,77.41,2.87,4.41,0.00,60.12,34.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
6.00,0.00,15.21,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,15.87,26.35,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,0.00,21.68,62.67,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,28.00,11.22,9.80,3.50,10.80,6.83,7.60,2.40,0.47,0.32,18.00,0.00,0.00,0.00,1.23,70.01,76.63,2.79,4.45,0.00,60.43,35.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
7.00,0.00,15.31,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,16.07,26.28,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,0.00,21.82,62.68,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,16.00,11.22,9.80,3.50,10.80,6.83,7.60,2.40,0.45,0.28,18.00,0.00,0.00,0.00,1.23,71.28,76.10,2.75,4.55,0.00,60.62,22.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
8.00,0.00,15.28,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,16.26,25.93,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,0.00,22.04,62.76,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,16.00,11.22,9.80,3.50,10.80,6.83,7.60,2.40,0.42,0.27,18.00,0.00,0.00,0.00,1.23,72.65,75.65,2.73,4.67,0.00,60.76,18.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
9.00,0.00,16.11,0.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,16.42,26.28,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,0.00,22.19,62.75,2.10,28.12,13.66,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,20.00,11.22,9.80,3.50,10.80,6.83,7.60,2.40,0.45,0.30,18.00,0.00,0.00,0.00,1.23,72.37,75.47,2.72,4.62,0.00,61.49,25.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
10.00,0.01,16.47,0.05,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,0.06,0.09,17.56,0.00,0.00,16.48,26.87,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,0.01,22.31,62.69,2.10,28.12,13.66,18.05,2.27,18.05,0.57,0.60,19.51,19.51,19.51,2.40,22.00,11.22,9.80,3.50,10.80,6.83,7.60,2.40,0.48,0.35,18.00,0.00,0.00,0.00,1.23,71.54,75.39,2.71,4.51,1.81,62.40,22.00,0.00,2.00,0.20,0.04,11.00,0.00,23.00
