"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CS INTIPAMPA EXP","CTCASAGRANDE"
1.00,0.00,19.27,0.00,14.00,2.90,7.90,5.80,7.30,1.80,0.00,2.60,20.00,0.00,0.00,11.71,0.00,4.10,14.94,21.84,0.00,0.00,4.80,3.60,18.15,15.41,10.00,13.66,1.40,0.00,5.62,18.00,2.05,26.60,10.00,18.05,0.00,17.95,0.49,0.60,19.51,19.51,19.51,1.20,5.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,0.80,4.80,18.90,0.00,0.00,0.00,1.00,7.32,8.04,0.70,0.48,0.00,36.60,5.00,0.00,2.00,0.00,0.00,11.00,0.00,0.00,23.00
2.00,0.00,19.31,0.00,14.00,2.90,7.90,5.80,7.30,1.80,0.00,2.60,20.00,0.03,0.01,11.71,0.00,4.10,15.75,21.74,0.00,0.00,4.80,3.60,18.15,15.41,10.00,13.66,1.40,0.00,5.83,17.10,2.05,26.70,10.00,18.05,0.01,17.95,0.98,0.60,19.51,19.51,19.51,1.20,6.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,0.80,4.80,18.90,0.00,0.00,0.00,1.00,4.30,5.00,0.70,0.47,0.35,34.60,5.00,0.00,2.00,0.00,0.06,11.00,0.00,0.00,23.00
3.00,0.19,19.28,0.00,14.00,2.90,7.90,5.80,7.30,1.80,0.00,2.60,20.00,0.40,0.90,11.71,0.00,4.10,15.54,20.88,0.00,0.00,4.80,3.60,18.15,15.41,10.00,13.66,1.40,0.40,6.06,16.00,2.05,26.70,10.00,18.05,4.68,17.95,6.25,0.60,19.51,19.51,19.51,1.20,6.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,0.68,4.90,18.90,0.00,0.00,0.00,1.00,4.30,5.00,0.70,0.46,16.80,32.50,5.00,0.00,2.00,3.41,45.82,11.00,12.53,1.62,23.00
4.00,0.85,19.36,0.27,14.00,2.90,7.90,5.80,7.30,1.80,0.00,2.60,20.00,0.85,3.01,11.71,0.00,4.10,14.99,19.75,0.00,0.00,4.80,3.60,18.15,15.41,10.00,13.66,1.40,2.22,6.17,15.40,2.05,26.60,10.00,18.05,21.73,17.95,11.51,0.60,19.51,19.51,19.51,1.20,7.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,0.52,4.90,18.90,0.00,0.00,0.00,1.00,4.30,5.00,0.70,0.46,42.09,32.20,5.00,0.00,2.00,12.90,123.98,11.00,40.92,6.91,23.00
5.00,2.38,19.51,1.38,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,1.64,6.22,11.71,0.00,4.10,14.72,18.93,0.00,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,5.20,6.17,15.00,2.05,26.60,10.00,18.05,69.98,17.95,19.66,0.60,19.51,19.51,19.51,1.20,7.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,0.62,5.00,18.90,0.00,0.00,0.03,1.00,4.30,5.00,0.60,0.48,70.08,32.50,6.00,0.00,2.00,29.05,184.25,11.00,95.65,21.08,23.00
6.00,4.80,19.43,2.86,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,4.36,8.36,11.71,0.00,4.10,14.55,18.22,0.00,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,6.83,5.85,15.40,2.05,26.60,10.00,18.05,111.07,17.95,27.81,0.60,19.51,19.51,19.51,1.20,7.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,0.81,4.60,18.90,0.00,0.00,0.05,1.00,2.00,2.60,0.70,0.52,88.91,33.30,6.00,0.00,2.00,46.06,220.80,11.00,165.14,30.50,23.00
7.00,7.32,19.10,5.36,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,7.21,8.93,11.71,0.00,4.10,14.34,19.26,0.00,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,7.57,5.23,16.00,2.05,26.50,10.00,18.05,121.35,17.95,30.14,0.60,19.51,19.51,19.51,1.20,7.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,0.99,4.00,18.90,0.00,0.00,0.06,1.00,2.00,2.60,0.80,0.65,95.85,34.30,7.00,0.00,2.00,58.90,234.72,11.00,183.23,38.97,23.00
8.00,9.38,18.97,8.36,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,9.22,8.66,11.71,0.00,4.10,14.12,20.88,0.00,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,8.07,4.99,18.10,2.05,26.50,10.00,18.05,129.00,17.95,32.46,0.60,19.51,19.51,19.51,1.20,7.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,1.16,4.60,18.90,0.00,0.00,0.09,1.00,4.30,5.00,1.20,0.81,99.98,37.00,7.00,0.10,2.00,66.05,245.01,11.00,195.78,44.55,23.00
9.00,10.91,18.91,10.83,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,11.32,8.62,11.71,0.00,4.10,13.25,23.85,0.00,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,8.35,5.15,20.60,2.05,26.40,10.00,18.05,133.89,17.95,33.59,0.60,19.51,19.51,19.51,1.20,5.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,1.52,5.50,18.90,0.00,0.00,0.44,1.00,4.30,10.00,1.60,0.98,103.42,42.00,7.00,0.20,2.00,69.82,249.13,11.00,202.71,45.54,23.00
10.00,12.32,18.80,12.97,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,12.85,9.27,11.71,0.00,4.10,12.15,27.27,0.00,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,9.14,5.38,22.90,2.05,26.30,10.00,18.05,136.65,17.95,34.71,0.60,19.51,19.51,19.51,1.20,10.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,1.94,6.60,18.90,0.00,0.00,0.59,1.00,20.00,19.86,2.10,1.15,106.26,44.00,11.25,0.20,2.00,73.15,251.64,11.00,207.89,45.84,23.00
