"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
1.00,74.25,30.10,67.46,623.56,203.84,3.52,3.69,110.91,19.29,0.52,22.44,14.99,92.83,5.16,2.83,164.71,112.91,92.69,24.23,4.10,136.85,33.49,4.42,6.88,88.12,0.00,6.39,9.98,59.51,10.56,13.83,0.00,0.00,20.51,38.15,57.41,38.41,135.65,142.34,133.55,0.00,66.67,66.67,47.51,49.69,45.70,30.82,30.70,30.70,20.51,0.00,20.51,20.51,204.20,18.53,20.35
2.00,78.57,30.10,67.46,623.56,203.84,3.52,3.69,110.91,19.29,0.52,22.44,14.99,93.84,5.16,2.83,164.71,112.91,92.69,24.23,4.10,137.24,33.49,4.42,6.88,88.12,0.00,6.39,9.98,68.64,10.56,15.95,0.00,0.00,27.12,55.39,55.95,20.51,151.62,161.82,150.77,0.00,66.67,66.67,49.89,60.52,45.70,30.82,30.70,30.70,0.00,20.51,20.51,20.51,204.20,18.53,20.35
3.00,77.76,30.10,67.46,623.56,203.84,3.52,3.69,110.91,19.29,0.52,22.44,14.99,93.33,5.16,2.83,164.71,112.91,92.69,24.23,31.06,137.05,33.49,4.42,6.88,88.12,0.00,6.39,9.98,57.78,10.56,13.43,0.00,0.00,27.09,52.34,27.09,52.47,144.46,153.19,143.10,0.00,66.67,66.67,48.42,55.39,45.70,30.82,30.70,30.70,75.99,20.51,23.29,23.29,204.20,18.53,20.35
4.00,74.63,30.10,67.46,623.56,203.84,3.52,3.69,110.91,19.29,0.52,22.44,14.99,91.20,5.16,2.83,164.71,112.91,92.69,24.23,38.87,137.05,33.49,4.42,6.88,88.12,0.00,6.39,9.98,39.15,10.56,9.10,0.00,0.00,53.73,64.22,20.51,20.51,124.56,132.27,127.92,0.00,66.67,66.67,49.08,53.89,45.70,30.82,30.70,30.70,74.34,20.51,20.51,20.51,204.20,18.53,20.35
5.00,74.95,30.10,67.46,623.56,203.84,3.52,3.69,110.91,19.29,0.52,22.44,14.99,85.04,5.16,2.83,164.71,112.91,92.69,24.23,45.00,136.85,33.49,4.42,6.88,88.12,0.00,6.39,9.98,32.67,10.56,7.59,0.00,0.00,50.80,20.51,67.15,20.51,118.04,124.09,117.15,0.00,66.67,66.67,47.41,46.74,45.70,30.82,30.70,30.70,62.06,20.51,20.51,20.51,204.20,18.53,20.35
6.00,78.57,30.10,67.46,623.56,203.84,3.52,3.69,110.91,19.29,0.52,22.44,14.99,103.76,5.16,2.83,164.71,112.91,92.69,24.23,4.61,137.24,33.49,4.42,6.88,88.12,0.00,6.39,9.98,81.07,10.56,18.84,0.00,0.00,20.51,20.51,20.51,20.51,166.99,188.19,175.35,0.00,69.16,35.06,50.62,62.32,45.70,30.82,30.70,30.70,20.51,0.00,110.80,110.76,204.20,18.53,20.35
7.00,76.90,30.10,67.46,623.56,203.84,3.52,3.69,110.91,19.29,0.52,22.44,14.99,92.62,5.16,2.83,164.71,112.91,92.69,24.23,42.11,136.85,33.49,4.42,6.88,88.12,0.00,6.39,9.98,40.64,10.56,9.45,0.00,0.00,40.98,56.51,40.98,20.51,127.08,134.57,127.11,0.00,66.67,66.67,48.55,50.54,45.70,30.82,30.70,30.70,45.80,45.80,60.03,60.02,204.20,18.53,20.35
8.00,78.57,30.10,67.46,623.56,203.84,3.52,3.69,110.91,19.29,0.52,22.44,14.99,94.05,5.16,2.83,164.71,112.91,92.69,24.23,4.10,137.24,33.49,4.42,6.88,88.12,0.00,6.39,9.98,53.34,10.56,12.40,0.00,0.00,20.51,27.92,68.21,20.51,138.49,145.85,136.64,0.00,66.67,66.67,49.42,60.46,45.70,30.82,30.70,30.70,20.51,0.00,107.32,107.27,204.20,18.53,20.35
9.00,77.55,30.10,67.46,623.56,203.84,3.52,3.69,110.91,19.29,0.52,22.44,14.99,93.33,5.16,2.83,164.71,112.91,92.69,24.23,44.97,136.85,33.49,4.42,6.88,88.12,0.00,6.39,9.98,46.99,10.56,10.92,0.00,0.00,39.35,39.04,60.07,20.51,117.92,126.50,117.94,0.00,66.67,66.67,48.42,55.39,45.70,30.82,30.70,30.70,61.70,27.05,40.61,40.61,204.20,18.53,20.35
10.00,76.86,30.10,67.46,623.56,203.84,3.52,3.69,110.91,19.29,0.52,22.44,14.99,93.33,5.16,2.83,164.71,112.91,92.69,24.23,44.90,137.24,33.49,4.42,6.88,88.12,0.00,6.39,9.98,46.99,10.56,10.92,0.00,0.00,20.51,55.96,41.25,41.25,110.51,123.82,112.60,0.00,66.67,66.67,49.45,54.36,45.70,30.82,30.70,30.70,68.31,20.51,34.69,34.69,204.20,18.53,20.35
11.00,76.86,30.10,67.46,623.56,203.84,3.52,3.69,110.91,19.29,0.52,22.44,14.99,83.87,5.16,2.83,155.00,112.91,92.69,24.23,45.00,137.05,33.49,4.42,6.88,85.11,0.00,6.39,9.98,46.99,10.56,10.92,0.00,0.00,20.51,40.67,56.71,41.08,0.00,80.00,66.15,0.00,66.67,66.67,49.43,54.37,45.70,30.82,30.70,30.70,44.36,44.36,66.95,0.00,204.20,18.53,20.35
