"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
1.00,69.29,28.70,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,51.68,5.14,2.82,164.07,92.39,132.84,44.10,18.00,215.88,33.36,4.42,6.88,87.77,16.00,6.39,9.98,65.25,10.32,15.11,228.68,228.42,44.81,0.00,44.81,20.60,88.36,100.60,88.37,5.67,74.99,75.00,44.48,40.16,77.12,30.70,30.59,30.58,47.37,47.37,85.59,85.55,203.40,19.44,20.27
2.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,61.92,5.14,2.82,164.07,93.22,132.84,44.10,18.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,35.40,10.32,8.20,228.68,228.42,44.81,0.00,44.81,20.60,100.30,111.08,100.31,5.67,74.99,75.00,50.63,41.81,77.12,30.70,30.59,30.58,20.60,74.13,107.10,107.06,203.40,19.44,20.27
3.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,60.97,5.14,2.82,164.07,93.62,132.84,44.10,4.12,216.27,33.36,4.42,6.88,87.77,16.00,6.39,9.98,45.46,10.32,10.52,228.68,228.42,20.60,0.00,64.55,20.60,106.29,116.37,106.30,5.67,74.99,75.00,54.30,42.95,77.12,30.70,30.59,30.58,60.06,20.60,110.37,110.32,203.40,19.44,20.27
4.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,52.23,5.14,2.82,164.07,93.73,132.84,44.10,0.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,35.96,10.32,8.33,228.68,228.42,20.60,0.00,45.49,45.49,0.00,146.96,140.96,5.67,74.99,75.00,50.63,41.81,77.12,30.70,30.59,30.58,54.23,20.60,108.24,108.20,203.40,19.44,20.27
5.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,44.65,5.14,2.82,164.07,93.08,132.84,44.10,0.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,32.75,10.32,7.58,228.68,228.42,20.60,0.00,42.57,42.57,0.00,136.38,129.25,5.67,74.99,75.00,50.05,41.64,77.12,30.70,30.59,30.58,60.06,20.60,98.62,98.57,203.40,19.44,20.27
6.00,70.55,29.22,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,35.65,5.14,2.82,164.07,90.83,132.84,44.10,0.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,26.14,10.32,6.05,228.68,228.42,20.60,0.00,64.55,20.60,0.00,118.11,108.33,5.67,74.99,75.00,47.59,40.98,77.12,30.70,30.59,30.58,60.06,20.60,77.54,77.53,203.40,19.44,20.27
7.00,69.72,28.88,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,28.96,5.14,2.82,164.07,87.48,132.84,44.10,0.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,21.05,10.32,4.87,228.68,228.42,20.60,0.00,64.55,20.60,0.00,104.80,93.10,5.67,74.99,75.00,44.78,40.24,77.12,30.70,30.59,30.58,60.06,20.60,60.82,60.81,203.40,19.44,20.27
8.00,70.95,29.39,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,37.03,5.14,2.82,164.07,87.86,132.84,44.10,0.00,215.88,33.36,4.42,6.88,87.77,16.00,6.39,9.98,18.77,10.32,4.35,228.68,228.42,20.60,0.00,64.55,20.60,0.00,107.63,96.32,5.67,74.99,75.00,44.56,40.18,77.12,30.70,30.59,30.58,60.06,20.60,58.41,58.43,203.40,19.44,20.27
9.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,42.03,5.14,2.82,164.07,88.97,132.84,44.10,0.00,216.27,33.36,4.42,6.88,87.77,16.00,6.39,9.98,28.59,10.32,6.62,228.68,228.42,20.60,0.00,64.55,20.60,0.00,121.46,112.13,5.67,74.99,75.00,51.61,42.10,77.12,30.70,30.59,30.58,20.60,60.06,87.18,87.14,203.40,19.44,20.27
10.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,47.62,5.14,2.82,164.07,91.98,132.84,44.10,0.00,215.88,33.36,4.42,6.88,87.77,16.00,6.39,9.98,28.29,10.32,6.55,228.68,228.42,20.60,0.00,64.55,20.60,0.00,124.14,115.21,5.67,74.99,75.00,49.64,41.53,77.12,30.70,30.59,30.58,60.06,20.60,88.30,88.26,203.40,19.44,20.27
11.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,54.66,5.14,2.82,164.07,93.47,132.84,44.10,0.00,216.27,33.36,4.42,6.88,87.77,16.00,6.39,9.98,29.88,10.32,6.92,228.68,228.42,45.49,0.00,45.49,20.60,0.00,129.75,121.64,5.67,74.99,75.00,51.15,41.96,77.12,30.70,30.59,30.58,54.23,20.60,90.03,89.99,203.40,19.44,20.27
12.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,66.16,5.14,2.82,164.07,93.08,132.84,44.10,0.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,28.53,10.32,6.61,228.68,228.42,20.60,0.00,64.55,20.60,0.00,130.90,122.89,5.67,74.99,75.00,50.39,41.74,77.12,30.70,30.59,30.58,40.33,40.33,79.52,79.49,203.40,19.44,20.27
13.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,81.79,5.14,2.82,164.07,92.26,132.84,44.10,0.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,28.61,10.32,6.62,228.68,228.42,20.60,0.00,64.55,20.60,0.00,136.99,129.82,5.67,74.99,75.00,50.36,41.73,77.12,30.70,30.59,30.58,20.60,60.06,59.48,59.45,203.40,19.44,20.27
14.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,81.79,5.14,2.82,164.07,92.81,132.84,44.10,0.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,32.45,10.32,7.51,228.68,228.42,45.49,0.00,45.49,20.60,113.00,122.24,113.02,5.67,74.99,75.00,50.63,41.81,77.12,30.70,30.59,30.58,54.23,20.60,60.49,60.48,203.40,19.44,20.27
15.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,81.79,5.14,2.82,164.07,92.59,132.84,44.10,0.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,37.30,10.32,8.64,228.68,228.42,45.49,0.00,45.49,20.60,154.94,159.90,155.00,5.67,74.99,75.00,54.29,42.96,77.12,30.70,30.59,30.58,54.23,20.60,0.00,0.00,203.40,19.44,20.27
16.00,72.18,29.90,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,81.79,5.14,2.82,164.07,95.28,132.84,44.10,0.00,215.88,33.36,4.42,6.88,87.77,16.00,6.39,9.98,24.43,10.32,5.66,228.68,228.42,20.60,0.00,64.55,20.60,174.56,178.81,174.63,5.67,74.99,75.00,46.46,40.68,77.12,30.70,30.59,30.58,20.60,60.06,0.00,0.00,203.40,19.44,20.27
17.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,119.34,5.14,2.82,164.07,99.44,132.84,44.10,0.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,32.58,10.32,7.54,228.68,228.42,45.49,0.00,45.49,20.60,184.35,188.53,184.41,5.67,74.99,75.00,50.63,41.81,77.12,30.70,30.59,30.58,20.60,54.23,0.00,45.63,203.40,19.44,20.27
