"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
1.00,13.58,23.61,14.22,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,17.56,17.54,15.55,0.00,6.80,10.62,22.06,0.00,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,14.92,18.13,57.09,3.35,28.12,19.44,18.46,140.00,17.88,39.50,0.60,19.44,19.44,19.44,0.00,37.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,3.19,5.32,18.00,0.00,0.00,0.68,1.23,42.20,73.70,3.60,3.13,100.80,91.17,39.00,0.30,2.00,77.88,252.40,11.00,204.00,22.00,0.30,45.43
2.00,15.12,23.70,15.29,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,17.25,17.61,15.55,0.00,6.80,9.92,28.27,0.00,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,14.96,20.23,64.77,3.35,28.12,19.44,18.46,141.00,17.88,39.57,0.60,19.44,19.44,19.44,0.00,47.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,4.07,6.61,18.00,0.00,0.00,0.76,1.23,45.00,77.10,5.10,3.96,101.52,97.44,44.00,0.30,2.00,78.49,252.40,11.00,204.00,22.00,0.33,47.02
3.00,16.23,23.80,16.29,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,17.67,17.70,15.55,0.00,6.80,9.44,34.88,1.40,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,15.01,22.08,71.25,3.35,28.12,19.44,18.46,142.00,17.88,39.64,0.60,19.44,19.44,19.44,0.00,55.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,4.96,7.61,18.00,0.00,0.00,0.83,1.23,47.10,77.10,6.41,4.78,102.24,103.05,49.00,0.30,2.00,78.82,252.40,11.00,204.00,22.00,0.34,48.60
4.00,16.98,23.87,17.17,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,18.35,17.82,15.55,0.00,6.80,9.59,42.72,3.10,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,15.12,23.17,74.07,3.35,28.12,19.44,18.46,142.00,17.88,39.70,0.60,19.44,19.44,19.44,0.00,61.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,5.84,7.76,18.00,0.00,0.00,0.85,1.23,49.10,75.90,7.15,5.57,102.24,106.68,54.00,0.40,2.00,79.10,252.40,11.00,204.00,22.00,0.35,48.99
5.00,17.37,23.66,17.60,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,18.69,17.86,15.55,0.00,6.80,9.95,49.80,3.10,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,15.19,24.13,76.54,3.35,28.12,19.44,18.46,142.00,17.88,39.73,0.60,19.44,19.44,19.44,0.00,67.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,6.47,7.68,18.00,0.00,0.00,0.84,1.23,51.50,77.20,7.93,6.36,102.24,109.73,60.00,0.40,2.00,79.30,252.40,11.00,204.00,22.00,0.35,49.38
6.00,17.60,23.65,17.73,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,18.09,17.88,15.55,0.00,6.80,10.92,54.63,3.10,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,15.15,24.64,77.90,3.35,28.12,19.44,18.46,141.00,17.88,39.73,0.60,19.44,19.44,19.44,0.00,74.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,6.32,6.96,18.00,0.00,0.00,0.86,1.23,54.00,76.30,8.80,7.14,101.52,111.03,68.00,0.40,2.00,79.40,252.40,11.00,204.00,22.00,0.35,49.39
7.00,17.58,23.86,17.39,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,16.90,17.94,15.55,0.00,6.80,11.81,58.60,0.50,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,15.17,25.05,79.22,3.35,28.12,19.44,18.46,139.00,17.88,39.71,0.60,19.44,19.44,19.44,0.00,82.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,6.08,6.29,18.00,0.00,0.00,0.85,1.23,56.50,78.30,9.62,7.90,100.08,112.06,76.00,0.40,2.00,79.46,252.40,11.00,204.00,22.00,0.35,49.40
8.00,17.27,23.89,16.73,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,16.60,17.95,15.55,0.00,6.80,12.49,59.96,0.00,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,15.16,25.13,80.41,3.35,28.12,19.44,18.46,136.00,17.88,39.66,0.60,19.44,19.44,19.44,0.00,92.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,5.59,5.73,18.00,0.00,0.00,0.84,1.23,59.10,79.80,10.32,8.59,97.92,112.28,85.00,0.30,2.00,79.50,252.40,11.00,204.00,22.00,0.35,49.24
9.00,16.12,23.83,15.74,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,17.27,17.81,15.55,0.00,6.80,12.88,61.14,0.00,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,15.02,25.20,81.36,3.35,28.12,19.44,18.46,135.00,17.88,39.58,0.60,19.44,19.44,19.44,0.00,101.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,4.98,5.09,18.00,0.00,0.00,0.85,1.23,60.00,81.80,10.89,9.14,97.20,112.32,93.00,0.20,2.00,79.49,252.40,11.00,203.89,22.00,0.35,49.09
10.00,14.55,23.80,14.55,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,17.91,17.71,15.55,0.00,6.80,12.42,61.77,0.00,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,14.86,25.25,81.61,3.35,28.12,19.44,18.46,134.00,17.88,39.23,0.60,19.44,19.44,19.44,0.00,110.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,4.01,4.18,18.00,0.00,0.00,0.71,1.23,61.10,82.20,11.07,9.25,96.48,111.80,100.00,0.20,2.00,79.43,252.39,11.00,203.70,22.00,0.35,46.56
