"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
1.00,78.57,29.98,67.20,621.99,202.54,6.57,6.90,110.48,19.21,1.78,0.00,14.93,82.10,5.13,2.82,164.07,112.47,89.00,43.55,0.00,240.00,30.30,2.06,6.88,87.77,26.00,6.39,9.98,39.56,9.70,9.16,228.68,228.42,20.60,67.16,67.94,20.60,158.50,163.24,0.00,5.67,0.00,0.00,66.62,66.54,11.42,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,0.00
2.00,78.57,29.98,67.20,621.99,202.54,6.57,6.90,110.48,19.21,1.78,0.00,14.93,81.79,5.13,2.82,164.07,112.47,89.00,43.55,0.00,240.00,30.30,2.06,6.88,87.77,36.00,6.39,9.98,53.10,9.70,12.29,228.68,228.42,20.60,67.16,67.94,20.60,170.27,174.59,0.00,5.67,0.00,0.00,66.62,66.54,11.42,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,0.00
3.00,78.57,29.98,67.20,621.99,202.54,6.57,6.90,110.48,19.21,1.78,0.00,14.93,81.79,5.13,2.82,164.07,112.47,89.00,43.55,0.00,240.00,30.30,2.06,6.88,87.77,36.00,6.39,9.98,46.37,9.70,10.74,228.68,228.42,20.60,67.16,67.94,20.60,0.00,153.01,147.63,5.67,0.00,0.00,66.62,66.54,11.42,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,0.00
4.00,78.57,29.98,67.20,621.99,202.54,6.57,6.90,110.48,19.21,1.78,0.00,14.93,81.79,5.13,2.82,164.07,112.47,89.00,43.55,0.00,240.00,30.30,2.06,6.88,87.77,36.00,6.39,9.98,30.20,9.70,6.99,228.68,228.42,46.55,67.16,46.55,20.60,113.74,122.87,0.00,5.67,0.00,0.00,66.62,66.54,11.42,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,0.00
5.00,78.57,29.98,67.20,621.99,202.54,6.57,6.90,110.48,19.21,1.78,0.00,14.93,81.79,5.13,2.82,164.07,112.47,89.00,43.55,0.00,240.00,30.30,2.06,6.88,87.77,36.00,6.39,9.98,27.90,9.70,6.46,228.68,220.60,46.55,67.16,46.55,20.60,0.00,188.53,0.00,5.67,0.00,0.00,59.28,66.54,11.42,30.70,30.59,30.58,63.95,20.60,110.37,110.32,203.40,19.44,0.00
6.00,78.57,29.98,67.20,621.99,202.54,6.57,6.90,110.48,19.21,1.78,0.00,14.93,81.79,5.13,2.82,164.07,112.47,89.00,43.55,18.00,240.00,30.30,2.06,6.88,87.77,36.00,6.39,9.98,16.46,9.70,3.81,228.68,220.60,20.60,0.00,67.94,20.60,0.00,112.03,0.00,5.67,0.00,0.00,59.28,66.54,11.42,30.70,30.59,30.58,85.00,27.68,110.37,110.32,203.40,19.44,0.00
7.00,78.57,29.98,67.20,621.99,202.54,6.57,6.90,110.48,19.21,1.78,0.00,14.93,81.48,5.13,2.82,164.07,112.47,89.00,43.55,18.00,240.00,30.30,2.06,6.88,87.77,36.00,6.39,9.98,0.00,9.70,0.00,228.68,220.60,20.60,0.00,64.46,20.60,0.00,72.76,0.00,5.67,0.00,0.00,59.28,66.54,11.42,30.70,30.59,30.58,27.68,85.00,110.37,110.32,203.40,19.44,0.00
8.00,78.57,29.98,67.20,621.99,202.54,6.57,6.90,110.48,19.21,1.78,0.00,14.93,81.79,5.13,2.82,164.07,112.47,89.00,43.55,18.00,240.00,30.30,2.06,6.88,87.77,36.00,6.39,9.98,0.00,9.70,0.00,228.68,220.60,20.60,0.00,67.94,20.60,0.00,100.80,0.00,5.67,0.00,0.00,59.28,66.54,11.42,30.70,30.59,30.58,27.68,85.00,110.37,110.32,203.40,19.44,0.00
9.00,78.57,29.98,67.20,621.99,202.54,6.57,6.90,110.48,19.21,1.78,0.00,14.93,81.79,5.13,2.82,164.07,112.47,89.00,43.55,18.00,240.00,30.30,2.06,6.88,87.77,36.00,6.39,9.98,0.00,9.70,0.00,228.68,220.60,20.60,67.16,67.94,20.60,0.00,116.76,0.00,5.67,0.00,0.00,66.62,66.54,11.42,30.70,30.59,30.58,85.00,21.84,110.37,110.32,203.40,19.44,0.00
10.00,78.57,29.98,67.20,621.99,202.54,6.57,6.90,110.48,19.21,1.78,0.00,14.93,82.10,5.13,2.82,164.07,112.47,89.00,43.55,18.00,240.00,30.30,2.06,6.88,87.77,36.00,6.39,9.98,53.98,9.70,12.50,228.68,220.60,0.00,51.43,23.42,23.42,0.00,188.53,0.00,5.67,0.00,0.00,59.28,66.54,11.42,30.70,30.59,30.58,85.00,27.68,110.37,110.32,203.40,19.44,0.00
