"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
1.00,15.49,23.21,14.74,14.00,4.20,6.80,9.80,18.62,1.80,0.40,3.40,18.64,20.00,16.66,17.01,0.00,9.00,6.23,25.37,8.10,9.91,14.93,5.00,18.70,18.70,18.89,18.89,1.40,14.05,19.66,41.42,3.51,27.00,18.89,17.66,114.93,17.38,26.19,0.60,18.89,18.89,18.89,2.40,44.00,12.47,18.89,8.20,10.70,8.27,17.00,0.00,5.64,8.51,18.90,0.00,0.00,0.85,1.00,94.20,115.90,8.00,6.60,104.43,96.18,44.00,0.40,2.00,90.00,252.28,11.00,171.30,22.00,0.35,39.80
2.00,16.74,23.12,12.53,14.00,4.20,6.80,9.80,18.62,1.80,0.40,3.40,18.64,19.39,17.60,17.01,0.00,9.00,8.25,29.91,8.00,9.91,14.93,5.00,18.70,18.70,18.89,18.89,1.40,14.58,20.84,45.94,3.51,27.00,18.89,17.66,110.64,17.38,26.45,0.60,18.89,18.89,18.89,2.40,51.00,12.47,18.89,8.20,10.70,8.27,17.00,0.00,6.15,8.36,18.90,0.00,0.00,0.87,1.00,101.70,120.40,9.40,7.90,85.55,99.70,51.00,0.40,2.00,89.08,233.68,11.00,170.10,22.00,0.34,36.46
3.00,14.91,23.20,13.85,14.00,4.20,6.80,9.80,18.62,1.80,0.40,3.40,18.64,18.48,18.04,17.01,0.00,9.00,10.07,31.91,8.00,9.91,14.93,5.00,18.70,18.70,18.89,18.89,1.40,14.91,21.76,49.92,3.51,27.00,18.89,17.66,114.40,17.38,23.62,0.60,18.89,18.89,18.89,2.40,62.00,12.47,18.89,8.20,10.70,8.27,17.00,0.00,6.16,7.70,18.90,0.00,0.00,0.86,1.00,109.40,124.60,10.60,9.20,93.02,101.82,62.00,0.40,2.00,87.16,229.88,11.00,164.30,22.00,0.34,29.75
4.00,16.62,22.95,13.10,14.00,4.20,6.80,9.80,18.62,1.80,0.40,3.40,18.64,17.72,17.97,17.01,0.00,9.00,11.83,33.06,8.00,9.91,14.93,5.00,18.70,18.70,18.89,18.89,1.40,14.72,22.44,53.35,3.51,27.00,18.89,17.66,97.03,17.38,22.18,0.60,18.89,18.89,18.89,2.40,75.00,12.47,18.89,8.20,10.70,8.27,17.00,0.00,5.99,6.86,18.90,0.00,0.00,0.85,1.00,113.90,126.00,11.10,9.80,82.51,103.64,75.00,0.40,2.00,84.83,225.77,11.00,153.70,22.00,0.33,23.05
5.00,15.64,23.26,12.27,14.00,4.20,6.80,9.80,18.62,1.80,0.40,3.40,18.64,11.66,17.65,17.01,0.00,9.00,12.19,34.42,7.50,9.91,14.93,5.00,18.70,18.70,18.89,18.89,1.40,14.13,23.01,56.58,3.51,27.00,18.89,17.66,87.72,17.38,22.28,0.60,18.89,18.89,18.89,2.40,89.00,12.47,18.89,8.20,10.70,8.27,17.00,0.00,6.21,6.27,18.90,0.00,0.00,0.85,1.00,117.40,126.60,11.40,10.30,70.72,104.66,89.00,0.30,2.00,81.41,216.17,11.00,140.10,22.00,0.31,20.36
6.00,14.58,23.17,12.63,14.00,4.20,6.80,9.80,18.62,1.80,0.40,3.40,18.64,12.40,17.18,17.01,0.00,9.00,12.09,35.85,4.90,9.91,14.93,5.00,18.70,18.70,18.89,18.89,1.40,13.60,23.45,59.60,3.51,27.00,18.89,17.66,75.95,17.38,25.68,0.60,18.89,18.89,18.89,2.40,103.00,12.47,18.89,8.20,10.70,8.27,17.00,0.00,6.54,5.76,18.90,0.00,0.00,0.72,1.00,118.10,124.80,11.40,10.50,59.24,105.78,103.00,0.20,2.00,78.56,196.46,11.00,127.60,22.00,0.28,17.66
7.00,13.23,23.10,10.36,14.00,4.20,6.80,9.80,18.62,1.80,0.40,3.40,18.64,12.45,16.59,17.01,0.00,9.00,11.86,36.50,4.90,9.91,14.93,5.00,18.70,18.70,18.89,18.89,1.40,12.98,23.86,62.60,3.51,27.00,18.89,17.66,68.83,17.38,18.09,0.60,18.89,18.89,18.89,2.40,115.00,12.47,18.89,8.20,10.70,8.27,17.00,0.00,6.98,6.09,18.90,0.00,0.00,0.70,1.00,118.00,122.60,11.40,10.50,54.36,107.30,115.00,0.20,2.00,75.57,174.16,11.00,118.30,22.00,0.25,15.41
8.00,11.50,22.97,8.61,14.00,4.20,6.80,9.80,18.62,1.80,0.40,3.40,18.64,10.83,13.77,17.01,0.00,9.00,11.59,36.90,4.90,9.91,14.93,5.00,18.70,18.70,18.89,18.89,1.40,11.53,24.22,65.57,3.51,27.00,18.89,17.66,62.61,17.38,16.20,0.60,18.89,18.89,18.89,2.40,125.00,12.47,18.89,8.20,10.70,8.27,17.00,0.00,7.45,6.71,18.90,0.00,0.00,0.65,1.00,116.90,119.90,11.20,10.40,53.90,108.72,125.00,0.10,2.00,72.92,161.66,11.00,109.00,22.00,0.21,13.17
9.00,9.50,22.97,6.18,14.00,4.20,6.80,9.80,18.62,1.80,0.40,3.40,18.64,8.47,14.83,17.01,0.00,9.00,10.97,36.11,4.90,9.91,14.93,5.00,18.70,18.70,18.89,18.89,1.40,10.71,24.57,68.39,3.51,27.00,18.89,17.66,68.52,17.38,12.33,0.60,18.89,18.89,18.89,2.40,132.00,12.47,18.89,8.20,10.70,8.27,17.00,0.00,7.50,6.61,18.90,0.00,0.00,0.55,1.00,115.60,117.30,11.00,10.30,53.17,109.74,132.00,0.10,2.00,69.24,146.45,11.00,98.30,22.00,0.18,13.42
10.00,7.04,22.92,4.18,14.00,4.20,6.80,9.80,18.62,1.80,0.40,3.40,18.64,5.79,14.30,17.01,0.00,9.00,10.22,34.92,4.80,9.91,14.93,5.00,18.70,18.70,18.89,18.89,1.40,10.21,24.90,71.06,3.51,27.00,18.89,17.66,75.32,17.38,10.73,0.60,18.89,18.89,18.89,2.40,137.00,12.47,18.89,8.20,10.70,8.27,17.00,0.00,7.42,6.28,18.90,0.00,0.00,0.39,1.00,112.70,114.10,10.90,10.10,70.05,110.36,137.00,0.10,2.00,61.66,119.60,11.00,80.00,22.00,0.14,13.68
