"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
1.00,0.00,23.87,0.00,14.00,4.20,7.10,9.00,19.14,3.55,0.40,3.40,18.00,0.00,0.00,17.49,0.00,9.00,7.66,29.33,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,24.30,74.10,3.50,25.80,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,43.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,1.48,0.66,18.90,0.00,0.00,0.00,1.00,79.11,91.29,2.41,3.40,0.00,84.61,43.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
2.00,0.00,23.87,0.00,14.00,4.20,7.10,9.00,19.14,3.55,0.40,3.40,18.00,0.00,0.00,17.49,0.00,9.00,7.66,29.33,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,23.87,71.75,3.50,25.80,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,41.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,1.48,0.66,18.90,0.00,0.00,0.00,1.00,79.11,91.29,2.41,3.40,0.00,83.73,41.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
3.00,0.00,23.82,0.00,14.00,4.20,7.10,9.00,19.14,3.55,0.40,3.40,18.00,0.00,0.00,17.49,0.00,9.00,7.87,28.89,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,23.37,69.48,3.50,25.60,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,39.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,1.32,0.55,18.90,0.00,0.00,0.00,1.00,76.33,89.24,2.26,3.12,0.00,82.85,39.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
4.00,0.00,23.87,0.00,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,0.00,0.00,17.49,0.00,9.00,7.99,30.75,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,22.81,67.30,3.50,25.40,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,38.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,1.36,0.51,18.90,0.00,0.00,0.00,1.00,71.97,86.02,2.05,2.78,0.00,82.55,38.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
5.00,0.00,23.86,0.00,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,0.00,0.00,17.49,0.00,9.00,8.06,31.76,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,22.34,65.59,3.50,25.30,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,37.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,1.41,0.50,18.90,0.00,0.00,0.00,1.00,68.40,83.44,1.87,2.50,0.00,82.26,37.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
6.00,0.00,23.92,0.00,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,0.00,0.00,17.49,0.00,9.00,8.00,30.22,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,21.96,64.36,3.50,25.20,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,36.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,1.48,0.56,18.90,0.00,0.00,0.00,1.00,67.18,82.81,1.79,2.39,0.00,81.94,36.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
7.00,0.00,23.81,0.00,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,0.00,0.00,17.49,0.00,9.00,8.02,28.83,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,21.64,63.20,3.50,25.20,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,35.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,1.51,0.61,18.90,0.00,0.00,0.00,1.00,66.25,82.41,1.75,2.30,0.00,81.63,35.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
8.00,0.00,24.15,0.00,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,0.00,0.00,17.49,0.00,9.00,8.27,27.94,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,21.39,62.10,3.50,25.20,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,35.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,1.44,0.63,18.90,0.00,0.00,0.00,1.00,66.16,82.72,1.81,2.26,0.00,80.83,35.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
9.00,0.00,23.91,0.00,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,0.00,0.00,17.49,0.00,9.00,8.56,26.68,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,21.18,61.33,3.50,25.30,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,36.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,1.36,0.64,18.90,0.00,0.00,0.00,1.00,66.25,82.99,1.85,2.25,0.00,80.03,36.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
10.00,0.00,24.05,0.00,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,0.00,0.00,17.49,0.00,9.00,8.95,24.33,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,21.00,60.87,3.50,25.30,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,36.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,1.21,0.60,18.90,0.00,0.00,0.00,1.00,66.84,83.16,1.85,2.34,0.00,79.54,36.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
