"ETAPA \ GENERADOR","KALLPATG1GAS","KALLPATG2GAS","KALLPATG3GAS","KALLPACC1GAS","KALLPACC2GAS","KALLPACC3GAS","KALLPACC12GAS","KALLPACC23GAS","KALLPACC13GAS","KALLPACC123GAS","CHILCA1TG1GAS","CHILCA1TG2GAS","CHILCA1TG3GAS","CHILCA1CC1GAS","CHILCA1CC2GAS","CHILCA1CC3GAS","CHILCA1CC12GAS","CHILCA1CC23GAS","CHILCA1CC13GAS","CHILCA1CC123GAS","AGETG1GAS","AGETG2GAS","MAL2TGN4GAS","MAL3TG5D2","VENT3D2","VENT4D2","VENT3GAS","VENT4GAS","VENTCC3GAS","VENTCC4GAS","VENTCC34GAS","VENTCC3GASFD","VENTCC4GASFD","VENTCC34GASFD","RFILO2TG1D2","RFILO2TG2D2","RFILO2TG3D2","INDEPGAS","OLLEROSTG1GAS","LFLORESTG1GAS","SNTV1R500","SNTV2R500","SNTV3R500","SHCUMMINS","CHILSLZ12R500D2","MOLL123D2","FENIXGT12GAS","FENIXCCGT12GAS","FENIXGT11GAS","FENIXCCGT11GAS","FENIXCCGT11GT12GAS","RECKA TG1  D2","PTOBRVO TG3  D2","PTOBRVO TG1  D2","PTOBRVO TG4  D2","PTOBRVO TG2  D2","FENIXCCGT11GT12D2","CTNEPITG43D2","CTNEPITG42D2","CTNEPITG41D2","RF ETEN TG1  D2","RF ETEN TG2  D2","RF PTO MALDONADO  D2","RF PUCALLPA  D2","CHILCA2 CCOMB TG41  GAS","CHILCA2 TG41  GAS","CHILINA TG  D2","STA ROSA UTI 6  GAS","STA ROSA UTI 5  D2","STA ROSA WEST TG7  D2 CON H2O","STA ROSA UTI 6  D2","STA ROSA UTI 5  GAS","STA ROSA WEST TG7  GAS CON H2O","STAROSA TG8 GAS","MALACAS3 TG 5  GAS","OLLEROS CCOMB TG1  GAS","FENIX GT12  D2","FENIX GT11  D2","FENIX CCOMB GT12  D2","FENIX CCOMB GT11  D2","LFLORES CCOMB TG1  GAS","TUMBES MAK 1  D2","TUMBES MAK 2  D2","REFTALARA TV1TV2FXRFG","MAL1TG6D2","MAL1TG6GAS"
1.000,3815.573,3938.762,1489.727,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3493.516,3934.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.226,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6430.514,0.000,0.000,0.000,0.000,4276.206,0.000,0.000,0.000,0.000,0.000,0.000,1556.374,0.000,0.000,0.000,0.000,6875.821,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4265.047,0.000,0.000,622.721,0.000,669.086
2.000,3815.573,3938.762,1637.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3493.516,3934.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1707.346,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6430.514,0.000,0.000,0.000,0.000,4276.206,0.000,0.000,0.000,0.000,0.000,0.000,1556.374,0.000,0.000,0.000,0.000,6857.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4265.047,0.000,0.000,622.721,0.000,669.086
3.000,3815.573,3938.762,1934.223,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3493.516,3934.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2218.484,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6430.515,0.000,0.000,0.000,0.000,4276.207,0.000,0.000,0.000,0.000,0.000,0.000,1556.374,0.000,0.000,0.000,0.000,6757.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4265.047,0.000,0.000,622.721,0.000,669.086
4.000,3815.573,3938.762,2082.388,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3493.516,3934.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2182.692,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6430.515,0.000,0.000,0.000,0.000,4276.207,0.000,0.000,0.000,0.000,0.000,0.000,1556.374,0.000,0.000,0.000,0.000,6819.549,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4265.047,0.000,0.000,622.721,0.000,669.086
5.000,3815.573,3938.762,2230.554,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3493.516,3934.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2168.559,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6430.515,0.000,0.000,0.000,0.000,4276.207,0.000,0.000,0.000,0.000,0.000,0.000,1556.374,0.000,0.000,0.000,0.000,6788.399,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4265.047,0.000,0.000,622.721,0.000,669.086
6.000,3815.573,3938.762,0.000,0.000,0.000,3977.710,0.000,0.000,0.000,0.000,0.000,3493.516,3934.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2218.474,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6430.515,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1556.374,0.000,0.000,0.000,0.000,6757.249,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4265.047,0.000,0.000,622.721,0.000,669.086
7.000,3815.573,3938.762,0.000,0.000,0.000,3977.710,0.000,0.000,0.000,0.000,0.000,3493.516,3934.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2218.476,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6430.515,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1556.374,0.000,0.000,0.000,0.000,6819.547,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4265.047,0.000,0.000,622.721,0.000,669.086
8.000,3815.573,3938.762,0.000,0.000,0.000,3977.710,0.000,0.000,0.000,0.000,0.000,3493.516,3934.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1585.704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6430.514,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1556.374,0.000,0.000,0.000,0.000,6757.249,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4265.047,0.000,0.000,622.721,0.000,669.086
9.000,1567.872,3938.762,0.000,0.000,0.000,3977.710,0.000,0.000,0.000,0.000,0.000,3493.516,3934.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2131.486,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6430.515,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6757.248,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4265.047,0.000,0.000,622.721,0.000,669.086
10.000,1567.872,3998.909,0.000,0.000,0.000,3977.710,0.000,0.000,0.000,0.000,0.000,3493.501,3934.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1066.152,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6426.934,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7539.384,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4265.047,0.000,0.000,622.721,0.000,669.086
11.000,2126.599,3998.909,0.000,0.000,0.000,3977.710,0.000,0.000,0.000,0.000,0.000,3122.851,3934.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1066.152,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6426.934,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6881.848,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4265.047,0.000,0.000,622.721,0.000,678.621
12.000,2126.599,3998.910,0.000,0.000,0.000,3977.710,0.000,0.000,0.000,0.000,0.000,3493.516,3934.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2169.213,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6430.515,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6757.249,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4265.047,0.000,0.000,622.721,0.000,692.925
13.000,2545.644,3998.910,0.000,0.000,0.000,3977.710,0.000,0.000,0.000,0.000,0.000,3493.516,3934.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2218.481,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6430.515,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6762.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4265.047,0.000,0.000,622.721,0.000,692.925
14.000,2545.644,3998.910,0.000,0.000,0.000,3977.710,0.000,0.000,0.000,0.000,0.000,3493.516,3934.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2218.481,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6430.515,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6762.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4265.047,0.000,0.000,622.721,0.000,692.925
15.000,0.000,3998.910,0.000,0.000,0.000,0.000,0.000,0.000,6127.028,0.000,0.000,3493.516,3934.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2218.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6430.515,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7037.584,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1659.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4265.047,0.000,0.000,622.721,0.000,692.925
