"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
1.00,0.75,21.51,2.01,14.00,4.20,6.70,9.00,18.35,3.30,0.40,3.40,5.00,3.54,0.00,16.05,0.00,9.00,18.49,51.50,7.50,10.08,14.10,4.70,18.37,18.37,18.37,18.37,1.40,0.00,28.23,79.18,3.51,24.80,17.84,16.68,0.00,0.00,2.35,0.60,1.00,1.00,1.00,0.00,115.30,11.78,19.44,8.20,10.70,8.30,18.36,1.20,4.80,6.92,19.00,0.00,0.00,0.00,1.00,108.70,96.14,10.90,8.90,1.81,107.44,154.63,0.10,0.00,9.68,0.00,11.00,13.13,22.00,0.10,3.63
2.00,0.09,21.59,1.56,14.00,4.20,6.70,9.00,18.35,3.30,0.40,3.40,5.00,2.63,1.83,16.05,0.00,9.00,18.28,52.40,7.50,10.08,14.10,4.70,18.37,18.37,18.37,18.37,1.40,1.14,28.18,79.98,3.51,24.80,17.84,16.68,0.02,0.00,1.45,0.60,1.00,1.00,1.00,0.00,116.35,11.78,19.44,8.20,10.70,8.30,18.36,1.20,4.44,6.21,19.00,0.00,0.00,0.00,1.00,104.86,95.44,10.60,8.84,1.73,107.25,150.89,0.10,0.00,3.02,0.00,11.00,11.00,22.00,0.07,4.66
3.00,0.00,21.62,0.62,14.00,4.20,6.70,9.00,18.35,3.30,0.40,3.40,5.00,0.77,0.00,16.05,0.00,9.00,18.07,52.91,7.50,10.08,14.10,4.70,18.37,18.37,18.37,18.37,1.40,0.00,28.24,80.67,3.51,25.10,17.84,16.68,0.00,0.00,0.95,0.60,1.00,1.00,10.00,0.00,117.20,11.78,19.44,8.20,10.70,8.30,18.36,1.20,4.17,5.59,19.00,0.00,0.00,0.00,1.00,101.52,95.23,10.10,8.60,0.72,107.27,146.14,0.00,0.00,0.00,0.00,11.00,5.86,22.00,0.03,5.69
4.00,0.00,21.51,0.30,14.00,4.20,6.70,9.00,18.35,3.30,0.40,3.40,5.00,0.00,0.00,16.05,0.00,9.00,17.86,52.32,8.00,10.08,14.10,4.70,18.37,18.37,18.37,18.37,1.40,0.00,27.98,79.67,3.51,25.20,17.84,16.68,0.00,0.00,0.46,0.60,10.00,10.00,10.00,0.00,117.36,11.78,19.44,8.20,10.70,8.30,18.36,1.20,4.01,5.30,19.00,0.00,0.00,0.00,1.00,97.08,94.13,8.90,7.83,1.10,105.58,139.00,0.00,0.00,0.00,0.00,11.00,3.15,22.00,0.02,2.99
5.00,0.00,21.53,0.02,14.00,4.20,6.70,9.00,18.35,3.30,0.40,3.40,18.00,0.00,0.00,16.05,0.00,9.00,17.65,51.43,8.00,10.08,14.10,4.70,18.37,18.37,18.37,18.37,1.40,0.00,27.74,78.47,3.51,25.40,17.84,16.68,0.00,0.00,0.06,0.60,17.84,17.84,17.84,0.00,117.21,11.78,19.44,8.20,10.70,8.30,18.36,1.20,3.83,4.88,19.00,0.00,0.00,0.00,1.00,92.24,92.82,7.40,7.04,0.00,103.69,131.05,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.29
6.00,0.00,21.78,0.00,14.00,4.20,6.70,9.00,18.35,3.30,0.40,3.40,18.00,0.00,0.00,16.05,0.00,9.00,17.45,51.41,8.00,10.08,14.10,4.70,18.37,18.37,18.37,18.37,1.40,0.00,26.86,76.66,3.51,25.50,17.84,16.68,0.00,0.00,0.00,0.60,17.84,17.84,17.84,0.00,110.76,11.78,19.44,8.20,10.70,8.30,18.36,1.20,3.90,4.08,19.00,0.00,0.00,0.00,1.00,88.40,92.08,6.80,6.21,0.00,101.80,120.11,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.15
7.00,0.00,21.90,0.00,14.00,4.20,6.70,9.00,18.35,3.30,0.40,3.40,18.00,0.00,0.00,16.05,0.00,9.00,15.61,51.41,8.00,10.08,14.10,4.70,18.37,18.37,18.37,18.37,1.40,0.00,25.84,74.66,3.51,25.70,17.84,16.68,0.00,0.00,0.00,0.60,17.84,17.84,17.84,0.00,101.11,11.78,19.44,8.20,10.70,8.30,18.36,1.20,4.00,3.51,18.90,0.00,0.00,0.00,1.00,84.92,91.20,6.50,5.51,0.00,100.01,107.26,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
8.00,0.00,22.02,0.00,14.00,4.20,6.70,9.00,18.35,3.30,0.40,3.40,18.00,0.00,0.00,16.05,0.00,9.00,14.29,49.19,8.00,10.08,14.10,4.70,18.37,18.37,18.37,18.37,1.40,0.00,24.91,72.26,3.51,25.40,17.84,16.68,0.00,0.00,0.00,0.60,17.84,17.84,17.84,0.00,92.27,11.78,19.44,8.20,10.70,8.30,18.36,1.20,4.10,3.25,18.90,0.00,0.00,0.00,1.00,79.74,89.03,5.90,5.20,0.00,96.52,94.31,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
9.00,0.00,21.93,0.00,14.00,4.20,6.70,9.00,18.35,3.30,0.40,3.40,18.00,0.00,0.00,16.05,0.00,9.00,13.14,47.63,8.00,10.08,14.10,4.70,18.37,18.37,18.37,18.37,1.40,0.00,23.99,69.56,3.51,25.50,17.84,16.68,0.00,0.00,0.00,0.60,17.84,17.84,17.84,0.00,83.92,11.78,19.44,8.20,10.70,8.30,18.36,1.20,4.10,3.12,18.90,0.00,0.00,0.00,1.00,73.97,86.46,5.20,4.91,0.00,92.63,81.57,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
10.00,0.00,21.83,0.00,14.00,4.20,6.70,9.00,18.35,3.30,0.40,3.40,18.00,0.00,0.00,16.05,0.00,9.00,12.41,48.58,8.00,10.08,14.10,4.70,18.37,18.37,18.37,18.37,1.40,0.00,22.96,66.25,3.51,25.50,17.84,16.68,0.00,0.00,0.00,0.60,17.84,17.84,17.84,0.00,76.97,11.78,19.44,8.20,10.70,8.30,18.36,1.20,4.40,3.32,18.90,0.00,0.00,0.00,1.00,67.99,83.09,4.70,4.65,0.00,89.74,70.82,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
