"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
1.00,78.57,29.98,67.20,627.79,204.43,9.09,9.95,110.48,19.21,2.04,0.00,12.00,141.58,5.13,2.82,164.07,50.61,132.84,22.97,45.00,242.00,17.28,4.20,6.88,87.77,0.00,6.39,9.98,4.63,3.46,0.00,228.68,220.60,0.00,0.00,20.60,26.78,184.35,188.53,184.41,5.67,0.00,0.00,50.53,66.54,30.85,0.00,30.59,30.58,76.77,87.36,110.37,110.32,203.40,19.44,20.27
2.00,78.57,29.98,67.20,627.79,204.43,9.09,9.95,110.48,19.21,2.04,0.00,12.00,142.44,5.13,2.82,164.07,50.61,132.84,24.67,45.00,242.00,17.28,4.20,6.88,87.77,0.00,6.39,9.98,64.42,3.46,14.92,228.68,220.60,20.60,0.00,20.60,0.00,184.35,188.53,184.41,5.67,0.00,0.00,50.53,66.54,30.85,0.00,30.59,30.58,76.77,87.36,110.37,110.32,203.40,19.44,20.27
3.00,78.57,29.98,67.20,627.79,204.43,9.09,9.95,110.48,19.21,2.04,0.00,12.00,142.01,5.13,2.82,164.07,50.61,132.84,38.27,45.00,242.00,17.28,4.20,6.88,87.77,0.00,6.39,9.98,0.00,3.46,0.00,228.68,220.60,37.42,54.14,20.60,37.42,184.35,188.53,184.41,5.67,0.00,0.00,46.82,61.31,30.85,30.70,30.59,0.00,76.77,87.36,50.53,110.32,203.40,19.44,20.27
4.00,78.57,29.98,67.20,627.79,204.43,9.09,9.95,110.48,19.21,2.04,0.00,12.00,127.41,5.13,2.82,164.07,50.61,132.84,38.27,45.00,242.00,17.28,4.20,6.88,87.77,0.00,6.39,9.98,0.00,3.46,0.00,228.68,220.60,20.60,46.76,20.60,61.62,184.35,188.53,184.41,5.67,0.00,0.00,45.57,57.76,30.85,30.70,30.59,0.00,76.77,87.36,50.53,110.32,203.40,19.44,20.27
5.00,65.71,29.98,67.20,594.68,193.65,9.09,9.95,110.48,19.21,2.04,0.00,12.00,142.44,5.13,2.82,164.07,50.61,132.84,38.27,45.00,242.00,17.28,4.20,6.70,87.77,0.00,6.39,9.98,0.00,3.46,0.00,228.68,220.60,37.42,54.14,20.60,37.42,184.35,188.53,184.41,5.67,0.00,0.00,46.85,61.37,30.85,30.70,30.59,0.00,76.77,87.36,50.53,110.32,203.40,19.44,20.27
6.00,65.71,29.98,67.20,594.68,193.65,9.09,9.95,110.48,19.21,2.04,0.00,12.00,142.44,5.13,2.82,164.07,50.61,132.84,38.27,45.00,242.00,17.28,4.20,6.70,87.77,0.00,6.39,9.98,82.69,3.46,19.15,228.68,220.60,43.16,42.65,20.60,43.16,184.35,188.53,184.41,5.67,0.00,0.00,50.53,66.54,30.85,30.70,30.59,0.00,76.77,87.36,50.53,110.32,203.40,19.44,20.27
7.00,65.71,29.98,67.20,594.68,193.65,9.09,9.95,110.48,19.21,2.04,0.00,12.00,142.44,5.13,2.82,164.07,84.35,132.84,38.27,45.00,242.00,17.28,4.20,6.70,87.77,0.00,6.39,9.98,79.65,3.46,18.44,228.68,220.60,20.60,20.60,0.00,27.06,184.35,188.53,184.41,5.67,0.00,0.00,50.53,66.54,30.85,30.70,30.59,0.00,76.77,87.36,31.10,110.32,203.40,19.44,20.27
8.00,65.71,29.98,67.20,594.68,193.65,9.09,9.95,110.48,19.21,2.04,0.00,12.00,142.44,5.13,2.82,164.07,112.47,132.84,38.27,45.00,242.00,17.28,4.20,6.70,87.77,0.00,6.39,9.98,16.46,3.46,3.81,228.68,220.60,0.00,20.60,55.52,20.60,184.35,188.53,184.41,5.67,0.00,0.00,50.53,66.54,30.85,30.70,30.59,0.00,76.77,87.36,31.10,110.32,203.40,19.44,20.27
9.00,65.71,29.98,67.20,594.68,193.65,9.09,9.95,110.48,19.21,2.04,0.00,12.00,142.44,5.13,2.82,164.07,112.47,132.84,44.10,45.00,242.00,17.28,4.20,6.70,87.77,0.00,6.39,9.98,4.63,3.46,0.00,228.68,220.60,26.78,0.00,67.74,20.60,184.35,188.53,184.41,5.67,0.00,0.00,50.53,66.54,30.85,30.70,30.59,0.00,76.77,87.36,46.89,110.32,203.40,19.44,20.27
10.00,65.71,29.98,67.20,594.68,193.65,9.09,9.95,110.48,19.21,2.04,0.00,12.00,142.44,5.13,2.82,164.07,112.47,132.84,44.10,45.00,242.00,17.28,4.20,6.70,87.77,0.00,6.39,9.98,47.04,3.46,10.89,228.68,220.60,50.08,49.89,20.60,20.60,184.35,197.33,184.41,5.67,0.00,0.00,50.53,66.54,30.85,30.70,30.59,0.00,76.77,87.36,41.43,110.32,203.40,19.44,20.27
