"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
1.00,5.79,21.95,8.86,14.00,4.20,6.30,9.80,17.61,3.54,0.40,3.40,5.00,13.11,12.75,17.75,0.00,9.00,3.04,46.79,7.50,10.08,13.38,5.00,17.67,17.67,17.84,17.84,1.40,11.23,16.55,61.22,3.54,27.00,17.84,16.68,46.13,16.41,2.29,0.60,17.84,17.84,17.84,1.20,126.41,11.78,19.44,8.10,10.70,7.55,16.05,1.20,4.02,4.37,18.90,0.54,1.00,64.81,75.91,3.15,5.03,41.29,74.16,147.72,0.10,2.00,52.25,84.18,11.00,73.22,22.00,0.18,0.00
2.00,3.12,21.79,6.94,14.00,4.20,6.30,9.80,17.61,3.54,0.40,3.40,5.00,10.20,11.27,17.75,0.00,9.00,3.07,49.46,7.50,10.08,13.38,5.00,17.67,17.67,17.84,17.84,1.40,9.50,16.10,59.43,3.54,27.00,17.84,16.68,41.64,16.41,0.00,0.60,17.84,17.84,17.84,1.20,128.97,11.78,19.44,8.10,10.70,7.55,16.05,1.20,3.36,3.65,18.90,0.39,1.00,61.99,72.42,2.86,4.80,33.07,70.20,147.20,0.10,2.00,49.42,78.44,11.00,66.95,22.00,0.14,0.00
3.00,0.94,21.79,5.27,14.00,4.20,6.30,9.80,17.61,3.54,0.40,3.40,5.00,6.72,9.30,17.75,0.00,9.00,3.10,50.50,7.50,10.08,13.38,5.00,17.67,17.67,17.84,17.84,1.40,6.88,15.43,56.79,3.54,27.00,17.84,16.68,20.66,16.41,0.00,0.60,17.84,17.84,17.84,1.20,130.92,11.78,19.44,8.10,10.70,7.55,16.05,1.20,3.02,3.15,18.90,0.34,1.00,59.87,70.23,2.61,4.42,21.04,64.73,145.38,0.10,2.00,34.59,57.21,11.00,55.98,22.00,0.10,0.00
4.00,0.57,21.95,3.44,14.00,4.20,6.30,9.80,17.61,3.54,0.40,3.40,5.00,3.82,6.32,17.75,0.00,9.00,3.13,51.01,7.50,10.08,13.38,5.00,17.67,17.67,17.84,17.84,1.40,3.91,14.59,53.30,3.54,27.00,17.84,16.68,8.60,16.41,0.00,0.60,17.84,17.84,17.84,1.20,131.68,11.78,19.44,8.10,10.70,7.55,16.05,1.20,2.79,2.73,18.90,0.23,1.00,59.35,68.75,2.38,3.98,11.33,60.67,142.96,0.10,2.00,17.09,26.01,11.00,34.15,22.00,0.07,0.00
5.00,0.38,21.86,1.86,14.00,4.20,6.30,9.80,17.61,3.54,0.40,3.40,5.00,2.01,3.28,17.75,0.00,9.00,2.67,49.44,7.50,10.08,13.38,5.00,17.67,17.67,17.84,17.84,1.40,1.89,14.06,51.15,3.54,27.00,17.84,16.68,3.45,16.41,0.00,0.60,17.84,17.84,17.84,1.20,128.47,11.78,19.44,8.10,10.70,7.55,16.05,1.20,3.09,2.89,18.90,0.08,1.00,58.02,68.00,2.04,3.39,4.68,58.54,137.47,0.00,2.00,7.69,7.49,11.00,12.86,22.00,0.03,0.00
6.00,0.07,21.69,0.44,14.00,4.20,6.30,9.80,17.61,3.54,0.40,3.40,5.00,0.52,0.93,17.75,0.00,9.00,2.09,47.41,8.00,10.08,13.38,5.00,17.67,17.67,17.84,17.84,1.40,0.50,13.49,48.73,3.54,27.00,17.84,16.68,1.62,16.41,0.00,0.60,17.84,17.84,17.84,1.20,122.61,11.78,19.44,8.10,10.70,7.55,16.05,1.20,3.48,3.15,18.90,0.04,1.00,53.72,66.11,1.68,2.74,1.76,57.30,124.80,0.00,2.00,2.30,2.30,11.00,4.80,22.00,0.02,0.00
7.00,0.00,21.92,0.00,14.00,4.20,6.30,9.80,17.61,3.54,0.40,3.40,5.00,0.06,0.07,17.75,0.00,9.00,1.81,45.02,8.00,10.08,13.38,5.00,17.67,17.67,17.84,17.84,1.40,0.01,12.81,46.10,3.54,27.00,17.84,16.68,0.27,16.41,0.01,0.60,17.84,17.84,17.84,1.20,115.86,11.78,19.44,8.10,10.70,7.55,16.05,1.20,3.62,3.10,18.90,0.00,1.00,48.42,63.83,1.50,2.43,0.18,56.15,109.83,0.00,2.00,0.20,0.39,11.00,0.84,22.00,0.00,0.00
8.00,0.00,21.73,0.00,14.00,4.20,6.30,9.80,17.61,3.54,0.40,3.40,5.00,0.00,0.00,17.75,0.00,9.00,1.65,42.51,8.00,10.08,13.38,5.00,17.67,17.67,17.84,17.84,1.40,0.00,12.01,43.23,3.54,27.00,17.84,16.68,0.00,16.41,0.00,0.60,17.84,17.84,17.84,1.20,102.20,11.78,19.44,8.10,10.70,7.55,16.05,1.20,3.67,2.95,18.90,0.00,1.00,45.12,61.55,1.38,2.23,0.00,53.71,91.76,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
9.00,0.00,21.96,0.00,14.00,4.20,6.30,9.80,17.61,3.54,0.40,3.40,5.00,0.00,0.00,17.75,0.00,9.00,1.78,39.47,8.00,10.08,13.38,5.00,17.67,17.67,17.84,17.84,1.40,0.00,11.19,39.73,3.54,27.00,17.84,16.68,0.00,16.41,0.00,0.60,17.84,17.84,17.84,1.20,86.15,11.78,19.44,8.10,10.70,7.55,16.05,1.20,3.66,3.00,18.90,0.00,1.00,42.42,59.16,1.29,2.02,0.00,50.66,72.60,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
10.00,0.00,21.91,0.00,14.00,4.20,6.30,9.80,17.61,3.54,0.40,3.40,5.00,0.00,0.00,17.75,0.00,9.00,1.86,37.34,8.00,10.08,13.38,5.00,17.67,17.67,17.84,17.84,1.40,0.00,10.43,35.62,3.54,27.00,17.84,16.68,0.00,16.41,0.00,0.60,17.84,17.84,17.84,1.20,70.50,11.78,19.44,8.10,10.70,7.55,16.05,1.20,3.42,3.03,18.90,0.00,1.00,38.30,55.50,1.21,1.80,0.00,48.10,57.80,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
