"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
1.00,0.00,23.92,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.00,17.49,0.00,8.80,2.00,5.00,6.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,3.38,6.71,3.20,25.60,19.44,18.17,0.00,17.88,0.00,0.00,19.44,19.44,19.44,1.20,10.00,12.83,19.44,8.00,10.70,0.00,17.49,2.40,3.18,3.68,18.90,0.00,1.00,7.32,13.04,0.89,0.39,0.00,17.71,5.00,0.00,2.00,0.00,0.00,5.00,0.00,22.00,0.00,0.00
2.00,0.00,23.88,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.00,17.49,0.00,8.80,1.36,4.17,5.20,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,4.55,12.17,3.20,25.50,19.44,18.17,0.00,17.88,0.00,0.00,19.44,19.44,19.44,1.20,13.22,12.83,19.44,8.00,10.70,0.00,17.49,2.40,3.90,3.96,18.90,0.00,1.00,8.14,16.34,0.27,0.30,0.00,17.39,7.44,0.00,2.00,0.00,0.00,5.00,0.00,22.00,0.00,0.00
3.00,0.00,23.90,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.00,17.49,0.00,8.80,1.77,3.21,5.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,4.65,11.96,3.20,25.60,19.44,18.17,0.00,17.88,0.00,0.00,19.44,19.44,19.44,1.20,10.17,12.83,19.44,8.00,10.70,0.00,17.49,2.40,3.51,3.61,18.90,0.00,1.00,7.36,15.35,0.21,0.28,0.00,18.97,4.76,0.00,2.00,0.00,0.00,5.00,0.00,22.00,0.00,0.00
4.00,0.00,23.79,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.00,17.49,0.00,8.80,2.80,2.46,4.90,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,4.80,12.46,3.20,25.20,19.44,18.17,0.00,17.88,0.00,0.00,19.44,19.44,19.44,1.20,6.14,12.83,19.44,8.00,10.70,0.00,17.49,2.40,3.33,3.34,18.90,0.00,1.00,7.45,15.43,0.17,0.22,0.00,20.22,2.80,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
5.00,0.00,23.21,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.00,17.49,0.00,8.80,3.71,1.89,4.90,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,4.95,12.72,3.20,25.70,19.44,18.17,0.00,17.88,0.00,0.00,19.44,19.44,19.44,1.20,3.00,12.83,19.44,8.00,10.70,0.00,17.49,2.40,3.14,3.10,18.90,0.00,1.00,7.33,15.18,0.14,0.16,0.00,20.36,1.48,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
6.00,0.00,23.21,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.00,17.49,0.00,8.80,4.25,1.85,4.90,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,5.14,12.26,3.20,25.90,19.44,18.17,0.00,17.88,0.00,0.00,19.44,19.44,19.44,1.20,2.50,12.83,19.44,8.00,10.70,0.00,17.49,2.40,2.92,2.94,18.90,0.00,1.00,6.60,13.92,0.14,0.14,0.00,17.18,2.08,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
7.00,0.00,23.09,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.00,17.49,0.00,8.80,4.88,1.94,4.90,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,5.23,11.79,3.20,25.90,19.44,18.17,0.00,17.88,0.00,0.00,19.44,19.44,19.44,1.20,2.30,12.83,19.44,8.00,10.70,0.00,17.49,2.40,2.71,2.74,18.90,0.00,1.00,5.93,12.79,0.13,0.12,0.00,15.05,2.31,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
8.00,0.00,23.15,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.00,17.49,0.00,8.80,5.77,2.45,4.90,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,5.04,11.31,3.20,25.80,19.44,18.17,0.00,17.88,0.00,0.00,19.44,19.44,19.44,1.20,3.02,12.83,19.44,8.00,10.70,0.00,17.49,2.40,2.50,2.43,18.90,0.00,1.00,5.46,12.02,0.07,0.10,0.00,16.11,1.43,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
9.00,0.00,23.07,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.00,17.49,0.00,8.80,6.77,2.74,4.90,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,4.89,10.85,3.20,25.80,19.44,18.17,0.00,17.88,0.00,0.00,19.44,19.44,19.44,1.20,3.35,12.83,19.44,8.00,10.70,0.00,17.49,2.40,2.30,2.14,18.90,0.00,1.00,5.32,11.77,0.03,0.09,0.00,16.91,0.81,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
10.00,0.00,23.25,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.00,17.49,0.00,8.80,8.11,2.37,8.10,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,4.89,10.42,3.20,25.70,19.44,18.17,0.00,17.88,0.00,0.00,19.44,19.44,19.44,1.20,2.49,12.83,19.44,8.00,10.70,0.00,17.49,2.40,2.12,1.93,18.90,0.00,1.00,6.16,13.07,0.03,0.08,0.00,16.95,0.97,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.10
