"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2"
1.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,67.14,9.72,19.79,228.68,228.42,66.78,66.48,41.99,66.60,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,54.97,55.03,110.37,110.32,203.40,19.42,20.20,22.80,22.58
2.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,70.28,9.72,19.79,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,54.97,55.03,110.37,110.32,203.40,19.42,20.20,22.80,22.58
3.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,95.53,9.72,19.79,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,54.97,55.03,110.37,110.32,203.40,19.42,20.20,22.80,22.58
4.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,95.14,9.72,19.79,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,54.97,55.03,110.37,110.32,203.40,19.42,20.20,22.80,22.58
5.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,63.32,9.72,19.79,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.42,20.20,22.80,22.58
6.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,58.68,9.72,19.79,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.42,20.20,22.80,22.58
7.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,54.16,9.72,19.79,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
8.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,59.36,9.72,19.79,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
9.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,69.81,9.72,19.79,228.68,228.42,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
10.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,93.36,9.72,19.79,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
11.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,95.55,9.72,19.79,228.68,228.42,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
12.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,95.54,9.72,19.79,228.68,228.42,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
13.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,92.11,9.72,19.79,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
14.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,95.07,9.72,19.79,228.68,228.42,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
15.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,75.69,9.72,19.79,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
16.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,3.78,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,46.33,9.72,19.79,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
17.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,4.79,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,42.64,9.72,18.94,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
18.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,4.79,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,78.98,9.72,19.79,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
19.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,4.79,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,86.35,9.72,19.79,228.68,228.42,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
20.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,4.79,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,95.06,9.72,19.79,228.68,228.42,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
21.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,4.79,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,86.51,9.72,19.79,228.68,228.42,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
22.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,4.79,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,87.28,9.72,19.79,228.68,228.42,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
23.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,4.79,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,80.41,9.72,19.79,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
24.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,4.79,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,77.98,9.72,19.79,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
25.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,4.79,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,49.63,9.72,19.79,228.68,228.42,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
26.00,78.57,0.00,67.20,627.79,204.43,4.07,4.27,110.48,19.21,4.79,41.90,0.00,142.44,7.63,4.19,164.07,112.47,126.85,47.08,242.00,17.01,3.87,6.88,87.77,0.00,6.39,9.98,93.83,9.72,19.79,228.68,228.42,67.57,67.16,42.76,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
