"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
1.00,14.70,23.70,6.57,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,10.24,14.33,17.49,0.00,8.00,7.60,34.60,7.50,9.80,15.16,5.00,19.24,19.24,19.44,19.44,1.40,9.90,17.40,61.40,3.10,27.00,19.44,18.46,37.90,17.88,4.40,0.00,19.44,19.44,19.44,2.40,54.00,12.83,19.44,8.00,10.60,7.39,0.00,2.40,11.50,11.60,18.90,0.77,1.00,85.40,57.38,10.20,5.16,31.90,81.40,54.00,0.30,2.00,51.10,80.30,11.00,64.50,22.00,0.29,13.80
2.00,13.53,23.94,5.32,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,8.95,12.83,17.49,0.00,8.00,7.40,35.70,7.50,9.80,15.16,5.00,19.24,19.24,19.44,19.44,1.40,8.37,18.40,62.40,3.10,27.00,19.44,18.46,31.40,17.88,3.40,0.00,19.44,19.44,19.44,2.40,69.00,12.83,19.44,8.00,10.60,7.39,0.00,2.40,10.60,10.50,18.90,0.65,1.00,89.30,60.78,10.50,5.53,25.20,83.60,69.00,0.20,2.00,47.50,72.30,11.00,60.80,22.00,0.26,10.06
3.00,11.61,23.82,4.20,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,7.33,11.25,17.49,0.00,8.00,7.20,36.20,7.50,9.80,15.16,5.00,19.24,19.24,19.44,19.44,1.40,6.59,19.40,62.60,3.10,27.00,19.44,18.46,25.00,17.88,2.70,0.00,19.44,19.44,19.44,2.40,83.00,12.83,19.44,8.00,10.60,7.39,0.00,2.40,9.80,9.50,18.90,0.63,1.00,89.90,64.08,10.50,5.52,19.70,85.50,83.00,0.20,2.00,36.10,63.70,11.00,50.00,22.00,0.24,6.32
4.00,8.86,23.87,3.32,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,5.41,9.84,17.49,0.00,8.00,6.80,36.60,7.50,9.80,15.16,5.00,19.24,19.24,19.44,19.44,1.40,4.88,19.50,62.70,3.10,27.00,19.44,18.46,20.00,17.88,2.10,0.00,19.44,19.44,19.44,2.40,94.00,12.83,19.44,8.00,10.60,7.39,0.00,2.40,9.20,8.40,18.90,0.59,1.00,90.20,67.35,10.40,5.38,15.40,86.40,94.00,0.10,2.00,29.80,53.50,11.00,36.90,22.00,0.20,5.01
5.00,6.12,24.05,2.49,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,3.63,8.13,17.49,0.00,8.00,6.30,37.10,7.50,9.80,15.16,5.00,19.24,19.24,19.44,19.44,1.40,3.73,19.20,62.50,3.10,27.00,19.44,18.46,16.80,17.88,1.50,0.00,19.44,19.44,19.44,2.40,103.00,12.83,0.00,8.00,10.60,7.39,0.00,2.40,8.70,7.40,18.90,0.50,1.00,89.30,68.44,10.20,5.34,13.10,86.90,103.00,0.10,2.00,24.00,45.20,11.00,31.20,22.00,0.16,3.70
6.00,3.01,23.94,1.63,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,1.79,6.63,17.49,0.00,8.00,5.90,37.30,7.50,9.80,15.16,5.00,19.24,19.24,19.44,19.44,1.40,2.99,19.40,62.30,3.10,27.00,19.44,18.46,12.20,17.88,0.80,0.00,19.44,19.44,19.44,2.40,107.00,12.83,0.00,8.00,10.60,7.39,0.00,2.40,7.80,6.20,18.90,0.36,1.00,87.70,68.81,10.00,5.33,10.50,86.90,107.00,0.10,2.00,16.50,29.70,11.00,24.50,22.00,0.13,4.37
7.00,0.96,23.88,1.04,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,0.43,5.23,17.49,0.00,8.00,5.50,37.00,7.50,9.80,15.16,5.00,19.24,19.24,19.44,19.44,1.40,2.34,19.60,62.00,3.10,27.00,19.44,18.46,6.50,17.88,0.30,0.00,19.44,19.44,19.44,2.40,113.00,12.83,0.00,8.00,10.60,7.39,0.00,2.40,6.70,5.00,18.90,0.31,1.00,83.90,69.60,9.70,5.10,5.70,86.70,113.00,0.10,2.00,9.20,16.40,11.00,13.60,22.00,0.09,5.04
8.00,0.13,23.81,0.64,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,0.02,3.17,17.49,0.00,8.00,5.10,36.60,7.50,9.80,15.16,5.00,19.24,19.24,19.44,19.44,1.40,1.38,19.60,61.40,3.10,27.00,19.44,18.46,2.40,17.88,0.10,0.00,19.44,19.44,19.44,2.40,119.00,12.83,0.00,8.00,10.60,7.39,0.00,2.40,5.40,4.00,18.90,0.22,1.00,80.90,70.53,9.30,4.80,2.10,86.70,119.00,0.10,2.00,4.10,8.40,11.00,5.20,22.00,0.06,3.89
9.00,0.00,23.78,0.17,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,0.00,1.23,17.49,0.00,8.00,4.60,35.80,7.50,9.80,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.47,19.60,60.70,3.10,27.00,19.44,18.46,0.70,17.88,0.00,0.00,19.44,19.44,19.44,2.40,121.00,12.83,0.00,8.00,10.60,7.39,0.00,2.40,4.10,3.10,18.90,0.07,1.00,80.50,71.47,8.80,4.39,0.60,86.90,121.00,0.00,2.00,1.40,2.80,11.00,1.60,22.00,0.03,2.74
10.00,0.00,23.84,0.02,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,0.00,0.41,17.49,0.00,8.00,4.10,35.00,8.00,9.80,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.12,19.30,59.30,3.10,27.00,19.44,18.46,0.00,17.88,0.00,0.00,19.44,19.44,19.44,2.40,119.00,12.83,0.00,8.00,10.60,7.39,0.00,2.40,3.00,2.30,18.90,0.04,1.00,80.10,72.41,8.20,3.95,0.00,86.50,119.00,0.00,2.00,0.10,0.20,11.00,0.00,22.00,0.02,1.50
