"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2"
1.00,78.57,29.98,67.20,627.79,204.43,4.07,4.27,110.48,19.21,2.04,41.90,0.00,142.44,5.13,2.82,164.07,112.47,132.84,29.33,242.00,30.30,4.22,6.88,87.77,0.00,6.39,9.98,0.00,9.80,3.96,228.68,228.42,20.60,0.00,48.50,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
2.00,78.57,29.98,67.20,627.79,204.43,4.07,4.27,110.48,19.21,2.04,41.90,0.00,142.44,5.13,2.82,164.07,112.47,132.84,6.70,242.00,30.30,4.22,6.88,87.77,0.00,6.39,9.98,0.00,9.80,3.96,228.68,228.42,20.60,0.00,48.50,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
3.00,78.57,29.98,67.20,627.79,204.43,4.07,4.27,110.48,19.21,2.04,41.90,0.00,142.44,5.13,2.82,164.07,112.47,132.84,0.00,242.00,30.30,4.22,6.88,87.77,0.00,6.39,9.98,0.00,9.80,3.96,228.68,228.42,20.60,0.00,45.92,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,62.44,62.54,110.37,110.32,203.40,19.44,20.27,22.80,22.58
4.00,78.57,29.98,67.20,627.79,204.43,4.07,4.27,110.48,19.21,2.04,41.90,0.00,142.44,5.13,2.82,164.07,112.47,132.84,0.00,242.00,30.30,4.22,6.88,87.77,0.00,6.39,9.98,0.00,9.80,3.96,228.68,228.42,20.60,0.00,20.60,0.00,184.35,197.33,184.41,5.67,74.99,76.38,59.28,66.54,81.64,30.70,30.59,30.58,68.28,0.00,110.37,110.32,203.40,19.44,20.27,22.80,22.58
5.00,78.57,29.98,67.20,627.79,204.43,4.07,4.27,110.48,19.21,2.04,41.90,0.00,142.44,5.13,2.82,164.07,112.47,132.84,0.00,242.00,30.30,4.22,6.88,87.77,0.00,6.39,9.98,0.00,9.80,3.96,228.68,228.42,20.60,0.00,53.05,0.00,184.35,197.33,184.41,5.67,74.99,76.38,61.89,61.38,81.64,30.70,30.59,30.58,64.23,0.00,110.37,110.32,203.40,19.44,20.27,22.80,22.58
6.00,78.57,29.98,67.20,627.79,204.43,4.07,4.27,110.48,19.21,2.04,41.90,0.00,142.44,5.13,2.82,164.07,112.47,132.84,0.00,242.00,30.30,4.22,6.88,87.77,0.00,6.39,9.98,0.00,9.80,3.96,228.68,228.42,20.60,0.00,54.96,0.00,184.35,197.33,184.41,5.67,74.99,76.38,60.18,60.09,81.64,30.70,30.59,30.58,61.22,0.00,110.37,110.32,203.40,19.44,20.27,22.80,22.58
7.00,78.57,29.98,67.20,627.79,204.43,4.07,4.27,110.48,19.21,2.04,41.90,0.00,142.44,5.13,2.82,164.07,112.47,132.84,0.00,242.00,30.30,4.22,6.88,87.77,0.00,6.39,9.98,0.00,9.80,3.96,228.68,228.42,20.60,0.00,38.07,0.00,184.35,197.33,184.41,5.67,74.99,76.38,61.32,60.66,81.64,30.70,30.59,30.58,0.00,59.34,110.37,110.32,203.40,19.44,20.27,22.80,22.58
8.00,78.57,29.98,67.20,627.79,204.43,4.07,4.27,110.48,19.21,2.04,41.90,0.00,142.44,5.13,2.82,164.07,112.47,132.84,0.00,242.00,30.30,4.22,6.88,87.77,0.00,6.39,9.98,0.00,9.80,3.96,228.68,228.42,20.60,0.00,38.18,0.00,184.35,197.33,184.41,5.67,74.99,76.38,61.38,60.74,81.64,30.70,30.59,30.58,0.00,58.72,110.37,110.32,203.40,19.44,20.27,22.80,22.58
9.00,78.57,29.98,67.20,627.79,204.43,4.07,4.27,110.48,19.21,2.04,41.90,0.00,142.44,5.13,2.82,164.07,112.47,132.84,0.00,242.00,30.30,4.22,6.88,87.77,0.00,6.39,9.98,0.00,9.80,3.96,228.68,228.42,20.60,0.00,40.32,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,70.84,0.00,110.37,110.32,203.40,19.44,20.27,22.80,22.58
10.00,78.57,29.98,67.20,627.79,204.43,4.07,4.27,110.48,19.21,2.04,41.90,0.00,142.44,5.13,2.82,164.07,112.47,132.84,0.00,242.00,30.30,4.22,6.88,87.77,0.00,6.39,9.98,0.00,9.80,3.96,228.68,228.42,20.60,0.00,40.27,0.00,184.35,197.33,184.41,5.67,74.99,76.38,64.49,64.33,81.64,30.70,30.59,30.58,34.04,34.05,110.37,110.32,203.40,19.44,20.27,22.80,22.58
11.00,78.57,29.98,67.20,627.79,204.43,4.07,4.27,110.48,19.21,2.04,41.90,0.00,142.44,5.13,2.82,164.07,112.47,132.84,4.12,242.00,30.30,4.22,6.88,87.77,0.00,6.39,9.98,0.00,9.80,3.96,228.68,228.42,20.60,0.00,20.60,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,76.06,76.20,110.37,110.32,203.40,19.44,20.27,22.80,22.58
12.00,78.57,29.98,67.20,627.79,204.43,4.07,4.27,110.48,19.21,2.04,41.90,0.00,142.44,5.13,2.82,164.07,112.47,132.84,4.12,242.00,30.30,4.22,6.88,87.77,0.00,6.39,9.98,0.00,9.80,3.96,228.68,228.42,20.60,0.00,20.60,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,76.79,76.93,110.37,110.32,203.40,19.44,20.27,22.80,22.58
