"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2"
1.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.80,0.00,142.44,7.39,4.06,164.07,112.47,84.09,47.08,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,14.00,10.52,7.43,228.68,228.42,0.00,57.43,58.13,25.22,184.35,197.33,184.41,5.67,74.99,76.38,57.34,66.54,81.64,30.70,30.59,30.58,72.89,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
2.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.80,0.00,142.44,7.39,4.06,164.07,112.47,84.09,47.08,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,4.63,10.52,5.26,228.68,228.42,0.00,30.32,21.51,21.62,184.35,197.33,184.41,5.67,74.99,76.38,54.85,63.97,81.64,30.70,30.59,30.58,72.89,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
3.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.80,0.00,142.44,7.39,4.06,164.07,112.47,84.09,47.08,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,4.63,10.52,5.26,228.68,228.42,0.00,0.00,20.60,20.60,184.35,197.33,184.41,5.67,74.99,76.38,50.91,57.22,81.64,30.70,30.59,30.58,72.14,77.12,110.37,110.32,203.40,19.44,20.27,22.80,22.58
4.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.80,0.00,142.44,7.39,4.06,164.07,112.47,84.09,47.08,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,4.63,10.52,5.26,228.68,228.42,0.00,0.00,20.60,0.00,184.35,197.33,184.41,5.67,74.99,76.38,50.58,57.55,81.64,30.70,30.59,30.58,77.50,64.11,110.37,110.32,203.40,19.44,20.27,22.80,22.58
5.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.80,0.00,142.44,7.39,4.06,164.07,112.47,132.84,47.08,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,4.63,10.52,5.26,228.68,228.42,0.00,0.00,20.60,0.00,184.35,197.33,184.41,5.67,74.99,76.38,47.80,55.52,81.64,30.70,30.59,30.58,70.86,59.16,110.37,110.32,203.40,19.44,20.27,22.80,22.58
6.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.80,0.00,142.44,7.39,4.06,164.07,112.47,132.84,47.08,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,4.63,10.52,5.26,228.68,228.42,0.00,0.00,27.92,0.00,184.35,197.33,184.41,5.67,74.99,76.38,52.06,60.88,81.64,30.70,30.59,30.58,67.96,82.17,110.37,110.32,203.40,19.44,20.27,22.80,22.58
7.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.80,0.00,142.44,7.39,4.06,164.07,112.47,132.84,47.08,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,24.37,10.52,9.83,228.68,228.42,0.00,63.47,62.32,25.66,184.35,197.33,184.41,5.67,74.99,76.38,57.34,66.54,81.64,30.70,30.59,30.58,72.89,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
8.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.80,0.00,142.44,7.39,4.06,164.07,112.47,132.84,18.00,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,27.57,10.52,10.57,228.68,228.42,0.00,25.30,64.44,63.90,184.35,197.33,184.41,5.67,74.99,76.38,57.34,66.54,81.64,30.70,30.59,30.58,72.89,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
9.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.80,0.00,142.44,7.39,4.06,164.07,112.47,132.84,25.42,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,54.71,10.52,16.85,228.68,228.42,0.00,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,57.34,66.54,81.64,30.70,30.59,30.58,72.89,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
10.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.80,0.00,142.44,7.39,4.06,164.07,112.47,132.84,29.70,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,49.20,10.52,15.58,228.68,228.42,0.00,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,57.34,66.54,81.64,30.70,30.59,30.58,72.89,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
11.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.80,0.00,142.44,7.39,4.06,164.07,112.47,132.84,47.08,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,32.89,10.52,11.80,228.68,228.42,0.00,64.30,65.07,26.22,184.35,197.33,184.41,5.67,74.99,76.38,57.34,66.54,81.64,30.70,30.59,30.58,72.89,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
12.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.80,0.00,142.44,7.39,4.06,164.07,112.47,132.84,47.08,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,93.48,10.52,19.79,228.68,228.42,0.00,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,57.34,66.54,81.64,30.70,30.59,30.58,72.89,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
13.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,132.84,19.59,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,65.39,10.52,19.32,228.68,228.42,64.85,64.44,65.22,26.40,184.35,197.33,184.41,5.67,74.99,76.38,57.34,66.54,81.64,30.70,30.59,30.58,72.89,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
14.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,132.84,47.08,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,4.63,10.52,5.26,228.68,228.42,23.68,23.67,23.87,23.87,184.35,197.33,184.41,5.67,74.99,76.38,52.91,61.85,81.64,30.70,30.59,30.58,65.79,79.68,110.37,110.32,203.40,19.44,20.27,22.80,22.58
15.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,132.84,47.08,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,4.63,10.52,5.26,228.68,228.42,20.60,20.60,20.60,20.60,184.35,197.33,184.41,5.67,74.99,76.38,47.80,55.53,81.64,30.70,30.59,30.58,65.26,71.34,110.37,110.32,203.40,19.44,20.27,22.80,22.58
16.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,132.84,47.08,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,59.47,10.52,17.95,228.68,228.42,54.52,54.19,27.86,54.38,184.35,197.33,184.41,5.67,74.99,76.38,57.34,66.54,81.64,30.70,30.59,30.58,72.89,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
17.00,78.57,29.98,67.20,627.79,204.43,4.08,4.28,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,132.84,47.08,242.00,33.00,5.06,6.88,87.77,0.00,6.39,9.98,78.98,10.52,19.79,228.68,228.42,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,57.34,66.54,81.64,30.70,30.59,30.58,72.89,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
