"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2"
1.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,4.63,10.52,3.86,228.68,228.42,0.00,0.00,0.00,23.31,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,0.00,60.19,110.37,110.32,203.40,19.44,20.27,22.16,21.95
2.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,4.63,10.52,3.86,228.68,228.42,0.00,0.00,0.00,21.02,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,36.82,34.37,110.37,110.32,203.40,19.44,20.27,22.16,21.95
3.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,16.00,6.39,9.98,12.56,10.52,5.70,228.68,228.42,0.00,67.16,0.00,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
4.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,16.00,6.39,9.98,7.75,10.52,4.58,228.68,228.42,64.65,64.24,0.00,22.29,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
5.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,26.00,6.39,9.98,4.63,10.52,3.86,228.68,228.42,25.27,24.76,0.00,24.79,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,59.52,83.75,110.37,110.32,203.40,19.44,20.27,22.16,21.95
6.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,26.00,6.39,9.98,6.27,10.52,4.24,228.68,228.42,62.05,21.56,0.00,63.60,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
7.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,62.61,10.52,17.29,228.68,228.42,67.57,67.16,0.00,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
8.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,43.34,10.52,12.82,228.68,228.42,67.57,67.16,0.00,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
9.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,89.10,10.52,19.79,228.68,228.42,67.57,67.16,0.00,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
10.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,91.92,10.52,19.79,228.68,228.42,67.57,67.16,0.00,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
11.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,4.63,10.52,3.86,228.68,228.42,47.46,59.26,0.00,22.02,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
12.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,4.63,10.52,3.86,228.68,228.42,43.64,21.49,0.00,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
13.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,4.63,10.52,3.86,228.68,228.42,24.72,40.93,0.00,21.77,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
14.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,43.39,10.52,12.84,228.68,228.42,67.57,22.35,0.00,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
15.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,94.46,10.52,19.79,228.68,228.42,67.57,67.16,0.00,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
16.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,58.85,10.52,16.42,228.68,228.42,67.57,67.16,0.00,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
17.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,86.77,10.52,19.79,228.68,228.42,67.57,67.16,0.00,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
18.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,90.32,10.52,19.79,228.68,228.42,67.57,67.16,0.00,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
19.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,24.28,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,30.79,10.52,9.92,228.68,228.42,67.57,67.16,0.00,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
20.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,81.04,10.52,19.79,228.68,228.42,67.57,67.16,0.00,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
21.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,82.45,10.52,19.79,228.68,228.42,67.57,67.16,67.94,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
22.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,7.28,10.52,4.47,228.68,228.42,40.63,21.49,40.73,40.58,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,62.76,86.95,110.37,110.32,203.40,19.44,20.27,22.16,21.95
23.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,10.16,10.52,5.14,228.68,228.42,53.64,36.29,0.00,36.71,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
24.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,30.46,10.52,9.84,228.68,228.42,44.80,44.63,44.95,22.01,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
25.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,45.08,10.52,13.23,228.68,228.42,50.45,31.36,50.69,46.47,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
26.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.97,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,52.23,10.52,14.88,228.68,228.42,53.89,60.19,54.18,22.05,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
27.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,22.30,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,46.23,10.52,13.49,228.68,228.42,52.84,52.54,53.11,22.04,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
28.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,36.00,6.39,9.98,47.71,10.52,13.83,228.68,228.42,51.28,21.51,51.53,59.20,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,87.20,63.17,110.37,110.32,203.40,19.44,20.27,22.16,21.95
29.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,25.42,242.00,32.83,5.06,6.88,87.77,26.00,6.39,9.98,27.86,10.52,9.24,228.68,228.42,43.93,21.49,44.08,43.87,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
30.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.32,242.00,32.83,5.06,6.88,87.77,26.00,6.39,9.98,30.13,10.52,9.77,228.68,228.42,45.95,45.76,46.13,22.01,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
31.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,16.00,6.39,9.98,65.48,10.52,17.95,228.68,228.42,67.57,67.16,67.94,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
32.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,16.00,6.39,9.98,53.23,10.52,15.11,228.68,228.42,63.74,63.34,64.11,22.23,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
33.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,28.83,10.52,9.46,228.68,228.42,42.77,42.63,0.00,22.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
34.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,110.48,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,18.00,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,4.63,10.52,3.86,228.68,228.42,0.00,21.67,0.00,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,36.38,36.38,110.37,110.32,203.40,19.44,20.27,22.16,21.95
