"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2"
1.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,0.00,228.68,228.42,0.00,0.00,0.00,20.87,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,39.84,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
2.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,0.00,228.68,228.42,0.00,20.87,0.00,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,39.84,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
3.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,0.00,228.68,228.42,0.00,20.87,0.00,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,39.84,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
4.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,0.00,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,0.00,228.68,228.42,46.63,46.45,0.00,22.01,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,39.84,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
5.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,19.60,10.52,7.33,228.68,228.42,49.90,49.66,0.00,22.03,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
6.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,45.00,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,24.54,10.52,8.47,228.68,228.42,51.93,21.51,0.00,51.80,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
7.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,28.27,10.52,9.33,228.68,228.42,53.67,53.34,0.00,22.05,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
8.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,55.41,10.52,15.62,228.68,228.42,67.57,67.16,0.00,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
9.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,72.07,10.52,19.48,228.68,228.42,67.57,67.16,0.00,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
10.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,61.52,10.52,17.03,228.68,228.42,67.57,67.16,0.00,23.32,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
11.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,31.85,10.52,10.16,228.68,228.42,58.47,58.11,0.00,22.09,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
12.00,78.57,29.98,67.20,627.79,204.43,7.22,4.07,87.32,19.21,4.79,41.90,0.00,142.44,7.39,4.06,164.07,112.47,84.07,47.08,242.00,32.83,5.06,6.88,87.77,0.00,6.39,9.98,24.82,10.52,8.54,228.68,228.42,60.41,21.54,0.00,60.24,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,70.12,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.16,21.95
