"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
1.00,11.98,23.58,10.53,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,16.76,15.60,17.49,0.00,8.00,1.80,11.70,6.30,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,13.73,10.97,32.11,3.40,24.70,19.44,18.46,50.00,17.93,23.37,0.60,19.44,19.44,19.44,2.40,1.80,12.83,19.44,8.00,10.70,6.76,20.00,2.40,6.57,9.29,18.90,0.62,2.00,20.00,30.00,4.60,1.93,35.00,59.01,1.80,0.20,2.00,20.00,65.00,11.00,55.00,22.00,0.24,23.95
2.00,13.61,23.61,11.58,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,17.31,15.96,17.49,0.00,8.00,1.90,14.90,6.30,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,13.81,12.25,35.86,3.40,24.50,19.44,18.46,60.00,17.93,22.61,0.60,19.44,19.44,19.44,2.40,2.50,12.83,19.44,8.00,10.70,6.76,20.00,2.40,7.68,9.95,18.90,0.70,2.00,25.00,35.00,5.60,2.61,40.00,62.32,2.50,0.30,2.00,20.00,70.00,11.00,62.00,22.00,0.26,25.29
3.00,15.09,23.93,12.46,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,17.95,16.18,17.49,0.00,8.00,2.20,18.40,6.30,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,13.73,13.39,40.23,3.40,24.40,19.44,18.46,62.00,17.93,21.40,0.60,19.44,19.44,19.44,2.40,5.50,12.83,19.44,8.00,10.70,6.76,20.00,2.40,8.52,10.54,18.90,0.76,2.00,32.00,42.00,6.30,3.35,42.00,66.55,5.50,0.30,2.00,20.00,80.00,11.00,65.00,22.00,0.29,25.26
4.00,16.07,23.49,12.69,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,18.36,16.23,17.49,0.00,8.00,3.00,22.30,6.30,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,13.14,14.49,44.80,3.40,24.50,19.44,18.46,63.00,17.93,19.65,0.60,19.44,19.44,19.44,2.40,15.50,12.83,19.44,8.00,10.70,6.76,20.00,2.40,9.27,11.11,18.90,0.78,2.00,45.00,50.00,6.70,4.11,48.00,71.09,15.50,0.30,2.00,20.00,90.00,11.00,75.00,22.00,0.30,23.05
5.00,16.60,23.78,11.97,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,18.25,16.12,17.49,0.00,8.00,3.80,26.30,6.30,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,12.08,15.31,48.03,3.40,24.50,19.44,18.46,62.00,17.93,16.85,0.60,19.44,19.44,19.44,2.40,27.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,9.61,11.32,18.90,0.77,2.00,50.00,58.00,6.80,4.38,52.00,72.76,27.00,0.40,2.00,20.00,90.00,11.00,80.00,22.00,0.32,18.95
6.00,16.69,23.58,11.20,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,17.59,15.86,17.49,0.00,8.00,4.70,30.50,6.30,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,11.43,16.04,50.80,3.40,24.40,19.44,18.46,60.10,17.93,14.05,0.60,19.44,19.44,19.44,2.40,35.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,9.80,11.41,18.90,0.78,2.00,55.00,62.00,7.60,4.49,55.00,73.48,35.00,0.40,2.00,20.00,86.00,11.00,82.00,22.00,0.32,12.61
7.00,16.39,23.71,10.22,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,16.15,15.32,17.49,0.00,8.00,5.50,34.80,6.30,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,10.66,17.14,54.27,3.40,24.20,19.44,18.46,57.13,17.93,11.41,0.60,19.44,19.44,19.44,2.40,44.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,10.41,11.87,18.90,0.77,2.00,60.00,65.00,8.50,5.16,54.00,73.37,44.00,0.40,2.00,20.00,85.00,11.00,85.00,22.00,0.32,19.40
8.00,15.85,23.65,8.42,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,15.45,14.49,17.49,0.00,8.00,5.70,35.30,4.20,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,9.65,18.37,57.98,3.40,24.10,19.44,18.46,50.36,17.93,8.81,0.60,19.44,19.44,19.44,2.40,54.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,11.15,12.45,18.90,0.77,2.00,68.00,72.00,9.10,6.01,53.00,72.98,54.00,0.40,2.00,20.00,90.00,11.00,90.00,22.00,0.31,15.75
9.00,14.82,23.61,6.72,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,15.73,13.66,17.49,0.00,8.00,5.60,34.50,4.20,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,8.33,18.80,59.14,3.40,23.80,19.44,18.46,44.70,17.93,6.45,0.60,19.44,19.44,19.44,2.40,67.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,11.38,12.44,18.90,0.77,2.00,70.00,78.00,9.70,6.28,52.00,73.65,67.00,0.30,2.00,20.00,92.00,11.00,88.00,22.00,0.30,13.03
10.00,13.04,23.49,6.05,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,15.56,13.47,17.49,0.00,8.00,5.50,36.10,3.90,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,7.92,18.96,59.45,3.40,23.70,19.44,18.46,35.71,17.93,4.83,0.60,19.44,19.44,19.44,2.40,83.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,11.45,12.22,18.90,0.65,2.00,75.00,80.00,9.80,6.35,50.00,74.69,83.00,0.20,2.00,20.00,90.00,11.00,85.00,22.00,0.27,13.45
11.00,10.70,23.64,5.30,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,14.62,13.21,17.49,0.00,8.00,5.30,38.40,3.60,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,7.63,18.72,58.74,3.40,23.50,19.44,18.46,26.84,17.93,3.65,0.60,19.44,19.44,19.44,2.40,96.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,10.83,11.63,19.00,0.63,2.00,80.80,82.00,9.70,6.15,48.24,74.65,96.00,0.20,2.00,20.00,88.00,11.00,75.00,22.00,0.24,10.43
12.00,8.06,23.78,3.48,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,13.24,12.12,17.49,0.00,8.00,5.10,38.60,3.60,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,6.77,18.35,57.69,3.40,23.30,19.44,18.46,21.05,17.93,2.78,0.60,19.44,19.44,19.44,2.40,105.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,9.98,10.93,19.00,0.59,2.00,79.40,85.00,9.30,5.85,46.08,74.25,105.00,0.10,2.00,20.00,75.00,11.00,69.60,22.00,0.20,5.12
13.00,5.23,23.81,2.03,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,11.10,10.53,17.49,0.00,8.00,4.80,37.90,3.60,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,5.69,18.24,56.83,3.40,23.30,19.44,18.46,18.01,17.93,2.02,0.60,19.44,19.44,19.44,2.40,112.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,9.07,9.80,18.90,0.50,2.00,76.30,83.80,8.70,5.41,42.48,74.48,112.00,0.10,2.00,20.00,66.50,11.00,51.10,22.00,0.16,8.38
14.00,2.69,23.63,1.32,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,8.68,8.08,17.49,0.00,8.00,4.30,36.50,4.20,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,3.66,18.22,56.04,3.40,23.30,19.44,18.46,13.87,17.93,1.35,0.60,19.44,19.44,19.44,2.40,116.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,8.15,8.52,18.90,0.36,2.00,72.70,81.40,8.10,4.94,38.16,74.92,116.00,0.10,2.00,20.00,36.20,11.00,31.70,22.00,0.13,3.30
15.00,0.94,23.63,0.84,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,5.06,5.94,17.49,0.00,8.00,3.70,34.80,4.20,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,2.44,18.27,55.24,3.40,24.10,19.44,18.46,9.38,17.93,0.81,0.60,19.44,19.44,19.44,2.40,119.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,7.55,7.69,18.90,0.31,2.00,68.90,78.50,7.50,4.59,32.40,74.18,119.00,0.10,2.00,17.21,18.00,11.00,15.60,22.00,0.09,4.49
16.00,0.14,23.61,0.41,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,0.00,0.75,3.64,17.49,0.00,8.00,3.20,33.30,4.20,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,1.51,18.33,54.44,3.40,24.30,19.44,18.46,4.71,17.93,0.46,0.60,19.44,19.44,19.44,2.40,121.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,7.06,7.00,18.90,0.22,2.00,64.00,75.90,6.80,4.28,24.48,73.06,121.00,0.10,2.00,7.63,8.10,11.00,4.50,22.00,0.06,3.86
17.00,0.00,23.86,0.09,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,18.24,0.00,1.40,17.49,0.00,8.00,2.70,31.80,6.30,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,0.48,17.99,51.93,3.40,24.40,19.44,18.46,1.58,17.93,0.21,0.60,19.44,19.44,19.44,2.40,120.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,5.76,6.34,18.90,0.07,2.00,58.70,73.20,6.00,3.93,15.84,70.26,120.00,0.00,2.00,2.92,2.80,11.00,1.10,22.00,0.03,1.65
18.00,0.00,23.57,0.01,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,18.24,0.00,0.48,17.49,0.00,8.00,2.10,29.30,6.30,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,0.11,17.51,48.84,3.40,24.60,19.44,18.46,0.43,17.93,0.05,0.60,19.44,19.44,19.44,2.40,115.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,4.19,5.69,18.90,0.04,2.00,54.00,70.20,5.40,3.56,5.76,66.90,115.00,0.00,2.00,1.02,0.30,11.00,0.00,22.00,0.01,0.00
19.00,0.00,23.55,0.00,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,18.24,0.00,0.04,17.49,0.00,8.00,1.40,26.50,6.30,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,0.00,16.76,46.33,3.40,24.80,19.44,18.46,0.03,17.93,0.00,0.60,19.44,19.44,19.44,2.40,106.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,3.35,5.02,18.90,0.00,2.00,49.40,67.10,4.80,2.97,0.00,64.55,106.00,0.00,2.00,0.11,0.00,11.00,0.00,22.00,0.00,1.93
20.00,0.00,23.53,0.00,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,18.24,0.00,0.00,17.49,0.00,8.00,1.30,23.90,6.30,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,0.00,15.93,44.02,3.40,25.00,19.44,18.46,0.00,17.93,0.00,0.60,19.44,19.44,19.44,2.40,92.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,2.74,4.34,18.90,0.00,2.00,47.10,65.50,4.30,2.31,0.00,62.54,92.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
21.00,0.00,23.54,0.00,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,18.24,0.00,0.00,17.49,0.00,8.00,1.20,21.40,6.30,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,0.00,15.17,41.10,3.40,25.10,19.44,18.46,0.00,17.93,0.00,0.60,19.44,19.44,19.44,2.40,79.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,2.62,4.30,18.90,0.00,2.00,45.50,64.50,3.80,2.07,0.00,59.51,79.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
22.00,0.00,23.90,0.00,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,18.24,0.00,0.00,17.49,0.00,8.00,1.40,20.20,6.30,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,0.00,14.42,37.98,3.40,25.20,19.44,18.46,0.00,17.93,0.00,0.60,19.44,19.44,19.44,2.40,67.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,2.67,4.48,18.90,0.00,2.00,43.50,62.70,3.40,1.97,0.00,56.13,67.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
23.00,0.00,23.69,0.00,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,18.24,0.00,0.00,17.49,0.00,8.00,1.60,19.60,6.30,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,0.00,12.95,34.45,3.40,25.20,19.44,18.46,0.00,17.93,0.00,0.60,19.44,19.44,19.44,2.40,56.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,2.67,4.46,18.90,0.00,2.00,41.40,60.60,3.10,1.81,0.00,52.38,56.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
24.00,0.00,23.81,0.00,14.00,4.20,6.50,11.08,19.14,1.78,0.40,3.30,18.24,0.00,0.00,17.49,0.00,8.00,1.60,18.30,6.30,10.69,13.80,4.80,19.24,19.24,19.44,19.44,1.40,0.00,11.23,30.77,3.40,25.30,19.44,18.46,0.00,17.93,0.00,0.60,19.44,19.44,19.44,2.40,47.00,12.83,19.44,8.00,10.70,6.76,20.00,2.40,2.66,4.37,18.90,0.00,2.00,40.40,59.90,3.00,1.62,0.00,48.50,47.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
