"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXP"
1.00,0.77,22.97,1.48,14.00,4.20,7.00,10.77,18.62,2.50,0.40,3.30,18.56,5.11,7.24,17.01,0.00,8.00,4.70,34.90,7.90,10.20,13.41,4.60,18.70,18.70,18.89,18.89,1.40,3.78,19.40,66.70,3.51,24.20,18.89,17.94,7.50,17.38,0.50,0.60,18.89,18.89,18.89,2.40,124.50,12.47,0.00,7.00,10.80,8.40,17.00,2.40,4.25,4.00,18.90,0.31,2.00,87.40,110.00,7.80,6.60,2.90,98.20,147.40,0.10,2.00,8.80,14.90,11.00,8.90,22.00,0.10,3.59,0.00
2.00,0.14,22.94,1.03,14.00,4.20,7.00,10.77,18.62,2.50,0.40,3.30,18.56,1.87,5.29,17.01,0.00,8.00,4.30,35.50,7.90,10.20,13.41,4.60,18.70,18.70,18.89,18.89,1.40,2.34,19.40,64.80,3.51,24.20,18.89,17.94,3.00,17.38,0.20,0.60,18.89,18.89,18.89,2.40,124.20,12.47,0.00,7.00,10.80,8.40,17.00,2.40,4.04,3.30,18.90,0.21,2.00,83.30,107.20,7.40,6.00,1.00,96.00,144.50,0.10,2.00,3.60,8.30,11.00,2.90,22.00,0.06,2.94,0.00
3.00,0.00,23.19,0.55,14.00,4.20,7.00,10.77,18.62,2.50,0.40,3.30,18.56,0.05,2.75,17.01,0.00,8.00,3.70,35.50,7.90,10.20,13.41,4.60,18.70,18.70,18.89,18.89,1.40,1.01,19.40,62.70,3.51,24.30,18.89,17.94,0.70,17.38,0.00,0.60,18.89,18.89,18.89,2.40,122.40,12.47,0.00,7.00,10.80,8.40,17.00,2.40,3.77,2.70,18.90,0.07,2.00,79.40,105.10,6.90,5.30,0.00,93.40,138.20,0.00,2.00,1.20,2.50,11.00,0.90,22.00,0.03,2.29,0.00
4.00,0.00,22.91,0.14,14.00,4.20,7.00,10.77,18.62,2.50,0.40,3.30,18.56,0.00,0.97,17.01,0.00,8.00,3.30,35.10,7.90,10.20,13.41,4.60,18.70,18.70,18.89,18.89,1.40,0.27,19.40,60.00,3.51,24.30,18.89,17.94,0.00,17.38,0.00,0.60,18.89,18.89,18.89,2.40,120.30,12.47,0.00,7.00,10.80,8.40,17.00,2.40,3.31,2.20,18.90,0.04,2.00,75.70,103.00,6.10,4.50,0.00,90.80,131.00,0.00,2.00,0.10,0.10,11.00,0.00,22.00,0.02,1.14,0.00
5.00,0.00,22.89,0.01,14.00,4.20,7.00,10.77,18.62,2.50,0.40,3.30,18.56,0.00,0.16,17.01,0.00,8.00,3.10,33.90,7.90,10.20,13.41,4.60,18.70,18.70,18.89,18.89,1.40,0.03,19.50,57.40,3.51,24.60,18.89,17.94,0.00,17.38,0.00,0.60,18.89,18.89,18.89,2.40,117.20,12.47,0.00,7.00,10.80,8.40,17.00,2.40,2.87,1.60,18.90,0.00,2.00,72.10,100.70,5.30,3.60,0.00,87.50,120.70,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
6.00,0.00,22.87,0.00,14.00,4.20,7.00,10.77,18.62,2.30,0.40,3.30,18.56,0.00,0.00,17.01,0.00,8.00,2.90,32.60,7.90,10.20,13.41,4.60,18.70,18.70,18.89,18.89,1.40,0.00,19.00,55.30,3.51,24.80,18.89,17.94,0.00,17.38,0.00,0.60,18.89,18.89,18.89,2.40,112.20,12.47,0.00,7.00,10.80,8.40,17.00,2.40,2.50,1.80,19.00,0.00,2.00,68.50,97.90,5.10,3.40,0.00,84.20,109.70,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
7.00,0.00,22.88,0.00,14.00,4.20,7.00,10.77,18.62,2.40,0.40,3.30,18.56,0.00,0.00,17.01,0.00,8.00,2.70,31.30,7.90,10.20,13.41,4.60,18.70,18.70,18.89,18.89,1.40,0.00,18.20,53.30,3.51,25.00,18.89,17.94,0.00,17.38,0.00,0.60,18.89,18.89,18.89,2.40,101.00,12.47,0.00,7.00,10.80,8.40,17.00,2.40,2.23,2.20,18.90,0.00,2.00,64.60,93.20,5.00,3.30,0.00,80.90,96.90,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
8.00,0.00,23.23,0.00,14.00,4.20,7.00,10.77,18.62,2.50,0.40,3.30,18.56,0.00,0.00,17.01,0.00,8.00,2.50,30.00,7.90,10.20,13.41,4.60,18.70,18.70,18.89,18.89,1.40,0.00,17.60,51.40,3.51,25.20,18.89,17.94,0.00,17.38,0.00,0.60,18.89,18.89,18.89,2.40,90.30,12.47,0.00,7.00,10.80,8.40,17.00,2.40,2.23,1.60,19.00,0.00,2.00,60.90,88.50,4.70,3.10,0.00,77.40,84.30,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
9.00,0.00,23.02,0.00,14.00,4.20,7.00,10.77,18.62,2.00,0.40,3.30,18.56,0.00,0.00,17.01,0.00,8.00,2.30,28.90,7.90,10.20,13.41,4.60,18.70,18.70,18.89,18.89,1.40,0.00,16.90,49.50,3.51,25.40,18.89,17.94,0.00,17.38,0.00,0.60,18.89,18.89,18.89,2.40,80.70,12.47,0.00,7.00,10.80,8.40,17.00,2.40,2.15,0.80,19.00,0.00,2.00,56.90,83.20,4.50,2.80,0.00,73.20,71.40,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
10.00,0.00,23.14,0.00,14.00,4.20,7.00,10.77,18.62,2.00,0.40,3.30,18.56,0.00,0.00,17.01,0.00,8.00,2.40,27.30,7.90,10.20,13.41,4.60,18.70,18.70,18.89,18.89,1.40,0.00,16.60,46.30,3.51,25.50,18.89,17.94,0.00,17.38,0.00,0.60,18.89,18.89,18.89,2.40,71.10,12.47,0.00,7.00,10.80,8.40,17.00,2.40,1.90,1.00,18.90,0.00,2.00,53.70,78.60,4.00,2.40,0.00,69.60,60.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
