"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXP"
1.00,0.70,19.90,1.83,18.00,4.20,7.00,13.00,20.20,4.10,0.40,3.30,18.69,4.04,6.41,19.50,0.00,8.00,5.00,30.58,8.00,9.91,12.66,4.80,20.20,17.67,20.20,20.22,1.40,2.78,19.10,64.30,3.48,27.00,20.00,16.94,14.37,18.20,1.44,0.60,20.30,20.30,20.30,2.40,123.04,11.78,21.00,7.00,10.80,7.82,16.05,2.40,6.15,5.66,18.90,0.31,1.00,86.19,88.83,8.10,8.08,11.73,81.73,134.60,0.10,2.00,18.24,28.38,11.00,18.63,22.00,0.10,3.49,0.00
2.00,0.11,19.96,1.22,18.00,4.20,7.00,13.00,20.20,4.10,0.40,3.30,18.69,0.97,4.85,19.50,0.00,8.00,4.30,29.90,8.00,9.91,12.66,4.80,20.20,17.67,20.20,20.22,1.40,2.04,19.81,65.80,3.48,27.00,20.00,16.94,9.43,18.20,0.84,0.60,20.30,20.30,20.30,2.40,124.19,11.78,21.00,7.00,10.80,7.82,16.05,2.40,5.71,5.52,18.90,0.21,1.00,84.00,87.97,7.40,7.65,8.66,84.17,134.31,0.10,2.00,10.24,17.72,11.00,11.88,22.00,0.07,2.92,0.00
3.00,0.00,19.88,0.69,18.00,4.20,7.00,13.00,20.20,4.10,0.40,3.30,18.69,0.01,2.52,19.50,0.00,8.00,3.70,28.70,8.00,9.91,12.66,4.80,20.20,17.67,20.20,20.22,1.40,0.93,20.07,65.80,3.48,27.00,20.00,16.94,4.51,18.20,0.35,0.60,20.30,20.30,20.30,2.40,123.79,11.78,21.00,7.00,10.80,7.82,16.05,2.40,5.13,4.99,18.90,0.07,1.00,79.95,85.35,6.60,7.12,4.44,85.10,132.14,0.00,2.00,5.03,10.09,11.00,5.28,22.00,0.03,2.35,0.00
4.00,0.00,19.91,0.19,18.00,4.20,7.00,13.00,20.20,4.10,0.40,3.30,18.69,0.00,0.88,19.50,0.00,8.00,2.90,27.50,8.00,9.91,12.66,4.80,20.20,17.67,20.20,20.22,1.40,0.23,20.06,65.04,3.48,27.00,20.00,16.94,1.59,18.20,0.07,0.60,20.30,20.30,20.30,2.40,122.34,11.78,21.00,7.00,10.80,7.82,16.05,2.40,4.60,4.09,18.90,0.04,1.00,74.90,81.89,6.30,6.28,1.63,84.21,128.48,0.00,2.00,1.84,4.11,11.00,1.45,22.00,0.02,1.17,0.00
5.00,0.00,19.95,0.01,18.00,4.20,7.00,13.00,20.20,4.10,0.40,3.30,18.69,0.00,0.14,19.50,0.00,8.00,2.10,26.30,8.00,9.91,12.66,4.80,20.20,17.67,20.20,20.22,1.40,0.02,20.00,64.25,3.48,27.00,20.00,16.94,0.27,18.20,0.01,0.60,20.30,20.30,20.30,2.40,120.22,11.78,21.00,7.00,10.80,7.82,16.05,2.40,4.12,3.46,18.90,0.00,1.00,69.97,78.67,6.10,5.45,0.27,83.16,124.16,0.00,2.00,0.41,0.96,11.00,0.24,22.00,0.00,0.00,0.00
6.00,0.00,20.02,0.00,18.00,4.20,7.00,13.00,20.20,4.10,0.40,3.30,18.69,0.00,0.00,19.50,0.00,8.00,1.80,25.20,8.00,9.91,12.66,4.80,20.20,17.67,20.20,20.22,1.40,0.00,19.81,63.36,3.48,27.00,20.00,16.94,0.00,18.20,0.00,0.60,20.30,20.30,20.30,2.40,116.08,11.78,21.00,7.00,10.80,7.82,16.05,2.40,3.81,3.61,18.90,0.00,1.00,65.38,76.15,5.80,4.64,0.00,81.60,117.85,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
7.00,0.00,21.82,0.00,18.00,4.20,7.00,13.00,20.20,4.10,0.40,3.30,18.69,0.00,0.00,19.50,0.00,8.00,1.80,24.30,8.00,9.91,12.66,4.80,20.20,17.67,20.20,20.22,1.40,0.00,19.71,62.09,3.48,27.00,20.00,16.94,0.00,18.20,0.00,0.60,20.30,20.30,20.30,2.40,110.22,11.78,21.00,7.00,10.80,7.82,16.05,2.40,3.54,3.75,18.90,0.00,1.00,61.48,73.92,5.40,3.98,0.00,80.27,110.36,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
8.00,0.00,21.72,0.00,18.00,4.20,7.00,13.00,20.20,4.10,0.40,3.30,18.69,0.00,0.00,19.50,0.00,8.00,1.90,23.40,8.00,9.91,12.66,4.80,20.20,17.67,20.20,20.22,1.40,0.00,19.86,59.70,3.48,27.00,20.00,16.94,0.00,18.20,0.00,0.60,20.30,20.30,20.30,2.40,99.19,11.78,21.00,7.00,10.80,7.82,16.05,2.40,3.42,3.85,18.90,0.00,1.00,59.61,72.51,4.90,3.73,0.00,79.59,99.33,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
9.00,0.00,21.69,0.00,18.00,4.20,7.00,13.00,20.20,4.10,0.40,3.30,18.69,0.00,0.00,19.50,0.00,8.00,2.00,22.60,8.00,9.91,12.66,4.80,20.20,17.67,20.20,20.22,1.40,0.00,19.82,57.23,3.48,27.00,20.00,16.94,0.00,18.20,0.00,0.60,20.30,20.30,20.30,2.40,88.36,11.78,21.00,7.00,10.80,7.82,16.05,2.40,3.27,3.96,18.90,0.00,1.00,57.90,71.12,4.40,3.45,0.00,78.17,87.43,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
10.00,0.00,21.85,0.00,18.00,4.20,7.00,13.00,20.20,4.10,0.40,3.30,18.69,0.00,0.00,19.50,0.00,8.00,2.10,20.50,8.00,9.91,12.66,4.80,20.20,17.67,20.20,20.22,1.40,0.00,19.24,54.53,3.48,27.00,20.00,16.94,0.00,18.20,0.00,0.60,20.30,20.30,20.30,2.40,78.11,11.78,21.00,7.00,10.80,7.82,16.05,2.40,3.03,4.13,18.90,0.00,1.00,56.65,69.77,4.00,3.05,0.00,74.54,72.92,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
