"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXP"
1.00,0.00,23.91,0.00,14.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.20,1.26,13.48,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,0.00,3.66,4.90,3.20,24.30,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,11.88,12.83,19.44,8.00,10.00,8.23,17.49,2.40,4.88,8.90,18.90,0.00,1.20,8.50,17.35,0.21,0.39,0.00,13.20,3.99,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
2.00,0.00,23.91,0.00,14.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.20,1.26,13.48,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,0.00,3.66,5.20,3.20,24.30,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,11.88,12.83,19.44,8.00,10.00,8.23,17.49,2.40,4.88,8.90,18.90,0.00,1.20,7.59,15.94,0.21,0.39,0.00,12.60,3.99,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
3.00,0.00,23.82,0.00,14.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.20,1.44,13.01,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,0.00,3.51,5.40,3.20,24.60,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,9.62,12.83,19.44,8.00,10.80,8.23,17.49,2.40,4.89,8.89,18.90,0.00,1.20,5.62,12.97,0.16,0.34,0.00,11.10,2.30,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
4.00,0.00,23.95,0.00,14.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.20,1.56,12.73,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,0.00,3.42,5.50,3.20,24.80,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,8.36,12.83,19.44,8.00,10.80,8.23,17.49,2.40,4.87,8.80,18.90,0.00,1.20,4.11,10.53,0.12,0.30,0.00,10.00,2.37,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
5.00,0.00,23.88,0.00,14.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.20,1.60,11.85,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,0.00,3.48,5.50,3.20,24.90,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,7.72,12.83,19.44,8.00,10.80,8.23,17.49,2.40,4.82,8.77,18.90,0.00,1.20,3.57,9.19,0.11,0.26,0.00,10.20,2.42,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
6.00,0.00,23.83,0.00,14.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.20,1.63,10.78,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,0.00,3.58,5.40,3.20,25.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,7.29,12.83,19.44,8.00,10.80,8.23,17.49,2.40,4.76,8.76,18.90,0.00,1.20,3.15,8.05,0.10,0.22,0.00,10.60,2.46,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
7.00,0.00,23.97,0.00,14.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.20,2.06,10.29,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,0.00,3.24,5.20,3.20,25.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,6.97,12.83,19.44,8.00,10.80,8.23,17.49,2.40,4.94,8.90,18.90,0.00,1.20,2.50,6.73,0.07,0.17,0.00,11.20,2.31,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
8.00,0.00,23.85,0.00,14.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.20,2.62,10.00,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,0.00,2.75,5.00,3.20,24.90,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,6.67,12.83,19.44,8.00,10.80,8.23,17.49,2.40,5.19,9.09,18.90,0.00,1.20,1.81,5.47,0.03,0.12,0.00,10.90,2.10,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
9.00,0.00,23.80,0.00,14.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.20,2.74,9.10,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,0.00,2.74,4.80,3.20,24.70,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,6.23,12.83,19.44,8.00,10.80,8.23,17.49,2.40,5.43,9.18,18.90,0.00,1.20,1.50,4.79,0.03,0.08,0.00,8.10,2.03,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
10.00,0.00,23.72,0.00,14.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.20,2.72,8.00,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,0.00,2.88,4.50,3.20,24.80,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,5.74,12.83,19.44,8.00,10.80,8.23,17.49,2.40,5.66,9.23,18.90,0.00,1.20,1.28,4.32,0.03,0.05,0.00,5.50,2.02,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
