"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXP"
1.00,0.00,23.83,0.00,14.00,4.20,7.10,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.00,0.26,25.79,8.00,11.18,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,7.64,25.46,3.15,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,72.80,12.83,19.92,8.00,10.70,8.10,17.49,2.40,0.77,0.07,18.00,0.00,1.00,22.50,43.50,1.65,2.80,0.00,43.19,80.30,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
2.00,0.00,23.82,0.00,14.00,4.20,7.10,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.00,0.09,26.39,8.00,11.18,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,7.83,26.28,3.15,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,71.50,12.83,19.92,8.00,10.70,8.10,17.49,2.40,0.46,0.07,18.00,0.00,1.00,21.60,43.80,1.58,2.48,0.00,44.39,74.30,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
3.00,0.00,23.79,0.00,14.00,4.20,7.10,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.00,0.04,26.59,8.00,11.18,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,8.11,27.62,3.15,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,65.40,12.83,19.92,8.00,10.70,8.10,17.49,2.40,0.51,0.12,18.00,0.00,1.00,20.40,42.20,1.48,2.21,0.00,44.62,66.40,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
4.00,0.00,23.80,0.00,14.00,4.20,7.10,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.00,0.02,24.08,8.00,11.18,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,8.20,27.83,3.15,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,56.10,12.83,19.92,8.00,10.70,8.10,17.49,2.40,0.54,0.13,18.00,0.00,1.00,21.50,42.50,1.37,2.05,0.00,44.12,57.50,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
5.00,0.00,23.63,0.00,14.00,4.20,7.10,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.00,0.00,21.67,8.00,11.18,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,8.12,27.20,3.15,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,47.30,12.83,19.92,8.00,10.70,8.10,17.49,2.40,0.66,0.17,18.00,0.00,1.00,23.70,44.20,1.25,1.69,0.00,43.46,50.40,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
6.00,0.00,23.48,0.00,14.00,4.20,7.10,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.00,0.00,19.45,7.90,11.18,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,7.97,26.29,3.15,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,40.50,12.83,19.92,8.00,10.70,8.10,17.49,2.40,0.87,0.26,18.00,0.00,1.00,26.30,46.50,1.12,1.28,0.00,42.77,44.40,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
7.00,0.00,23.60,0.00,14.00,4.20,7.10,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.00,0.00,15.76,7.90,11.18,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,7.46,25.30,3.15,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,34.20,12.83,19.92,8.00,10.70,8.10,17.49,2.40,0.83,0.28,18.00,0.00,1.00,27.90,47.50,1.01,1.06,0.00,41.01,37.60,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
8.00,0.00,23.57,0.00,14.00,4.20,7.10,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.00,0.00,11.94,7.90,11.18,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,7.04,24.55,3.15,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,28.50,12.83,19.92,8.00,10.70,8.10,17.49,2.40,0.70,0.25,18.00,0.00,1.00,28.40,49.20,0.92,0.93,0.00,40.30,31.10,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
9.00,0.00,23.19,0.00,14.00,4.20,7.10,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.00,0.01,8.78,7.90,11.18,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,6.93,24.14,3.15,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,24.80,12.83,19.92,8.00,10.70,8.10,17.49,2.40,0.57,0.17,18.00,0.00,1.00,26.90,48.30,0.85,0.82,0.00,42.18,25.70,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
10.00,0.00,23.30,0.00,14.00,4.20,7.10,12.24,19.14,3.60,0.40,3.40,18.00,0.00,0.00,17.49,0.00,8.00,0.03,7.18,7.90,11.18,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,7.37,25.03,3.15,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,24.20,12.83,19.92,8.00,10.70,8.10,17.49,2.40,0.55,0.13,18.00,0.00,1.00,26.30,48.70,0.87,0.79,0.00,48.14,22.80,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
