"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
1.00,0.00,22.56,0.00,14.00,4.20,7.30,12.24,19.14,0.00,0.40,3.40,15.00,0.00,0.00,17.49,0.00,5.40,5.41,53.88,8.00,10.00,11.92,4.50,19.24,19.24,19.44,19.44,2.80,0.00,29.41,82.17,3.40,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,104.76,12.12,20.41,8.20,0.00,7.33,17.49,1.20,4.33,6.08,19.00,0.00,1.00,95.94,95.78,12.27,12.93,0.00,112.12,87.60,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00,0.00
2.00,0.00,22.73,0.00,14.00,4.20,7.30,12.24,19.14,0.00,0.40,3.40,15.00,0.00,0.00,17.49,0.00,5.40,6.44,50.65,8.00,10.00,11.92,4.50,19.24,19.24,19.44,19.44,2.80,0.00,29.34,81.90,3.40,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,102.01,12.12,20.41,8.20,0.00,7.33,17.49,1.20,4.04,5.87,19.00,0.00,1.00,90.61,94.86,11.50,11.74,0.00,110.79,85.62,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00,0.00
3.00,0.00,22.59,0.00,14.00,4.20,7.30,12.24,19.14,0.00,0.40,3.40,15.00,0.00,0.00,17.49,0.00,5.40,7.10,51.20,8.00,10.00,11.92,4.50,19.24,19.24,19.44,19.44,2.80,0.00,28.87,80.85,3.40,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,98.78,12.12,20.41,8.20,0.00,7.33,17.49,1.20,4.09,5.80,19.00,0.00,1.00,85.27,93.34,10.85,10.66,0.00,108.77,72.25,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00,0.00
4.00,0.00,22.49,0.00,14.00,4.20,7.30,12.24,19.14,0.00,0.40,3.40,15.00,0.00,0.00,17.49,0.00,5.40,7.82,47.01,8.00,10.00,11.92,4.50,19.24,19.24,19.44,19.44,2.80,0.00,28.20,79.58,3.40,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,88.66,12.12,20.41,8.20,0.00,7.33,17.49,1.20,3.98,5.48,19.00,0.00,1.00,82.04,92.65,10.21,9.87,0.00,105.75,56.18,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00,0.00
5.00,0.00,22.71,0.00,14.00,4.20,7.30,12.24,19.14,0.00,0.40,3.40,15.00,0.00,0.00,17.49,0.00,5.40,8.35,41.91,8.00,10.00,11.92,4.50,19.24,19.24,19.44,19.44,2.80,0.00,27.43,78.32,3.40,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,75.11,12.12,20.41,8.20,0.00,7.33,17.49,1.20,3.84,5.01,19.00,0.00,1.00,79.30,92.74,9.62,9.36,0.00,103.39,43.91,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00,0.00
6.00,0.00,22.55,0.00,14.00,4.20,7.30,12.24,19.14,0.00,0.40,3.40,15.00,0.00,0.00,17.49,0.00,5.40,8.78,36.95,8.00,10.00,11.92,4.50,19.24,19.24,19.44,19.44,2.80,0.00,26.56,76.17,3.40,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,63.13,12.12,20.41,8.20,0.00,7.33,17.49,1.20,3.71,4.49,19.00,0.00,1.00,76.67,93.11,9.05,8.96,0.00,101.29,45.33,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00,0.00
7.00,0.00,22.61,0.00,14.00,4.20,7.30,12.24,19.14,0.00,0.40,3.40,15.00,0.00,0.00,17.49,0.00,5.40,9.39,30.22,8.00,10.00,11.92,4.50,19.24,19.24,19.44,19.44,2.80,0.00,25.59,71.10,3.40,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,53.26,12.12,20.41,8.20,0.00,7.33,17.49,1.20,3.39,4.25,19.00,0.00,1.00,73.13,92.91,8.50,8.44,0.00,97.81,36.87,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00,0.00
8.00,0.00,22.61,0.00,14.00,4.20,7.30,12.24,19.14,0.00,0.40,3.40,15.00,0.00,0.00,17.49,0.00,5.40,9.93,23.97,8.00,10.00,11.92,4.50,19.24,19.24,19.44,19.44,2.80,0.00,24.62,66.34,3.40,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,45.49,12.12,20.41,8.20,0.00,7.33,17.49,1.20,3.04,4.01,19.00,0.00,1.00,76.60,91.97,7.94,7.82,0.00,95.18,43.39,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00,0.00
9.00,0.00,22.61,0.00,14.00,4.20,7.30,12.24,19.14,0.00,0.40,3.40,15.00,0.00,0.00,17.49,0.00,5.40,10.12,20.10,8.00,10.00,11.92,4.50,19.24,19.24,19.44,19.44,2.80,0.00,24.16,65.58,3.40,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,40.39,12.12,20.41,8.20,0.00,7.33,17.49,1.20,2.70,3.49,19.00,0.00,1.00,76.57,90.03,7.34,7.14,0.00,95.50,39.93,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00,0.00
10.00,0.00,22.53,0.00,14.00,4.20,7.30,12.24,19.14,0.00,0.40,3.40,15.00,0.00,0.00,17.49,0.00,5.40,9.74,20.58,8.00,10.00,11.92,4.50,19.24,19.24,19.44,19.44,2.80,0.00,25.09,68.42,3.40,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,41.05,12.12,20.41,8.20,0.00,7.33,17.49,1.20,2.48,2.77,19.00,0.00,1.00,61.53,86.03,6.74,6.45,0.00,100.90,36.45,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00,0.00
