"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
1.00,1.36,23.90,1.44,14.00,4.20,7.50,12.24,19.14,3.65,0.00,3.50,15.20,0.43,6.16,17.49,0.00,5.60,7.18,30.09,8.00,10.00,12.24,4.00,19.24,19.24,19.44,19.44,1.40,3.89,24.93,79.44,3.30,27.00,19.44,18.46,13.11,17.88,3.82,0.60,19.44,19.44,19.44,1.20,112.25,12.83,20.41,8.20,10.70,7.59,16.52,2.40,1.67,1.50,18.00,0.34,1.20,91.77,102.41,11.16,9.90,10.90,115.94,127.10,0.10,2.00,28.50,97.52,11.00,92.85,20.00,0.18,7.80,57.53
2.00,0.14,23.81,0.10,14.00,4.20,7.50,12.24,19.14,3.65,0.00,3.50,15.20,0.00,2.73,17.49,0.00,5.60,5.80,30.61,8.00,10.00,12.24,4.00,19.24,19.24,19.44,19.44,1.40,1.28,25.01,79.08,3.30,27.00,19.44,18.46,2.96,17.88,1.26,0.60,19.44,19.44,19.44,1.20,109.66,12.83,20.41,8.20,10.70,7.59,16.52,2.40,1.11,1.17,18.00,0.24,1.20,89.61,103.09,9.81,8.73,2.83,114.77,117.69,0.10,2.00,9.57,21.46,11.00,38.91,20.00,0.12,3.31,24.00
3.00,0.00,23.85,0.00,14.00,4.20,7.50,12.24,19.14,3.65,0.00,3.50,15.20,0.00,0.74,17.49,0.00,5.60,5.45,27.98,8.00,10.00,12.24,4.00,19.24,19.24,19.44,19.44,1.40,0.14,25.05,78.41,3.30,27.00,19.44,18.46,0.40,17.88,0.16,0.60,19.44,19.44,19.44,1.20,106.91,12.83,20.41,8.20,10.70,7.59,16.52,2.40,0.70,0.76,18.00,0.08,1.20,87.27,103.82,8.35,7.46,0.40,113.50,107.50,0.00,2.00,1.48,7.44,11.00,7.54,20.00,0.06,1.66,1.49
4.00,0.00,23.90,0.00,14.00,4.20,7.50,12.24,19.14,3.65,0.00,3.50,15.20,0.00,0.10,17.49,0.00,5.60,5.38,27.72,8.00,10.00,12.24,4.00,19.24,19.24,19.44,19.44,2.80,0.00,24.99,77.56,3.30,27.00,19.44,18.46,0.04,17.88,0.01,0.60,19.44,19.44,19.44,1.20,104.32,12.83,20.41,8.20,10.70,7.59,16.52,2.40,0.43,0.45,18.00,0.04,1.20,85.11,104.41,7.00,6.29,0.05,112.33,98.09,0.00,2.00,0.12,0.60,11.00,0.56,20.00,0.03,0.00,0.00
5.00,0.00,23.86,0.00,14.00,4.20,7.50,12.24,19.14,3.65,0.00,3.50,15.20,0.00,0.00,17.49,0.00,5.60,5.21,27.12,8.00,10.00,12.24,4.00,19.24,19.24,19.44,19.44,2.80,0.00,24.85,76.59,3.30,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,102.21,12.83,20.41,8.20,10.70,7.59,16.52,2.40,0.25,0.24,18.00,0.00,1.20,83.52,104.44,6.01,5.42,0.00,111.45,90.99,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
6.00,0.00,23.94,0.00,14.00,4.20,7.50,12.24,19.14,3.65,0.00,3.50,15.20,0.00,0.00,17.49,0.00,5.60,4.92,27.32,8.00,10.00,12.24,4.00,19.24,19.24,19.44,19.44,2.80,0.00,24.75,76.21,3.30,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,97.26,12.83,20.41,8.20,10.70,7.59,16.52,2.40,0.11,0.16,18.00,0.00,1.20,82.67,103.99,5.84,5.17,0.00,110.73,85.17,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
7.00,0.00,23.86,0.00,14.00,4.20,7.50,12.24,19.14,3.65,0.00,3.50,15.20,0.00,0.00,17.49,0.00,5.60,4.57,27.90,8.00,10.00,12.24,4.00,19.24,19.24,19.44,19.44,2.80,0.00,24.88,76.15,3.30,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,86.37,12.83,20.41,8.20,10.70,7.59,16.52,2.40,0.04,0.15,18.00,0.00,1.20,80.79,104.05,5.48,4.63,0.00,109.14,72.36,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
8.00,0.00,23.94,0.00,14.00,4.20,7.50,12.24,19.14,3.65,0.00,3.50,15.20,0.00,0.00,17.49,0.00,5.60,4.19,25.29,8.00,10.00,12.24,4.00,19.24,19.24,19.44,19.44,2.80,0.00,24.68,74.17,3.30,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,75.48,12.83,20.41,8.20,10.70,7.59,16.52,2.40,0.03,0.19,18.00,0.00,1.20,78.92,103.78,5.12,4.08,0.00,107.56,59.55,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
9.00,0.00,23.85,0.00,14.00,4.20,7.50,12.24,19.14,3.65,0.00,3.50,15.20,0.00,0.00,17.49,0.00,5.60,3.75,21.91,8.00,10.00,12.24,4.00,19.24,19.24,19.44,19.44,2.80,0.00,24.29,71.76,3.30,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,70.53,12.83,20.41,8.20,10.70,7.59,16.52,2.40,0.05,0.36,18.00,0.00,1.20,78.06,103.32,4.72,3.65,0.00,106.83,53.73,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
10.00,0.00,23.77,0.00,14.00,4.20,7.50,12.24,19.14,3.65,0.00,3.50,15.20,0.00,0.00,17.49,0.00,5.60,3.28,18.70,8.00,10.00,12.24,4.00,19.24,19.24,19.44,19.44,2.80,0.00,23.81,68.98,3.30,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,64.91,12.83,20.41,8.20,10.70,7.59,16.52,2.40,0.08,0.73,18.00,0.00,1.20,76.90,103.31,4.60,3.41,0.00,104.62,48.44,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
