"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
1.00,0.00,23.70,0.00,14.00,4.20,7.50,12.24,19.14,3.60,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,1.66,8.98,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,24.39,67.73,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,34.51,12.83,20.41,7.20,10.70,7.59,16.52,2.40,1.48,2.89,18.00,0.00,1.20,45.50,82.22,1.55,1.85,0.00,102.85,24.36,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
2.00,0.00,23.97,0.00,14.00,4.20,7.50,12.24,19.14,3.60,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,1.57,7.69,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,23.84,66.58,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,29.36,12.83,20.41,7.20,10.70,7.59,16.52,2.40,1.43,2.84,18.00,0.00,1.20,42.30,77.41,1.28,1.64,0.00,101.40,18.86,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
3.00,0.00,23.80,0.00,14.00,4.20,7.50,12.24,19.14,3.60,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,1.46,5.42,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,22.99,62.94,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,24.08,12.83,20.41,7.20,10.70,7.59,16.52,2.40,1.20,2.55,18.00,0.00,1.20,40.90,75.13,1.15,1.52,0.00,98.72,14.24,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
4.00,0.00,23.76,0.00,14.00,4.20,7.50,12.24,19.14,3.60,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,1.44,3.81,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,22.17,58.62,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,19.72,12.83,20.41,7.20,10.70,7.59,16.52,2.40,0.99,2.28,18.00,0.00,1.20,40.00,73.58,1.07,1.43,0.00,95.79,11.01,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
5.00,0.00,23.74,0.00,14.00,4.20,7.50,12.24,19.14,3.60,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,1.57,3.29,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,21.39,54.60,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,16.58,12.83,20.41,7.20,10.70,7.59,16.52,2.40,0.83,2.12,18.00,0.00,1.20,40.00,71.65,0.99,1.33,0.00,93.38,9.20,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
6.00,0.00,23.91,0.00,14.00,4.20,7.50,12.24,19.14,3.60,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,1.95,4.18,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,20.42,50.74,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,16.63,12.83,20.41,7.20,10.70,7.59,16.52,2.40,0.75,2.06,18.00,0.00,1.20,41.60,69.89,0.96,1.26,0.00,91.19,9.62,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
7.00,0.00,23.82,0.00,14.00,4.20,7.50,12.24,19.14,3.60,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,2.24,5.26,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,19.22,47.58,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,18.51,12.83,20.41,7.20,10.70,7.59,16.52,2.40,0.83,2.04,18.00,0.00,1.20,41.60,69.19,1.06,1.29,0.00,88.28,10.94,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
8.00,0.00,23.80,0.00,14.00,4.20,7.50,12.24,19.14,3.60,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,2.36,5.48,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,18.36,45.49,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,17.07,12.83,20.41,7.20,10.70,7.59,16.52,2.40,0.94,2.05,18.00,0.00,1.20,39.20,67.52,1.12,1.31,0.00,86.29,11.06,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
9.00,0.00,23.65,0.00,14.00,4.20,7.50,12.24,19.14,3.60,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,2.85,5.03,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,17.80,44.76,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,17.34,12.83,20.41,7.20,10.70,7.59,16.52,2.40,0.90,1.98,18.00,0.00,1.20,35.80,64.59,1.15,1.25,0.00,85.76,11.33,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
10.00,0.00,23.77,0.00,14.00,4.20,7.50,12.24,19.14,3.60,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,3.61,4.38,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,17.34,44.58,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,18.65,12.83,20.41,7.20,10.70,7.59,16.52,2.40,0.80,1.89,18.00,0.00,1.20,31.80,60.78,1.16,1.16,0.00,85.84,11.70,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
