"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
1.00,17.63,23.56,17.09,14.00,4.20,7.50,11.86,19.14,3.41,0.00,3.50,0.00,19.41,18.75,17.49,0.00,5.80,15.05,17.33,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,1.40,16.00,23.41,69.39,3.50,27.00,19.44,18.27,114.93,17.88,33.67,0.60,19.44,19.44,19.44,1.20,47.13,12.83,20.41,8.10,10.70,8.00,16.52,2.40,7.77,7.47,18.00,0.84,1.00,81.36,77.57,9.55,10.72,114.93,81.09,39.27,0.40,2.00,78.45,258.59,5.00,195.96,20.00,0.36,46.68,106.76
2.00,17.70,23.67,16.89,14.00,4.20,7.50,11.86,19.14,3.41,0.00,3.50,0.00,18.93,18.92,17.49,0.00,5.80,16.32,19.95,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,1.40,16.00,23.64,70.28,3.50,27.00,19.44,18.27,114.93,17.88,32.56,0.60,19.44,19.44,19.44,1.20,61.74,12.83,20.41,8.10,10.70,8.00,16.52,2.40,8.21,7.58,18.00,0.85,1.00,88.13,82.00,10.04,11.69,114.93,84.89,59.16,0.40,2.00,78.80,259.53,5.00,194.66,20.00,0.36,46.21,107.58
3.00,17.55,23.67,16.17,14.00,4.20,7.50,11.86,19.14,3.41,0.00,3.50,0.00,18.24,18.78,17.49,0.00,5.80,18.30,24.14,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,1.40,16.00,23.82,70.78,3.50,27.00,19.44,18.27,114.93,17.88,31.30,0.60,19.44,19.44,19.44,1.20,73.54,12.83,20.41,8.10,10.70,8.00,16.52,2.40,8.58,7.87,18.00,0.85,1.00,93.64,85.70,10.69,12.68,114.93,86.11,70.66,0.40,2.00,78.88,258.89,5.00,190.76,20.00,0.36,46.02,108.26
4.00,17.02,23.61,15.16,14.00,4.20,7.50,11.86,19.14,3.41,0.00,3.50,0.00,17.71,18.76,17.49,0.00,5.80,20.27,29.17,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,1.40,16.00,23.97,71.08,3.50,27.00,19.44,18.27,114.93,17.88,29.55,0.60,19.44,19.44,19.44,1.20,85.41,12.83,20.41,8.10,10.70,8.00,16.52,2.40,8.92,8.27,18.00,0.84,1.00,98.46,89.01,11.37,13.56,114.93,86.11,79.75,0.40,2.00,78.68,256.72,5.00,187.87,20.00,0.36,45.49,108.38
5.00,16.05,23.71,13.94,14.00,4.20,7.50,11.86,19.14,3.41,0.00,3.50,0.00,17.21,18.74,17.49,0.00,5.80,21.82,32.36,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,1.40,16.00,23.98,70.63,3.50,27.00,19.44,18.27,114.93,17.88,27.69,0.60,19.44,19.44,19.44,1.20,94.65,12.83,20.41,8.10,10.70,8.00,16.52,2.40,8.68,7.24,18.00,0.84,1.00,102.19,91.33,11.54,13.86,114.93,88.28,88.46,0.30,2.00,78.19,253.57,5.00,185.65,20.00,0.36,44.96,108.67
6.00,14.90,23.56,12.56,14.00,4.20,7.50,11.86,19.14,3.41,0.00,3.50,0.00,16.84,18.57,17.49,0.00,5.80,22.95,34.20,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,1.40,16.00,23.88,69.94,3.50,27.00,19.44,18.27,114.93,17.88,26.02,0.60,19.44,19.44,19.44,1.20,102.41,12.83,20.41,8.10,10.70,8.00,16.52,2.40,8.22,6.20,18.00,0.71,1.00,105.01,93.20,11.49,13.94,113.35,91.05,77.45,0.20,2.00,77.47,251.53,5.00,181.61,20.00,0.35,43.95,108.87
7.00,13.34,23.83,10.84,14.00,4.20,7.50,11.86,19.14,3.41,0.00,3.50,0.00,15.51,18.23,17.49,0.00,5.80,23.47,34.57,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,1.40,16.00,23.67,69.18,3.50,27.00,19.44,18.27,114.93,17.88,23.20,0.60,19.44,19.44,19.44,1.20,108.79,12.83,20.41,8.10,10.70,8.00,16.52,2.40,7.67,5.24,18.00,0.69,1.00,106.57,94.78,11.31,13.89,109.67,93.31,57.44,0.20,2.00,76.24,247.69,5.00,176.33,20.00,0.33,42.94,104.61
8.00,11.28,23.72,8.88,14.00,4.20,7.50,11.86,19.14,3.41,0.00,3.50,0.00,11.91,17.51,17.49,0.00,5.80,23.16,31.54,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,1.40,15.82,23.36,68.41,3.50,27.00,19.44,18.27,114.93,17.88,18.43,0.60,19.44,19.44,19.44,1.20,112.71,12.83,20.41,8.10,10.70,8.00,16.52,2.40,6.72,4.25,18.00,0.65,1.00,107.35,96.64,10.96,13.60,102.56,95.08,69.84,0.10,2.00,74.04,240.39,5.00,165.93,20.00,0.32,40.28,101.74
9.00,8.77,23.65,6.65,14.00,4.20,7.50,11.86,19.14,3.41,0.00,3.50,0.00,8.26,16.43,17.49,0.00,5.80,22.58,26.40,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,1.40,14.65,22.97,67.43,3.50,27.00,19.44,18.27,114.93,17.88,13.67,0.60,19.44,19.44,19.44,1.20,115.54,12.83,20.41,8.10,10.70,8.00,16.52,2.40,5.10,3.22,18.00,0.54,1.00,108.76,99.41,10.72,13.22,90.06,97.16,90.24,0.10,2.00,68.94,223.74,5.00,146.34,20.00,0.28,37.62,97.79
10.00,5.81,23.85,3.95,14.00,4.20,7.50,11.86,19.14,3.41,0.00,3.50,0.00,4.92,14.42,17.49,0.00,5.80,22.14,24.95,8.10,9.00,12.44,5.00,19.24,19.24,19.44,19.44,1.40,12.80,22.41,66.16,3.50,27.00,19.44,18.27,84.39,17.88,9.29,0.60,19.44,19.44,19.44,1.20,118.64,12.83,20.41,8.10,10.70,8.00,16.52,2.40,3.78,2.25,18.00,0.39,1.00,109.31,101.15,10.57,13.13,69.25,99.18,78.64,0.10,2.00,53.26,185.66,5.00,119.75,20.00,0.24,24.71,90.87
