"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2","CHARCATA"
1.00,67.82,29.98,67.20,622.67,124.43,0.00,6.59,57.88,19.21,4.79,41.90,0.00,39.73,7.38,3.96,158.20,24.54,88.74,37.90,225.00,25.02,0.00,86.53,0.00,6.39,9.98,0.00,0.00,8.22,180.00,180.00,51.98,67.16,67.94,33.04,167.95,180.44,168.01,5.67,74.99,75.00,46.20,34.71,46.51,30.70,30.59,30.58,76.77,87.36,73.43,110.32,193.24,20.46,20.42,16.33,21.95,5.06
2.00,78.57,29.98,67.20,650.00,147.02,0.00,6.59,91.73,19.21,4.79,41.90,0.00,39.73,7.38,3.96,164.07,45.63,88.74,37.90,225.00,25.02,0.00,87.77,0.00,6.39,9.98,0.00,0.00,8.22,180.00,180.00,67.57,67.16,67.94,33.04,184.35,197.33,184.41,5.67,74.99,75.00,53.73,59.21,58.75,30.70,30.59,30.58,76.77,87.36,73.43,110.32,203.40,20.46,20.42,16.33,21.95,5.06
3.00,78.57,29.98,67.20,650.00,147.02,0.00,6.59,110.48,19.21,4.79,41.90,0.00,39.73,7.38,3.96,164.07,112.47,88.74,47.08,225.00,25.02,6.88,87.77,0.00,6.39,9.98,73.80,0.00,19.79,180.00,180.00,67.57,67.16,67.94,33.04,184.35,197.33,184.41,5.67,74.99,75.00,66.62,66.54,81.64,30.70,30.59,30.58,85.00,87.36,50.11,110.32,203.40,20.46,20.42,22.16,21.95,5.06
4.00,78.57,29.98,67.20,650.00,147.02,0.00,6.59,110.48,19.21,4.79,41.90,0.00,39.73,7.38,3.96,164.07,112.47,88.74,47.08,225.00,25.02,6.88,87.77,0.00,6.39,9.98,95.55,0.00,19.79,180.00,180.00,67.57,67.16,67.94,33.04,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,85.00,87.36,55.94,110.32,203.40,20.46,20.42,16.33,21.95,5.06
5.00,78.57,29.98,67.20,650.00,147.02,6.28,6.59,110.48,19.21,4.79,41.90,0.00,137.35,7.38,3.96,164.07,112.47,88.74,47.08,225.00,25.02,6.88,87.77,16.00,6.39,9.98,95.55,0.00,19.79,180.00,180.00,67.57,67.16,67.94,33.04,184.35,197.33,184.41,5.67,74.99,75.00,48.20,66.54,81.64,30.70,30.59,30.58,85.00,87.36,95.20,110.32,203.40,20.46,20.42,16.33,21.95,5.06
6.00,78.57,29.98,67.20,650.00,147.02,6.28,6.59,110.48,19.21,4.79,41.90,0.00,122.34,7.38,3.96,164.07,112.47,88.74,47.08,225.00,25.02,6.88,87.77,26.00,6.39,9.98,95.55,0.00,19.79,180.00,180.00,67.57,67.16,67.94,34.24,184.35,197.33,184.41,5.67,74.99,76.38,48.20,66.54,81.64,30.70,30.59,30.58,61.94,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
7.00,78.57,29.98,67.20,650.00,147.02,6.28,6.59,110.48,19.21,4.79,41.90,0.00,141.39,7.38,3.96,164.07,112.47,88.74,47.08,225.00,25.02,6.88,87.77,40.00,6.39,9.98,95.55,0.00,19.79,180.00,180.00,67.57,67.16,67.94,33.04,184.35,197.33,184.41,5.67,74.99,75.00,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,70.52,110.32,203.40,20.46,20.42,22.16,21.95,5.06
8.00,78.57,29.98,67.20,650.00,147.02,6.28,6.59,110.48,19.21,4.79,41.90,0.00,134.73,7.38,3.96,164.07,112.47,88.74,47.08,225.00,25.02,6.88,87.77,56.00,6.39,9.98,95.55,0.00,19.79,180.00,180.00,67.57,67.16,67.94,33.04,184.35,197.33,184.41,5.67,74.99,75.00,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,70.52,110.32,203.40,20.46,20.42,22.16,21.95,5.06
9.00,78.57,29.98,67.20,650.00,147.02,6.28,6.59,110.48,19.21,4.79,41.90,0.00,129.18,7.38,3.96,164.07,112.47,88.74,47.08,225.00,25.02,6.88,87.77,56.00,6.39,9.98,95.55,0.00,19.79,180.00,180.00,67.57,67.16,67.94,33.04,184.35,197.33,184.41,5.67,74.99,75.00,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,70.52,110.32,203.40,20.46,20.42,22.16,21.95,5.06
10.00,78.57,29.98,67.20,650.00,147.02,6.28,6.59,110.48,19.21,4.79,41.90,0.00,137.44,7.38,3.96,164.07,112.47,88.74,47.08,225.00,25.02,6.88,87.77,56.00,6.39,9.98,95.55,0.00,19.79,180.00,180.00,67.57,67.16,67.94,33.04,184.35,197.33,184.41,5.67,74.99,75.00,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,70.52,110.32,203.40,20.46,20.42,22.16,21.95,5.06
