"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
1.00,10.12,23.85,9.79,0.00,4.35,0.00,10.30,19.14,3.38,0.40,3.50,0.00,16.39,15.32,13.61,0.00,5.60,5.50,29.54,4.93,2.80,6.20,5.00,19.44,19.44,19.44,19.44,2.80,14.35,17.49,43.72,3.50,28.12,18.98,18.66,114.93,17.88,35.06,0.60,19.44,19.44,19.44,2.40,14.80,12.83,20.41,8.00,10.80,8.53,17.75,2.40,0.21,0.66,18.00,0.48,1.94,18.81,35.19,1.00,0.44,102.55,69.10,18.80,0.10,2.64,75.52,231.92,0.00,204.00,14.21,0.22,45.17,93.48
2.00,12.29,23.50,11.71,0.00,4.35,0.00,10.30,19.14,3.38,0.40,3.50,0.00,17.43,16.65,13.61,0.00,5.60,4.20,30.22,5.31,2.80,6.20,5.00,19.44,19.44,19.44,19.44,2.80,15.18,17.52,46.11,3.50,28.12,18.98,18.66,114.93,17.88,35.62,0.60,19.44,19.44,19.44,2.40,11.80,12.83,20.41,8.00,10.80,8.80,17.75,2.40,0.19,0.66,18.00,0.66,1.94,22.75,41.50,1.68,0.94,105.25,75.00,17.10,0.20,2.64,80.20,238.83,0.00,204.00,14.28,0.28,46.03,95.40
3.00,12.89,23.33,12.98,0.00,4.35,0.00,10.30,19.14,3.38,0.40,3.50,0.00,18.39,17.15,13.61,0.00,5.60,2.80,33.38,5.32,2.80,6.20,5.00,19.44,19.44,19.44,19.44,2.80,15.63,17.77,49.21,3.50,28.12,19.00,18.66,114.93,17.88,35.80,0.60,19.44,19.44,19.44,2.40,11.20,12.83,20.41,8.00,10.80,7.67,17.75,2.40,0.22,0.66,18.00,0.82,1.95,28.31,50.47,2.71,1.79,105.80,80.20,19.50,0.20,2.64,84.02,242.45,0.00,204.00,13.17,0.33,46.30,96.84
4.00,14.61,23.78,14.43,0.00,4.35,0.00,10.30,19.14,3.38,0.40,3.50,0.00,18.21,17.39,13.61,0.00,5.60,1.80,35.45,5.30,2.80,6.20,5.00,19.44,19.44,19.44,19.44,2.80,15.62,18.23,53.02,3.50,28.12,19.00,18.66,114.93,17.88,35.87,0.60,19.44,19.44,19.44,2.40,12.40,12.83,20.41,8.00,10.80,6.54,17.75,2.40,0.35,0.70,18.00,0.92,1.95,39.26,63.61,4.22,2.98,106.35,85.10,23.50,0.30,2.60,85.19,243.34,0.00,204.00,13.41,0.36,46.56,97.58
5.00,14.98,24.50,15.07,0.00,4.35,0.00,10.30,19.14,3.38,0.40,3.50,0.00,18.67,17.38,13.61,0.00,5.60,1.00,40.09,5.28,2.80,6.20,5.00,19.44,19.44,19.44,19.44,2.80,15.52,18.70,56.65,3.50,28.12,19.00,18.66,114.93,17.88,35.85,0.60,19.44,19.44,19.44,2.40,17.20,12.83,20.41,8.00,10.80,6.71,17.75,2.40,0.56,0.72,18.00,1.00,1.95,51.61,75.86,6.03,4.32,105.46,88.90,30.40,0.30,2.60,85.21,237.44,0.00,204.00,13.29,0.37,46.94,99.42
6.00,15.17,23.49,15.75,0.00,4.35,0.00,10.30,19.14,3.38,0.40,3.50,0.00,18.20,17.37,13.61,0.00,5.60,0.90,42.54,5.28,2.80,6.20,5.00,19.44,19.44,19.44,19.44,2.80,15.25,19.16,60.10,3.50,28.12,18.81,18.66,114.93,17.88,35.71,0.60,19.44,19.44,19.44,2.40,21.40,12.83,20.41,8.00,10.80,6.57,17.75,2.40,0.91,0.72,18.00,1.02,1.93,61.52,83.20,7.79,5.53,103.84,89.70,33.70,0.30,2.64,85.58,237.50,0.00,204.00,12.61,0.38,47.30,99.75
7.00,15.28,23.09,16.11,0.00,4.35,0.00,10.30,19.14,3.38,0.40,3.50,0.00,17.82,17.35,13.61,0.00,5.60,1.90,48.15,5.28,2.80,6.20,5.00,19.44,19.44,19.44,19.44,2.80,15.02,19.67,63.25,3.50,28.12,18.58,18.66,114.93,17.88,35.33,0.60,19.44,19.44,19.44,2.40,28.60,12.83,20.41,8.00,10.80,7.97,17.75,2.40,0.99,0.55,18.00,1.01,1.96,67.69,86.12,8.75,6.60,102.23,91.20,40.00,0.40,2.60,86.38,240.25,0.00,203.17,15.44,0.38,46.65,101.25
8.00,14.38,23.62,15.79,0.00,4.35,0.00,10.30,19.14,3.38,0.40,3.50,0.00,17.39,17.45,13.61,0.00,5.60,2.60,50.96,5.75,2.80,6.20,5.00,19.44,19.44,19.44,19.44,2.80,15.06,20.20,66.09,3.50,28.12,18.52,18.66,114.93,17.88,34.76,0.60,19.44,19.44,19.44,2.40,39.30,12.83,20.41,8.00,10.80,7.13,17.75,2.40,1.05,0.38,18.00,1.03,1.96,74.96,89.45,10.12,8.28,101.34,92.70,50.60,0.40,2.60,86.58,242.05,0.00,204.00,15.17,0.39,45.99,101.87
9.00,14.22,24.44,15.46,0.00,4.35,0.00,10.30,19.14,3.36,0.40,3.50,0.00,16.54,17.30,13.61,0.00,5.60,3.00,58.89,5.85,2.80,6.20,5.00,19.44,19.44,19.44,19.44,2.80,14.81,20.71,68.49,3.50,28.12,18.34,18.66,114.93,17.88,34.46,0.60,19.44,19.44,19.44,2.40,52.20,12.83,20.41,8.00,10.80,8.01,17.75,2.40,1.31,0.33,18.00,1.02,1.95,83.04,94.12,11.87,9.71,101.17,93.10,63.70,0.40,2.56,84.94,241.40,0.00,199.29,15.44,0.38,45.48,102.67
10.00,12.57,23.03,14.24,0.00,4.35,0.00,10.30,19.14,3.36,0.40,3.50,0.00,16.17,17.17,13.61,0.00,5.60,3.50,63.31,6.42,2.80,6.20,5.00,19.44,19.44,19.44,19.44,2.80,14.65,21.18,70.44,3.50,28.12,18.15,18.66,114.93,17.88,33.98,0.60,19.44,19.44,19.44,2.40,71.10,12.83,20.41,8.00,10.80,6.96,17.75,2.40,1.65,0.30,18.00,1.02,1.95,88.88,96.59,11.39,8.65,100.99,92.70,80.40,0.40,2.56,82.87,239.37,0.00,191.46,14.38,0.39,44.98,102.90
