"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2","CHARCATA"
1.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,95.01,7.35,3.95,164.07,112.47,88.74,47.08,215.19,13.60,6.88,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,25.67,25.57,25.56,85.00,87.36,62.39,110.32,203.40,20.46,20.42,22.16,21.95,5.06
2.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,78.02,7.35,3.95,164.07,112.47,88.74,47.08,215.19,13.60,6.88,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,25.67,25.57,25.56,85.00,87.36,62.39,110.32,203.40,20.46,20.42,22.16,21.95,5.06
3.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,73.66,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,25.67,25.57,25.56,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
4.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,73.24,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.32,74.99,76.38,66.62,66.54,81.64,23.88,23.79,23.79,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
5.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,72.35,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,0.00,6.39,9.00,0.00,10.52,5.62,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,4.83,74.99,76.38,66.62,66.54,81.64,21.36,21.30,21.30,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
6.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,70.36,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,0.00,6.39,9.00,56.65,10.52,18.73,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,4.10,74.99,76.38,66.62,66.54,81.64,17.59,17.57,17.57,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
7.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,68.83,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,0.00,6.39,9.00,55.83,10.52,18.54,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,4.18,74.99,76.38,66.62,66.54,81.64,27.03,0.00,26.92,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
8.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,72.74,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,0.00,6.39,9.00,59.01,10.52,19.28,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,4.66,74.99,76.38,66.62,66.54,81.64,30.70,0.00,30.58,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
9.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,72.74,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.50,74.99,76.38,48.20,66.54,81.64,24.77,24.68,24.67,85.00,87.36,90.96,110.32,203.40,20.46,20.42,22.16,21.95,5.06
10.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,75.28,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,25.67,25.57,25.56,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
