"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
1.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,14.40,29.15,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,19.99,60.02,3.00,25.90,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,57.00,9.80,11.66,5.00,10.70,0.00,10.69,2.20,17.62,14.22,19.00,0.00,1.31,74.88,78.57,6.57,5.91,0.00,74.60,61.00,0.00,2.04,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
2.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,13.57,31.20,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,19.11,57.35,3.00,25.80,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,48.00,9.80,11.66,5.00,10.70,0.00,10.69,2.20,17.66,14.22,19.00,0.00,1.31,73.39,77.54,6.40,5.74,0.00,71.30,52.00,0.00,2.04,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
3.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,12.47,29.02,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,18.39,54.97,3.00,25.80,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,39.00,9.80,11.66,5.00,10.70,0.00,10.69,2.20,17.64,14.12,19.00,0.00,1.31,60.34,66.77,4.42,4.61,0.00,69.06,45.00,0.00,2.04,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
4.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,12.63,29.00,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,17.98,53.52,3.00,25.80,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,32.00,9.80,11.66,5.00,10.70,0.00,10.69,2.20,17.63,14.01,19.00,0.00,1.31,60.13,65.96,4.45,4.47,0.00,67.87,40.00,0.00,2.00,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
5.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,11.54,27.74,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,17.05,50.92,3.00,25.80,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,27.00,9.80,11.66,5.00,10.70,0.00,10.69,2.20,17.55,13.96,19.00,0.00,1.31,47.25,54.75,2.48,3.39,0.00,64.79,36.00,0.00,2.00,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
6.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,12.62,25.62,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,16.53,49.52,3.00,25.80,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,24.00,9.80,11.66,5.00,10.70,0.00,10.69,2.20,17.47,13.90,19.00,0.00,1.31,47.26,53.40,2.71,3.27,0.00,63.64,33.00,0.00,1.96,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
7.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,14.85,22.77,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,16.22,48.10,3.00,26.00,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,24.00,9.80,11.66,5.00,10.70,0.00,10.69,2.20,17.48,13.84,19.00,0.00,1.31,38.11,43.63,1.96,2.63,0.00,63.95,33.00,0.00,2.00,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
8.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,15.26,23.13,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,16.15,47.42,3.00,26.00,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,24.00,9.80,11.66,5.00,10.70,0.00,10.69,2.20,17.49,13.77,19.00,0.00,1.31,37.95,43.03,1.81,2.47,0.00,63.09,35.00,0.00,2.00,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
9.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,16.56,18.31,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,15.78,45.86,3.00,26.10,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,26.00,9.80,11.66,5.00,10.70,0.00,10.69,2.20,17.58,13.93,19.00,0.00,1.31,34.22,38.35,1.52,2.27,0.00,61.47,37.00,0.10,1.96,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
10.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,16.94,16.65,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,15.48,44.99,3.00,26.10,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,28.00,9.80,11.66,5.00,10.70,0.00,10.69,2.20,17.66,14.09,19.00,0.00,1.31,33.82,37.86,1.45,2.25,0.00,59.56,39.00,0.20,1.96,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
