"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2","CHARCATA"
1.00,66.31,27.47,67.20,650.00,147.46,8.26,4.07,88.39,19.21,3.37,41.90,98.03,7.36,3.95,164.07,112.47,88.47,47.08,126.04,13.00,6.88,87.77,0.00,6.39,9.00,48.06,0.00,19.79,228.68,0.00,0.00,0.00,0.00,20.60,184.35,197.33,184.41,5.67,74.99,76.38,33.09,39.18,63.12,26.04,25.94,25.93,87.20,51.98,110.37,110.32,101.65,20.46,18.57,20.05,19.85,5.06
2.00,78.57,29.98,67.20,650.00,147.46,8.26,4.07,88.39,19.21,3.37,41.90,97.33,7.36,3.95,164.07,98.39,88.47,47.08,120.00,13.00,6.88,87.77,0.00,6.39,9.00,48.06,0.00,18.54,228.68,0.00,0.00,60.61,27.85,60.82,151.34,162.54,151.39,5.24,71.05,57.86,63.59,47.14,63.12,23.45,23.38,23.37,65.51,65.96,101.87,100.31,101.65,20.46,18.65,20.05,19.85,5.06
3.00,78.57,29.98,67.20,650.00,147.46,8.26,4.07,110.48,19.21,3.37,41.90,97.77,7.36,3.95,164.07,98.34,88.47,47.08,120.00,13.00,6.88,87.77,0.00,6.39,9.00,48.06,0.00,18.08,228.68,0.00,0.00,27.20,61.81,56.44,149.69,160.70,149.74,4.86,70.96,55.61,63.71,47.02,63.12,21.47,21.41,21.41,84.57,40.54,92.83,84.25,101.65,20.46,18.70,20.05,19.85,5.06
4.00,78.57,29.98,67.20,650.00,211.66,8.26,4.07,110.48,19.21,3.37,41.90,99.00,7.36,3.95,164.07,96.76,88.47,44.89,120.00,13.00,6.88,87.77,0.00,6.39,9.00,48.06,0.00,17.69,228.68,0.00,0.00,47.63,48.05,47.75,184.35,197.33,0.00,4.83,71.13,59.92,63.57,47.16,63.12,21.32,21.26,21.26,60.17,60.58,99.43,96.59,101.65,20.46,18.65,19.67,20.23,5.06
5.00,78.57,29.98,67.20,650.00,211.66,8.26,4.07,110.48,19.21,3.37,41.90,98.03,7.36,3.95,164.07,93.46,88.47,39.82,120.00,13.00,6.88,87.77,0.00,6.39,9.00,48.06,0.00,16.85,228.68,0.00,0.00,26.58,59.55,50.70,129.55,137.89,129.58,4.29,70.77,50.45,63.52,47.20,63.12,18.56,18.53,18.53,44.25,64.56,84.57,70.04,101.65,20.46,18.67,19.67,20.23,5.06
6.00,78.57,29.98,67.20,650.00,211.66,8.26,4.07,110.48,19.21,3.37,41.90,98.03,7.36,3.95,164.07,86.34,88.47,47.08,120.82,13.00,6.88,87.77,0.00,6.39,9.00,48.06,0.00,15.65,228.68,0.00,0.00,37.81,51.92,38.30,124.36,132.08,124.39,5.67,74.99,76.38,59.39,45.11,63.12,30.70,30.59,30.58,66.42,25.50,42.04,42.03,101.65,20.46,18.60,20.08,19.82,5.06
7.00,78.57,29.98,67.20,650.00,211.66,8.26,4.07,110.48,19.21,3.37,41.90,98.03,7.36,3.95,164.07,82.43,88.47,38.62,120.00,13.00,6.88,87.77,0.00,6.39,0.00,48.06,0.00,18.04,228.68,0.00,0.00,56.11,31.41,56.31,125.04,132.84,125.06,4.69,70.69,48.44,63.96,47.80,63.12,24.07,23.99,23.98,43.16,43.35,67.20,38.61,101.65,20.46,18.57,20.05,19.85,5.06
8.00,78.57,29.98,67.20,650.00,211.66,8.26,4.07,110.48,19.21,3.37,41.90,98.03,7.36,3.95,164.07,79.15,88.47,47.08,120.00,13.00,6.88,87.77,0.00,6.39,0.00,48.06,0.00,15.55,228.68,0.00,0.00,46.92,39.47,39.47,113.93,120.66,113.94,1.99,71.24,62.20,62.00,46.13,63.12,0.00,0.00,30.58,0.00,70.16,0.00,99.38,101.65,20.46,18.60,19.67,20.23,5.06
9.00,78.57,29.98,67.20,650.00,211.66,8.26,4.07,110.48,19.21,3.37,41.90,98.03,7.36,3.95,164.07,75.89,88.47,31.84,120.00,13.00,6.88,87.77,0.00,6.39,0.00,48.06,0.00,18.60,228.68,0.00,0.00,44.21,44.52,44.30,0.00,192.07,179.19,0.00,0.00,62.20,59.30,59.21,63.12,0.00,0.00,0.00,43.76,43.79,0.00,0.00,101.65,20.46,18.57,20.08,19.82,5.06
10.00,78.57,29.98,67.20,650.00,211.66,8.26,4.07,110.48,19.21,3.37,41.90,98.03,7.36,3.95,164.07,69.75,88.47,43.36,120.00,0.00,6.88,87.77,0.00,6.39,0.00,48.06,0.00,13.76,228.68,0.00,0.00,21.78,33.71,21.78,0.00,140.74,132.10,0.00,0.00,62.94,63.14,47.58,63.12,0.00,0.00,0.00,20.60,26.78,0.00,0.00,101.65,20.46,18.23,19.67,20.23,5.06
