"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
1.00,0.38,0.00,0.50,14.00,4.50,7.30,4.50,10.05,2.30,0.00,3.50,0.00,0.68,1.26,4.00,9.80,2.71,2.94,0.00,11.11,11.50,3.50,17.97,16.04,7.00,10.63,1.40,1.01,3.06,2.61,2.58,28.12,0.00,18.16,2.00,14.49,1.51,0.60,7.00,7.50,7.50,2.20,1.36,9.00,9.00,3.00,10.70,0.00,8.00,1.10,6.10,7.90,18.95,0.03,1.11,5.57,9.87,0.67,1.36,1.44,10.63,0.83,0.00,1.56,2.95,10.19,0.00,11.92,13.50,0.00,1.00,1.92
2.00,2.29,0.00,2.34,14.00,4.50,7.30,4.50,10.05,2.30,0.00,3.50,0.00,2.38,6.27,4.00,9.80,5.34,5.16,0.00,11.11,11.50,3.50,17.97,16.04,7.00,10.63,1.40,5.21,4.62,5.23,2.58,28.12,0.00,18.16,24.00,14.49,8.14,0.60,7.00,7.50,7.50,2.20,2.83,9.00,9.00,3.00,10.70,0.00,8.00,1.10,6.47,7.95,9.44,0.06,1.10,10.31,17.42,0.67,1.45,17.28,18.43,1.77,0.00,1.52,15.93,63.92,0.00,51.81,13.50,0.05,9.31,20.69
3.00,3.58,0.00,4.28,14.00,4.50,7.30,4.50,10.05,2.30,0.00,3.50,0.00,5.38,11.43,4.00,9.80,8.20,7.55,0.00,11.11,11.50,3.50,17.97,16.04,7.00,10.63,1.40,9.26,6.33,8.08,2.58,28.12,0.00,18.16,56.00,14.49,16.60,0.60,7.00,7.50,7.50,2.20,4.43,9.00,9.00,3.00,10.70,0.00,8.00,1.10,7.11,8.75,18.95,0.08,1.10,15.51,25.66,1.53,2.01,40.32,26.92,2.80,0.00,1.52,34.47,138.36,0.00,109.20,13.50,0.09,17.61,41.35
4.00,6.70,0.00,6.98,14.00,4.50,7.30,4.50,10.05,2.30,0.00,3.50,0.00,7.52,13.38,4.00,9.80,10.82,9.76,0.00,11.11,11.50,3.50,17.97,16.04,7.00,10.63,1.40,10.94,7.89,10.69,2.58,28.12,0.00,18.16,91.00,14.49,24.01,0.60,7.00,7.50,7.50,2.20,5.89,9.00,9.00,3.00,10.70,0.00,8.00,1.10,6.79,8.52,18.95,0.11,1.10,20.25,33.22,1.53,1.97,65.52,34.72,3.73,0.00,1.52,50.89,189.10,0.00,148.67,13.50,0.14,26.53,80.76
5.00,7.76,0.00,8.59,14.00,4.50,7.30,4.50,10.05,2.30,0.00,3.50,0.00,9.92,14.01,4.00,9.80,12.76,11.44,0.00,11.11,11.50,3.50,17.97,16.04,7.00,10.63,1.40,11.55,9.04,12.60,2.58,28.12,0.00,18.16,112.00,14.49,27.80,0.60,7.00,7.50,7.50,2.20,6.93,9.00,9.00,3.00,10.70,0.00,8.00,0.00,7.45,9.24,9.44,0.53,1.10,23.62,38.74,1.78,1.87,80.64,40.42,4.38,0.10,1.52,55.46,196.12,0.00,161.94,13.50,0.19,35.45,82.43
6.00,10.41,0.00,10.70,14.00,4.50,7.30,4.50,10.05,2.30,0.00,3.50,0.00,11.08,14.25,4.00,9.80,13.18,13.11,0.00,11.11,11.50,3.50,17.97,16.04,7.00,10.63,1.40,11.72,9.60,13.66,2.58,28.12,0.00,18.16,119.00,14.49,28.28,0.60,7.00,7.50,7.50,2.20,6.86,9.00,9.00,3.00,10.70,0.00,8.00,0.00,7.58,9.24,18.95,0.73,1.10,23.21,39.57,1.93,1.87,85.68,41.83,4.10,0.10,1.52,59.06,199.39,0.00,164.96,13.50,0.23,36.90,84.87
7.00,11.20,0.00,11.83,14.00,4.50,7.30,4.50,10.05,2.30,0.00,3.50,0.00,12.09,14.34,4.00,9.80,14.10,16.79,0.00,11.11,11.50,3.50,17.97,16.04,7.00,10.63,1.40,11.71,10.82,16.01,2.58,28.12,0.00,18.16,121.00,14.49,28.54,0.60,7.00,7.50,7.50,2.20,6.71,9.00,9.00,3.00,10.70,0.00,8.00,0.00,8.93,10.49,18.94,0.90,1.10,22.30,41.41,1.38,1.68,87.12,44.93,3.48,0.20,1.48,60.98,201.62,0.00,165.65,13.50,0.27,38.35,85.32
8.00,13.10,0.00,13.31,14.00,4.50,7.30,4.50,10.05,2.30,0.00,3.50,0.00,12.75,14.20,4.00,9.80,15.02,20.47,0.00,11.11,11.50,3.50,17.97,16.04,7.00,10.63,1.40,11.58,12.04,18.36,2.58,28.12,0.00,18.16,120.00,14.49,28.43,0.60,7.00,7.50,7.50,2.20,6.56,9.00,9.00,3.00,10.70,0.00,8.00,0.00,8.06,9.87,18.94,1.01,1.10,21.39,43.25,1.50,2.00,86.40,48.03,2.86,0.20,1.52,62.94,202.58,0.00,164.66,13.50,0.32,38.61,85.10
9.00,13.57,0.00,13.95,14.00,4.50,7.30,4.50,10.05,2.30,0.00,3.50,0.00,13.18,14.12,4.00,9.80,15.44,22.14,0.00,11.11,11.50,3.50,17.97,16.04,7.00,10.63,1.40,11.49,12.60,19.43,2.58,28.12,0.00,18.16,118.00,14.49,28.29,0.60,7.00,7.50,7.50,2.20,6.49,9.00,9.00,3.00,10.70,0.00,8.00,0.00,9.17,10.65,18.94,1.10,1.10,20.98,44.09,1.30,1.87,84.96,49.44,2.58,0.20,1.52,63.93,202.44,0.00,163.29,13.50,0.36,38.87,85.03
10.00,14.66,0.00,14.77,14.00,4.50,7.30,4.50,10.05,2.30,0.00,3.50,0.00,13.21,14.06,4.00,9.80,16.05,25.85,0.00,11.11,11.50,3.50,17.97,16.04,7.00,10.63,1.40,11.47,14.73,26.67,2.58,28.12,0.00,18.16,117.00,14.49,28.53,0.60,7.00,7.50,7.50,2.20,9.13,9.00,9.00,3.00,10.70,0.00,8.00,0.00,9.60,10.71,18.95,1.12,1.10,26.86,48.01,1.24,2.04,84.24,56.37,3.94,0.20,1.48,65.07,202.38,0.00,162.55,13.50,0.38,40.41,84.87
