"ETAPA \ GENERADOR","KALLPATG1GAS","KALLPATG2GAS","KALLPATG3GAS","KALLPACC1GAS","KALLPACC2GAS","KALLPACC3GAS","KALLPACC12GAS","KALLPACC23GAS","KALLPACC13GAS","KALLPACC123GAS","CHILCA1TG1GAS","CHILCA1TG2GAS","CHILCA1TG3GAS","CHILCA1CC1GAS","CHILCA1CC2GAS","CHILCA1CC3GAS","CHILCA1CC12GAS","CHILCA1CC23GAS","CHILCA1CC13GAS","CHILCA1CC123GAS","AGETG1GAS","AGETG2GAS","MAL2TGN4GAS","MAL3TG5D2","VENT3D2","VENT4D2","VENT3GAS","VENT4GAS","VENTCC3GAS","VENTCC4GAS","VENTCC34GAS","VENTCC3GASFD","VENTCC4GASFD","VENTCC34GASFD","RFILO2TG1D2","RFILO2TG2D2","RFILO2TG3D2","INDEPGAS","OLLEROSTG1GAS","LFLORESTG1GAS","SNTV1R500","SNTV2R500","SHCUMMINS","CHILSLZ12R500D2","MOLL123D2","FENIXGT12GAS","FENIXCCGT12GAS","FENIXGT11GAS","FENIXCCGT11GAS","FENIXCCGT11GT12GAS","RECKA TG1  D2","PTOBRVO TG3  D2","PTOBRVO TG1  D2","PTOBRVO TG4  D2","PTOBRVO TG2  D2","FENIXCCGT11GT12D2","CTNEPITG43D2","CTNEPITG42D2","CTNEPITG41D2","RF ETEN TG1  D2","RF ETEN TG2  D2","RF PTO MALDONADO  D2","RF PUCALLPA  D2","CHILCA2 CCOMB TG41  GAS","CHILCA2 TG41  GAS","CHILINA TG  D2","STA ROSA UTI 6  GAS","STA ROSA UTI 5  D2","STA ROSA WEST TG7  D2 CON H2O","STA ROSA UTI 6  D2","STA ROSA UTI 5  GAS","STA ROSA WEST TG7  GAS CON H2O","STA ROSA WEST TG7  GAS","STAROSA TG8 GAS","MALACAS3 TG 5  GAS","OLLEROS CCOMB TG1  GAS","FENIX GT12  D2","FENIX GT11  D2","FENIX CCOMB GT12  D2","FENIX CCOMB GT11  D2","LFLORES CCOMB TG1  GAS","TUMBES MAK 1  D2","TUMBES MAK 2  D2","REFTALARA TV1TV2FXRFG","MAL1TG6D2","MAL1TG6GAS"
1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11085.393,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11004.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6637.773,0.000,0.000,0.000,393.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7750.664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,626.559,0.000,1636.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4258.616,0.000,4348.750,0.000,0.000,0.000,0.000,4303.223,0.000,0.000,0.000,0.000,614.533
2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11261.538,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11004.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6637.773,0.000,0.000,0.000,393.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7750.664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1636.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4258.616,0.000,4348.750,0.000,0.000,0.000,0.000,4303.223,0.000,0.000,0.000,0.000,614.533
3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11621.645,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10976.595,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6637.773,0.000,0.000,0.000,393.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7750.664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1636.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4258.616,0.000,4348.750,0.000,0.000,0.000,0.000,4303.223,0.000,0.000,0.000,0.000,614.533
4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11293.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11031.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6637.773,0.000,0.000,0.000,393.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7750.664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1636.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3020.917,0.000,4258.616,0.000,4348.750,0.000,0.000,0.000,0.000,4303.223,0.000,0.000,0.000,0.000,614.533
5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11938.433,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10933.292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6637.773,0.000,0.000,0.000,393.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7750.664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1636.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3020.917,0.000,4258.616,0.000,4348.750,0.000,0.000,0.000,0.000,4303.223,0.000,0.000,0.000,0.000,614.533
6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11654.394,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10933.292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6637.773,0.000,0.000,0.000,393.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7750.664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1636.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3020.917,0.000,4258.616,0.000,4348.750,0.000,0.000,0.000,0.000,4303.223,0.000,0.000,0.000,0.000,614.533
7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11654.394,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10947.933,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6637.773,0.000,0.000,0.000,393.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7750.664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1636.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2699.707,0.000,4258.616,0.000,4348.750,0.000,0.000,0.000,0.000,4303.223,0.000,0.000,0.000,0.000,614.533
8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11062.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10872.672,0.000,0.000,882.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6637.773,0.000,0.000,0.000,393.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7750.664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1636.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3020.917,0.000,4258.616,0.000,4348.750,0.000,0.000,0.000,0.000,4303.223,0.000,0.000,0.000,0.000,614.533
9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11654.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10903.394,0.000,0.000,882.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6637.773,0.000,0.000,0.000,393.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7750.664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1636.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2107.555,0.000,4258.616,0.000,4348.750,0.000,0.000,0.000,0.000,4303.223,0.000,0.000,0.000,0.000,614.533
10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11649.767,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10976.595,0.000,0.000,882.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6637.773,0.000,0.000,0.000,393.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7750.664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1636.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1984.376,0.000,4258.616,0.000,4348.750,0.000,0.000,0.000,0.000,4303.223,0.000,0.000,0.000,0.000,614.533
